name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status
Kevin Webb,M,289841004,2001-01-13,Junior,Graduate School of Applied and Professional Psychology,0,0
Thomas Suarez,M,985809892,2004-04-08,Junior,Graduate School of Education,0,0
Melissa Wilson,F,108863100,2000-01-09,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Alejandro Gates,M,526813007,2000-09-02,Senior,Graduate School of Applied and Professional Psychology,0,0
Zachary Johnson,M,772394807,2005-01-27,Sophmore,School of Environmental and Biological Sciences,0,0
Gary Li,M,370097033,2003-04-22,Freshman,School of Environmental and Biological Sciences,0,0
James Curtis Jr.,M,287850866,2000-11-05,Junior,Graduate School of Education,0,0
George Washington,M,201613638,2001-12-29,Junior,School of Graduate Studies,0,0
Kristin Lawrence,F,308741137,2001-06-13,Junior,School of Graduate Studies,1,0
Kelly Moore,F,179499600,2003-06-19,Senior,School of Arts and Sciences,0,0
Ryan Johnson,M,558738873,2004-02-27,Senior,Graduate School of Applied and Professional Psychology,0,0
Dr. Katrina Williamson,F,518322960,2002-04-16,Junior,School of Arts and Sciences,0,0
Jason Strickland,M,659698090,2005-01-13,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Jesse King,M,103662456,2001-03-20,Freshman,Mason Gross School of the Arts,0,0
Amy Bartlett,F,145340540,2000-04-09,Sophmore,Graduate School of Education,0,0
Emily Pruitt,F,500536103,2002-12-30,Freshman,School of Environmental and Biological Sciences,0,0
Kristina Mccarthy,F,238084633,1999-12-21,Freshman,School of Environmental and Biological Sciences,0,0
Antonio Hill,M,831428954,2001-12-16,Freshman,School of Environmental and Biological Sciences,0,0
Pamela Parks,F,897148253,2002-04-04,Senior,School of Arts and Sciences,0,0
Ryan Wade,M,160789411,2002-12-30,Freshman,Mason Gross School of the Arts,0,0
Ronald Rosario,M,510256149,2004-02-01,Senior,Mason Gross School of the Arts,0,0
Melissa Davis,F,368487609,2004-08-05,Junior,Mason Gross School of the Arts,0,0
Marcus Burke,M,282059090,2002-07-05,Freshman,Mason Gross School of the Arts,0,0
Haley Watson MD,F,592057147,2002-08-05,Sophmore,School of Graduate Studies,0,0
Steven Gray,M,444911761,1999-10-17,Sophmore,Mason Gross School of the Arts,0,0
William Vaughn,M,378204518,2000-03-26,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Karen Williams,F,228144620,2005-06-15,Sophmore,Mason Gross School of the Arts,0,0
Brandon Sherman,M,912093247,2001-09-25,Freshman,School of Arts and Sciences,0,0
Joel Cook,M,556951414,2001-05-14,Junior,School of Environmental and Biological Sciences,0,0
Melissa Gonzalez,F,603914961,2001-01-01,Senior,School of Graduate Studies,0,0
Laura Sanchez,F,791913412,2002-04-15,Sophmore,Rutgers Business School–Newark and New Brunswick,1,0
Darrell Reynolds,M,910089707,2002-09-20,Sophmore,School of Graduate Studies,0,0
Sierra Garza,F,681871906,2003-10-18,Senior,Graduate School of Applied and Professional Psychology,0,0
Alexander Thornton,M,117183325,2001-08-22,Senior,School of Communication and Information,0,0
Susan Pacheco,F,909710185,2000-05-25,Junior,Graduate School of Applied and Professional Psychology,0,0
Bethany Espinoza,F,253410182,2004-07-10,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Deborah Huynh,F,799749974,2002-05-20,Freshman,School of Graduate Studies,0,0
Jacob Harvey,M,439965310,2001-01-03,Sophmore,School of Arts and Sciences,0,0
Mary Gonzalez,F,721605803,2001-12-07,Freshman,Graduate School of Education,0,0
Michelle Miller,F,350029735,2001-05-18,Sophmore,Rutgers Business School–Newark and New Brunswick,1,0
Robert Garza,M,607745942,2003-09-29,Sophmore,Rutgers Business School–Newark and New Brunswick,0,0
Crystal Drake,F,743866411,2002-06-03,Freshman,School of Environmental and Biological Sciences,0,0
Nicole Hopkins,F,619979317,2003-09-13,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Susan Spencer,F,527629476,2003-12-15,Freshman,Graduate School of Education,0,0
Benjamin Leonard,M,168795512,2004-02-14,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Brandon Marshall,M,629170049,2003-04-05,Senior,Mason Gross School of the Arts,0,0
Taylor Shaw,F,816271292,2003-05-30,Senior,School of Arts and Sciences,0,0
Dawn Holmes DDS,F,948889747,2002-03-30,Sophmore,School of Graduate Studies,0,0
Brian Joseph,M,883696838,2003-06-23,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Philip Hernandez,M,561965371,1999-11-26,Junior,Graduate School of Education,0,0
Keith Cohen,M,372025182,2002-07-11,Freshman,School of Engineering,0,0
Savannah Tate,F,535153959,2000-10-16,Sophmore,Mason Gross School of the Arts,0,0
Gina Brown,F,865204499,2000-01-31,Senior,Rutgers Business School–Newark and New Brunswick,0,0
John Gonzalez,M,735695774,2004-08-24,Sophmore,Mason Gross School of the Arts,0,0
Christopher Tyler,M,702957889,2002-05-19,Sophmore,School of Graduate Studies,0,0
Kayla Kim,F,136466016,1999-10-19,Sophmore,School of Graduate Studies,0,0
Erika Le,F,679316772,2002-10-26,Senior,School of Engineering,0,0
Kyle Goodwin,M,408071138,2003-06-17,Freshman,School of Environmental and Biological Sciences,0,0
Amy Steele,F,294377783,2004-08-05,Sophmore,Mason Gross School of the Arts,0,0
Lance Olson,M,959170475,2002-11-22,Sophmore,School of Graduate Studies,0,0
Victor Brown,M,637360625,2005-03-18,Freshman,School of Engineering,0,0
Jeffrey Stuart,M,742186389,2000-12-23,Freshman,School of Communication and Information,0,0
Nancy Lambert,F,268582112,2004-06-17,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Michelle Cummings,F,771717796,2003-12-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Jessica Curry,F,504679556,1999-10-25,Sophmore,Graduate School of Education,0,1
Nancy Esparza,F,168122333,2001-07-11,Sophmore,Edward J. Bloustein School of Planning and Public Policy,0,0
Ashley Dixon,F,896851243,2000-09-24,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Michael Butler,M,598627399,2002-07-10,Sophmore,Edward J. Bloustein School of Planning and Public Policy,0,0
Kelsey Warren MD,F,227683020,2003-03-09,Sophmore,School of Environmental and Biological Sciences,0,0
Rodney Fleming,M,572234311,2001-12-09,Sophmore,School of Engineering,0,0
Vincent Williams,M,654710475,2000-09-15,Senior,Graduate School of Education,0,0
Jeffrey Grant,M,800083453,2004-08-22,Sophmore,School of Environmental and Biological Sciences,0,0
Destiny Walton,F,670590428,2003-10-08,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Vanessa Sweeney,F,626458624,2003-01-10,Sophmore,School of Graduate Studies,0,0
Nicole Ellis,F,650123965,2005-08-27,Sophmore,School of Environmental and Biological Sciences,0,0
Amy Robinson,F,642588008,2003-10-16,Junior,School of Graduate Studies,0,0
Jennifer Hernandez DDS,F,411827796,2000-11-08,Freshman,School of Engineering,0,0
Eric Espinoza,M,148375262,1999-12-12,Sophmore,Mason Gross School of the Arts,0,0
Janet Carter,F,382867079,2005-07-13,Freshman,School of Environmental and Biological Sciences,0,0
Matthew Hodge,M,484310767,2002-05-31,Junior,School of Environmental and Biological Sciences,0,0
Katherine Wilson,F,359179220,2003-03-16,Junior,School of Graduate Studies,0,0
James Pitts,M,693296243,2004-05-13,Senior,School of Environmental and Biological Sciences,1,0
Nicholas Arnold,M,646075560,2004-12-18,Sophmore,School of Environmental and Biological Sciences,1,0
Amy Reynolds DDS,F,591924554,2002-06-29,Junior,School of Engineering,0,0
Jeffrey Hughes,M,186190239,2001-10-15,Junior,Mason Gross School of the Arts,0,0
Kyle Palmer,M,854790870,2005-09-01,Senior,School of Communication and Information,0,0
Michael George,M,598207769,2004-05-07,Senior,School of Graduate Studies,0,0
Mary Rogers,F,559262955,2005-04-15,Sophmore,Rutgers Business School–Newark and New Brunswick,0,0
Ryan Hudson,M,455222824,2004-07-16,Sophmore,School of Engineering,0,0
Gabrielle Johnston,F,880056238,2003-09-12,Sophmore,Graduate School of Applied and Professional Psychology,1,0
Michael Espinoza,M,169198790,2003-03-23,Freshman,School of Environmental and Biological Sciences,0,0
Drew Cardenas,M,211274374,2000-07-14,Junior,Mason Gross School of the Arts,0,0
Timothy Kemp Jr.,M,270926435,2005-07-20,Freshman,Graduate School of Education,0,0
Wendy Jensen,F,870541969,2002-05-12,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Jacob Perez,M,789041160,2003-01-10,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Misty Briggs,F,826437616,2003-06-30,Junior,Graduate School of Applied and Professional Psychology,0,0
Michael Lambert,M,922373228,2000-07-17,Freshman,Graduate School of Applied and Professional Psychology,0,0
Wendy Turner,F,642867293,2005-09-07,Junior,School of Environmental and Biological Sciences,0,0
Jackie Garcia,F,985199292,2002-12-25,Freshman,School of Engineering,0,0
Angel Fletcher,M,352545651,2001-05-18,Senior,School of Graduate Studies,0,0
Ryan Carrillo,M,361715008,2002-04-05,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Bryan Johnson,M,614295436,2001-12-18,Freshman,School of Engineering,0,0
Scott Rose,M,943854785,2004-08-04,Senior,Graduate School of Applied and Professional Psychology,0,0
Eileen Mann,F,145776098,2004-12-22,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Jordan Smith,M,141009480,2001-12-22,Freshman,School of Arts and Sciences,0,0
Michelle Fisher,F,538069684,2004-11-05,Junior,School of Communication and Information,0,0
Sabrina Choi,F,901517992,2005-05-21,Junior,School of Arts and Sciences,1,0
Ms. Grace Jones DDS,F,308891489,2005-07-28,Sophmore,School of Engineering,0,0
Rhonda Gutierrez,F,238144435,2004-06-17,Senior,School of Graduate Studies,0,0
Todd Pace,M,760449544,2000-12-10,Sophmore,School of Arts and Sciences,0,0
Ann Barrera,F,608725103,2000-08-07,Senior,School of Engineering,0,0
Jacob Horne,M,774538228,2004-01-10,Freshman,School of Graduate Studies,0,0
Logan Davidson,M,238949752,2000-08-21,Freshman,Graduate School of Education,0,0
Gary Hogan,M,192646543,2005-09-02,Senior,Mason Gross School of the Arts,0,0
Margaret Perry,F,141901061,2002-12-11,Senior,Graduate School of Applied and Professional Psychology,0,0
Christine Roy,F,824368731,2003-10-14,Sophmore,School of Engineering,0,0
Christine Cross,F,444957005,2000-02-27,Junior,School of Environmental and Biological Sciences,0,0
Brittany Lewis,F,717290961,2001-07-09,Sophmore,Mason Gross School of the Arts,0,0
Nathan Downs,M,287156105,2004-08-31,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Natalie Morse,F,208562792,2005-04-21,Junior,Mason Gross School of the Arts,0,0
Daniel Brewer,M,823505904,2002-11-01,Freshman,School of Graduate Studies,0,0
Richard Turner,M,685457862,2000-01-02,Freshman,School of Environmental and Biological Sciences,0,0
Drew Sanchez,M,217064292,2002-03-12,Junior,School of Engineering,0,0
Joseph Davis,M,820545562,2002-08-01,Junior,Rutgers Business School–Newark and New Brunswick,1,0
Matthew Higgins,M,418089628,2000-09-08,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Erica Figueroa,F,695359390,2000-02-29,Senior,School of Graduate Studies,0,0
Heather Jones,F,272475721,2002-09-25,Junior,School of Communication and Information,0,0
Hannah Myers,F,410341969,2002-02-03,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Taylor Hudson,F,261691160,2005-06-15,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Elizabeth Rogers,F,535383439,2002-05-17,Freshman,Graduate School of Education,0,0
Eric Williamson,M,211044150,2002-06-18,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Rebecca Hinton,F,546826560,2004-02-20,Senior,Graduate School of Education,0,0
Bonnie Smith,F,560969631,1999-10-15,Sophmore,Edward J. Bloustein School of Planning and Public Policy,0,0
Stephen Carney,M,352014856,2003-12-04,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Amanda Henderson,F,339268838,2001-09-28,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Mark Hensley,M,854967235,2005-02-13,Freshman,School of Environmental and Biological Sciences,0,0
Edwin Wilson,M,801789777,2003-01-10,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Stephen Novak,M,580814730,2005-07-20,Sophmore,School of Arts and Sciences,0,0
Brittany Christian,F,528975659,2003-09-14,Freshman,School of Graduate Studies,0,0
Angela Collier,F,765631849,1999-12-19,Sophmore,Mason Gross School of the Arts,0,0
Erika Brown,F,250031932,2003-06-18,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Edward Phillips,M,654857314,2004-08-21,Freshman,School of Arts and Sciences,0,0
Justin Watts,M,840039657,2001-05-15,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Angela Reynolds MD,F,778474250,2000-03-19,Senior,Mason Gross School of the Arts,0,0
Shawn Taylor,M,243554122,2002-07-22,Junior,School of Arts and Sciences,0,0
Cathy Campos,F,800111763,2003-04-19,Freshman,Mason Gross School of the Arts,0,0
Amanda Bullock,F,779052379,2000-05-30,Senior,School of Communication and Information,0,0
James Barnett,M,391813569,2003-04-20,Junior,School of Arts and Sciences,0,0
Betty Willis,F,399639308,2002-10-24,Junior,School of Arts and Sciences,0,0
Brendan Schneider,M,481412842,2002-04-04,Freshman,Graduate School of Education,0,0
Matthew Rangel,M,851469422,2000-12-20,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Kyle Matthews,M,842190366,2003-08-10,Sophmore,Mason Gross School of the Arts,0,0
Brian Rodriguez,M,874346895,2004-02-16,Sophmore,School of Communication and Information,0,0
Kylie Kemp,F,783442274,2003-08-01,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Robert White,M,569678423,2004-07-01,Sophmore,School of Environmental and Biological Sciences,0,0
Jeffrey Carter,M,796861515,2004-06-11,Senior,Graduate School of Education,0,0
William Ross,M,412934760,2000-01-16,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Daniel Walsh,M,963899830,2004-04-30,Junior,School of Environmental and Biological Sciences,0,0
Gloria Mcdonald,F,920883634,2004-03-07,Junior,School of Arts and Sciences,0,0
Nichole Morris,F,675419958,2002-07-18,Junior,Graduate School of Applied and Professional Psychology,0,0
Chad Ward,M,908952093,2005-05-20,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Patricia Norris,F,153636146,2004-12-19,Junior,Graduate School of Applied and Professional Psychology,0,0
Allen Sanders,M,992138405,2002-05-28,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Amber Perkins,F,980205034,2004-07-23,Sophmore,School of Environmental and Biological Sciences,0,0
Aaron Francis,M,430129034,2002-06-10,Sophmore,School of Environmental and Biological Sciences,0,0
Robert Rice,M,281764320,2000-02-22,Freshman,Mason Gross School of the Arts,0,0
Jessica Hall,F,725367615,2004-09-15,Senior,Graduate School of Education,0,0
Martha Davis,F,408413693,2002-02-15,Sophmore,Rutgers Business School–Newark and New Brunswick,0,0
Lynn Young,F,148442318,2000-03-29,Junior,Mason Gross School of the Arts,0,1
Susan Bird,F,570652546,2000-06-10,Junior,School of Communication and Information,0,0
Mallory Nunez,F,381343900,2003-08-14,Freshman,School of Arts and Sciences,0,0
Ryan Robinson,M,586251715,2001-04-23,Freshman,School of Graduate Studies,0,0
Mason Williamson,M,465963525,2005-04-05,Freshman,School of Communication and Information,0,0
Stephanie Reese,F,772805680,2003-05-22,Sophmore,School of Arts and Sciences,0,0
Taylor Ruiz,F,394513763,2000-11-27,Sophmore,School of Communication and Information,0,0
Mallory Pham,F,615280742,2002-12-04,Freshman,School of Environmental and Biological Sciences,0,0
William Rose,M,705183775,2004-03-24,Senior,Graduate School of Applied and Professional Psychology,0,0
Scott Williams,M,650603455,2003-04-06,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Brian Cortez,M,540178754,2002-03-04,Junior,School of Engineering,0,0
Tony York,M,786905656,2001-12-03,Sophmore,School of Arts and Sciences,0,0
Dr. Beth Carlson,F,689498589,2000-04-22,Freshman,School of Environmental and Biological Sciences,0,0
Paul Williams,M,547105253,2001-08-27,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
David Elliott,M,661011905,2002-10-29,Junior,Graduate School of Education,0,0
Daniel Hernandez,M,666459031,2003-08-21,Sophmore,Rutgers Business School–Newark and New Brunswick,0,0
Jasmine Stout,F,904420378,2003-05-27,Sophmore,Rutgers Business School–Newark and New Brunswick,0,0
Sara Hamilton,F,172092319,2002-10-29,Sophmore,Mason Gross School of the Arts,0,0
Lori Bradley,F,361854199,2003-05-26,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Robin Walton,F,729056142,2002-10-09,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Gregory Hicks,M,625177555,2003-10-13,Sophmore,Graduate School of Applied and Professional Psychology,0,0
Tanya Ramos,F,804042772,2005-07-14,Sophmore,School of Communication and Information,0,0
Nancy Peterson,F,701889989,2005-07-11,Sophmore,Graduate School of Education,0,0
Cynthia Peterson,F,261358225,1999-10-17,Freshman,Graduate School of Applied and Professional Psychology,0,0
Olivia Clark,F,381901352,2003-08-29,Senior,School of Environmental and Biological Sciences,0,0
Kenneth Santos,M,713415516,2002-05-23,Senior,Mason Gross School of the Arts,0,0
Gary Nixon,M,761315909,2002-08-20,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Susan Bennett,F,755928605,2002-06-10,Sophmore,School of Arts and Sciences,0,0
Michele Horton,F,343434954,2002-07-21,Junior,Graduate School of Applied and Professional Psychology,1,0
Jessica Holden,F,484334033,2001-12-07,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Norman Bell,M,547667812,1999-11-09,Junior,Graduate School of Education,0,0
Leslie Cuevas,M,400613018,2003-03-28,Sophmore,Mason Gross School of the Arts,0,0
Eric Carter III,M,601047413,2004-01-24,Freshman,Graduate School of Education,0,0
Michelle Adams,F,296768574,2003-11-22,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Kevin Abbott,M,313638696,2002-09-28,Senior,Graduate School of Applied and Professional Psychology,0,0
Donald Boyd,M,556331655,2003-10-11,Sophmore,School of Graduate Studies,0,0
Lori Miller,F,133606098,2003-09-03,Sophmore,School of Graduate Studies,0,0
Edward Kidd,M,154110549,2004-08-11,Freshman,School of Communication and Information,0,0
Briana Humphrey,F,759319631,2003-03-26,Sophmore,School of Arts and Sciences,0,0
Caitlin Jackson,F,138021281,2001-02-13,Freshman,School of Environmental and Biological Sciences,0,0
Katie Walsh,F,561031412,2005-07-20,Junior,Graduate School of Education,0,0
Christopher Porter,M,116693667,2003-10-15,Sophmore,School of Environmental and Biological Sciences,0,0
Mason Smith,M,954453572,2001-05-03,Sophmore,School of Graduate Studies,0,0
Eric Buchanan,M,926400927,2005-07-27,Freshman,School of Environmental and Biological Sciences,1,0
Michelle Perez,F,402656075,2000-12-15,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Daniel Jensen,M,923798853,2005-02-19,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Alexandra Dyer,F,476911658,2001-12-17,Sophmore,Graduate School of Education,0,0
Kimberly Farrell,F,470537823,2004-04-20,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Joel Schmidt,M,172879866,2004-07-17,Senior,Mason Gross School of the Arts,0,0
Thomas Cervantes,M,712366851,2001-12-26,Junior,Mason Gross School of the Arts,0,0
James Jones,M,555317641,2003-01-07,Junior,Mason Gross School of the Arts,0,0
Alice Mayo,F,668684710,2001-10-29,Freshman,School of Engineering,1,0
Kimberly Bird,F,423285958,2003-01-10,Senior,Graduate School of Applied and Professional Psychology,0,0
Kimberly Davis,F,841135136,2004-04-18,Junior,Graduate School of Applied and Professional Psychology,0,0
Cheyenne Carter,F,171288250,2001-03-27,Junior,Graduate School of Applied and Professional Psychology,0,0
Shawn Li,M,695461732,2005-05-13,Sophmore,Mason Gross School of the Arts,0,0
Jennifer Barber,F,941094737,2000-07-01,Freshman,School of Arts and Sciences,0,0
Christian Jones,M,109724749,2004-05-27,Senior,School of Environmental and Biological Sciences,0,0
Michael Martinez,M,309102645,2002-01-18,Senior,Mason Gross School of the Arts,1,0
Jay Gordon,M,250496283,2000-10-09,Freshman,Graduate School of Applied and Professional Psychology,0,0
Sarah Perez,F,780678215,2002-04-16,Freshman,Mason Gross School of the Arts,0,0
Vanessa Larsen,F,802457442,2002-03-21,Senior,School of Engineering,0,0
Matthew Reyes,M,695551113,2001-07-04,Sophmore,Mason Gross School of the Arts,0,0
David Braun,M,594410347,2002-11-16,Freshman,School of Environmental and Biological Sciences,0,0
Timothy Reed,M,679673224,2003-12-19,Sophmore,School of Communication and Information,0,0
Stephanie Jimenez,F,523782986,2001-09-19,Senior,School of Environmental and Biological Sciences,0,0
Jennifer Williams,F,205200609,2005-02-19,Junior,School of Graduate Studies,0,0
Amy Graham,F,735236361,2005-08-01,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Lori Paul,F,720207559,2004-10-20,Senior,Graduate School of Education,0,0
Ronald Moran,M,979057467,2001-12-31,Freshman,School of Environmental and Biological Sciences,0,0
Justin Russell,M,539804248,2001-09-09,Freshman,Graduate School of Applied and Professional Psychology,0,0
Richard Miles,M,643741257,2004-02-08,Senior,School of Environmental and Biological Sciences,0,0
Samantha Lewis,F,181010580,2004-09-29,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Julie Dodson,F,551594052,2001-12-30,Sophmore,Edward J. Bloustein School of Planning and Public Policy,0,0
Susan Blackwell,F,362650380,2004-09-11,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Timothy Mcgee,M,968859543,2003-05-13,Junior,School of Communication and Information,0,0
Alan Jackson,M,751856914,2003-02-01,Sophmore,School of Engineering,0,0
Robert Williams,M,664998070,2001-12-03,Junior,Mason Gross School of the Arts,0,0
