name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preference
Alexander Lopez,M,889222072,2004-07-13,Junior,School of Arts and Sciences,1,0,['MRS' 'SA' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[486310739, 230035278, 397559833]"
Melinda Sanders,F,805205678,2000-04-03,Junior,School of Arts and Sciences,0,0,['AH' 'MS' 'BS'],Suite,1,1,1,4000-6000,6000,"[970175560, 739152866, 782010587]"
Jessica Barton,F,476434288,2000-08-14,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'MH'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[842433644, 218203490, 772739611]"
Christine Brown,F,112736591,2001-02-18,Freshman,School of Environmental and Biological Sciences,0,0,['NCA' 'RA' 'BS'],Suite,1,1,1,8000-11000,11000,"[878963777, 804629910, 747005851]"
Amy Montoya,F,768708900,2001-01-15,Sophomore,School of Engineering,0,0,['NCA' 'SA' 'RA'],Apartment,1,1,1,8000-11000,11000,"[625477922, 754940501, 772798005]"
Brittany Cordova,F,270638944,2003-09-05,Senior,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'NCA' 'MRS'],Apartment,1,1,1,4000-6000,5000,"[843904736, 467921510, 518151831]"
Victoria Rodriguez,F,663845529,2003-04-02,Freshman,School of Arts and Sciences,1,0,['JS' 'BS' 'SA'],Apartment,1,1,1,4000-6000,6000,"[487921994, 643338481, 124913989]"
Jerry Brown,M,449373427,2001-02-22,Freshman,School of Arts and Sciences,0,0,['BS' 'NCA' 'RA'],Suite,1,1,0,4000-6000,6000,"[403307075, 160855500, 323611765]"
Alexandra Anderson,F,356961273,2000-06-23,Sophomore,School of Communication and Information,1,0,['RA' 'NCA' 'BS'],Apartment,1,1,1,8000-11000,11000,"[473780000, 593173478, 422929434]"
Kevin Delacruz,M,430733815,2000-06-14,Senior,School of Environmental and Biological Sciences,0,0,['AH' 'MZH' 'TS'],Suite,1,1,1,8000-11000,11000,"[905411976, 684163563, 880271342]"
Judith Taylor,F,217654578,2002-04-06,Junior,School of Arts and Sciences,0,0,['NCA' 'BS' 'CS'],Suite,1,1,1,8000-11000,11000,"[825107403, 100406992, 787317925]"
Norma Kemp,F,534757799,2004-04-03,Sophomore,School of Communication and Information,0,1,['TS' 'MH' 'BH'],Apartment,1,1,1,4000-6000,5000,"[756934741, 767319838, 109081153]"
Scott Lopez,M,346098295,2004-10-20,Junior,Mason Gross School of the Arts,0,0,['MS' 'MRS' 'BH'],Apartment,1,1,1,8000-11000,11000,"[534603544, 758992221, 375783617]"
Travis Ball,M,781529895,2003-09-05,Freshman,School of Communication and Information,0,0,['NCA' 'WS' 'BS'],Suite,1,1,1,6000-8000,8000,"[218339376, 342895491, 274006924]"
Donald Green,M,111546124,2001-09-15,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'BS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[582909693, 507967650, 716215738]"
Jeffrey Jones,M,703842491,2005-04-15,Freshman,School of Arts and Sciences,0,0,['RA' 'TS' 'SA'],Suite,1,1,1,4000-6000,6000,"[996234065, 147207195, 327119746]"
Joanne Myers,F,798822356,2004-08-11,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['CS' 'WS' 'MRS'],Apartment,1,1,1,8000-11000,11000,[]
Sarah Schmidt,F,923405144,2003-11-14,Sophomore,School of Social Work,0,0,['MRS' 'RA' 'BS'],Suite,1,1,1,8000-11000,11000,"[427076861, 276858394, 443193652]"
Sylvia Walker,F,365372593,2002-07-03,Senior,School of Arts and Sciences,0,1,['BS' 'BH' 'AH'],Apartment,1,1,1,4000-6000,5000,"[280086769, 499439725, 194589662]"
Justin Bryan,M,278548705,2004-08-02,Freshman,School of Communication and Information,0,0,['BH' 'CS' 'MH'],Suite,1,1,1,4000-6000,6000,"[978767822, 656174954, 282354950]"
Paul Sandoval,M,646557502,2005-09-04,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'MH' 'RA'],Apartment,1,1,1,4000-6000,6000,"[603182107, 708935958, 222901943]"
Brian Thompson,M,540237710,2003-10-25,Sophomore,School of Communication and Information,0,0,['BS' 'NCA' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[234167593, 775031521, 126259609]"
Vincent Martinez,M,996234065,2003-09-02,Sophomore,Mason Gross School of the Arts,0,0,['NCA' 'MS' 'MRS'],Suite,1,1,1,4000-6000,6000,"[986362682, 586122540, 924200226]"
Thomas Douglas,M,301798256,2002-05-22,Junior,School of Arts and Sciences,0,0,['MRS' 'NCA' 'MH'],Suite,1,1,1,8000-11000,11000,"[881307804, 928893398, 357446386]"
Elizabeth Clements,F,679587426,2004-09-29,Sophomore,School of Arts and Sciences,0,0,['BS' 'CS' 'NCA'],Suite,1,1,1,8000-11000,11000,"[420826916, 683331599, 987251026]"
Michael Johnson,M,713180892,2000-04-24,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['MZH' 'WS' 'MH'],Apartment,1,1,1,4000-6000,6000,[]
Jennifer Hall,F,128408905,2002-12-13,Freshman,School of Management and Labor Relations,0,0,['AH' 'BS' 'SA'],Suite,1,1,1,4000-6000,6000,"[998773712, 331694824, 259040566]"
Samuel Estrada,M,537746714,1999-10-17,Freshman,School of Social Work,0,0,['CS' 'MRS' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[385529694, 470115513, 724094827]"
Julie Faulkner,F,872597448,2003-08-18,Freshman,School of Social Work,0,0,['BH' 'RA' 'SA'],Suite,1,0,1,6000-8000,8000,"[695629696, 926164300, 666930005]"
Tracey Peters,F,506313480,2003-01-22,Freshman,School of Management and Labor Relations,0,0,['RA' 'BS' 'SA'],Apartment,1,1,1,4000-6000,6000,"[582593844, 333352268, 379194907]"
Mercedes Huffman,F,789156775,2001-05-29,Junior,School of Arts and Sciences,0,0,['SA' 'RA' 'MH'],Suite,1,1,1,4000-6000,6000,"[983239725, 188390471, 987777485]"
Melissa Torres,F,463418411,2003-07-25,Senior,School of Arts and Sciences,0,0,['NCA' 'MRS' 'MH'],Suite,1,1,1,8000-11000,11000,[]
Donna Conway,F,405135602,2001-09-19,Freshman,School of Arts and Sciences,0,1,['BS' 'AH' 'JS'],Suite,1,1,1,4000-6000,5000,[]
Jonathan Howell,M,251437207,2005-03-31,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'RA' 'MS'],Suite,1,0,0,4000-6000,6000,[]
Donald Ellis,M,736573006,2000-08-01,Sophomore,School of Arts and Sciences,0,0,['SA' 'NCA' 'JS'],Apartment,1,1,1,4000-6000,6000,"[378198072, 836135250, 397429111]"
Andrew Gonzalez,M,444358913,2005-06-17,Senior,School of Arts and Sciences,0,0,['MS' 'MZH' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Vincent Soto,M,713301659,2002-06-26,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'NCA'],Suite,1,0,1,4000-6000,6000,"[395102264, 659448761, 111259685]"
Ricardo Jackson III,M,953800649,2004-05-01,Junior,School of Social Work,0,0,['TS' 'MS' 'BH'],Suite,1,1,1,8000-11000,11000,[]
Jack Cox,M,111259685,2005-03-17,Senior,School of Engineering,0,0,['WS' 'MH' 'AH'],Apartment,1,0,0,6000-8000,8000,[]
Heather Weaver,F,177590885,2001-02-01,Senior,School of Arts and Sciences,0,0,['BS' 'MH' 'MS'],Apartment,1,1,1,6000-8000,8000,[]
John Welch,M,164508343,2002-07-13,Sophomore,School of Engineering,0,1,['MZH' 'BS' 'MS'],Suite,1,0,1,4000-6000,5000,"[609719542, 265838038, 608936932]"
Dawn Lee,F,953378195,2004-04-26,Freshman,School of Arts and Sciences,0,1,['NCA' 'MS' 'SA'],Apartment,1,1,1,4000-6000,5000,"[370254650, 613482754, 214271803]"
Brady Wright,M,867792554,2003-12-24,Freshman,School of Engineering,0,1,['SA' 'MZH' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[342895491, 676264744, 530037591]"
Karen Parker,F,297268482,2005-06-13,Senior,Mason Gross School of the Arts,0,0,['NCA' 'MH' 'BS'],Suite,1,1,1,8000-11000,11000,"[150451086, 694714424, 114690039]"
Amy Ruiz,F,503697566,2002-01-05,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'WS'],Suite,1,1,1,4000-6000,6000,[]
Linda Poole,F,815862627,2005-06-09,Senior,Mason Gross School of the Arts,0,0,['RA' 'MH' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[659376482, 222762454, 126455514]"
William Miller,M,179000934,2005-04-29,Freshman,School of Arts and Sciences,0,1,['WS' 'TS' 'SA'],Suite,1,1,1,4000-6000,5000,"[472693625, 529622034, 640594786]"
Victoria Castillo,F,617309643,2003-09-26,Sophomore,Mason Gross School of the Arts,0,0,['TS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Joshua Flores,M,627533590,2002-12-21,Senior,School of Arts and Sciences,0,0,['MZH' 'BS' 'NCA'],Suite,1,1,1,4000-6000,6000,[]
James Howard,M,806527020,2003-06-05,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['MZH' 'NCA' 'JS'],Apartment,1,0,1,8000-11000,10000,"[242075035, 248439886, 532009689]"
Renee Henry,F,877350515,2002-10-30,Freshman,School of Social Work,0,0,['WS' 'MH' 'SA'],Apartment,1,1,1,4000-6000,6000,[]
Jennifer Johnson,F,296339971,2002-06-23,Freshman,School of Communication and Information,0,0,['RA' 'NCA' 'MS'],Apartment,1,1,1,8000-11000,11000,"[234625030, 820523537, 465342982]"
Keith Walsh,M,777381205,2001-06-25,Junior,School of Communication and Information,0,1,['BS' 'RA' 'MZH'],Apartment,1,1,1,8000-11000,10000,[]
Daniel Wheeler,M,529953969,2001-02-10,Freshman,School of Communication and Information,0,0,['SA' 'NCA' 'JS'],Apartment,1,0,1,6000-8000,8000,"[345832760, 403307075, 150942510]"
Kyle George,M,527469060,2003-08-14,Junior,School of Communication and Information,0,0,['WS' 'RA' 'NCA'],Suite,1,1,1,6000-8000,8000,"[876116738, 332422294, 875299413]"
Danielle Humphrey,F,344386293,2003-10-29,Senior,School of Arts and Sciences,0,0,['RA' 'MS' 'MH'],Suite,1,1,1,8000-11000,11000,[]
Philip Combs,M,226486985,2003-03-09,Freshman,School of Arts and Sciences,0,1,['NCA' 'SA' 'MRS'],Suite,1,1,1,4000-6000,5000,[]
Jody Harris,F,990920452,2002-11-01,Sophomore,School of Arts and Sciences,0,0,['WS' 'SA' 'MZH'],Traditional Residence Hall,1,1,1,6000-8000,8000,[]
David Richardson,M,743095036,2002-12-27,Junior,School of Social Work,0,1,['SA' 'BS' 'AH'],Traditional Residence Hall,1,0,1,4000-6000,5000,"[981116504, 270744867, 231356516]"
David Rios,M,623546112,2003-02-15,Sophomore,School of Arts and Sciences,0,1,['NCA' 'BS' 'CS'],Traditional Residence Hall,1,1,1,6000-8000,7000,"[747357437, 616029511, 159891555]"
Keith Bass,M,331350784,2003-04-07,Freshman,School of Communication and Information,0,0,['NCA' 'TS' 'BS'],Apartment,1,1,1,8000-11000,11000,[]
Bryan Ware,M,353075443,1999-12-03,Sophomore,School of Arts and Sciences,0,1,['SA' 'BS' 'NCA'],Suite,1,1,1,4000-6000,5000,"[737360396, 404796129, 783478421]"
Anthony Martinez,M,333221115,2000-03-30,Sophomore,School of Management and Labor Relations,0,1,['SA' 'NCA' 'CS'],Suite,1,1,1,6000-8000,7000,"[911163642, 145714808, 392893735]"
Emily Wheeler,F,852554073,2002-11-16,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'BS' 'WS'],Suite,1,1,1,6000-8000,8000,"[688592418, 485219871, 351092974]"
Victor Gordon,M,353624966,2004-10-16,Sophomore,School of Arts and Sciences,0,0,['MS' 'BS' 'AH'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Samantha Henderson,F,471051913,2002-01-24,Freshman,School of Arts and Sciences,0,1,['MZH' 'BS' 'MH'],Apartment,1,1,1,4000-6000,5000,[]
Jeremy White,M,382016956,2000-03-28,Junior,School of Arts and Sciences,0,0,['MRS' 'NCA' 'BS'],Suite,1,1,1,8000-11000,11000,"[576152561, 572224081, 652103056]"
Mariah Houston,F,324872217,2004-04-23,Freshman,School of Communication and Information,0,0,['BS' 'NCA' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[473724536, 367861431, 702211338]"
Linda Johnson,F,821585210,1999-11-28,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'SA' 'RA'],Suite,1,1,0,8000-11000,11000,[]
Amy Porter,F,778731199,2000-12-27,Sophomore,School of Arts and Sciences,0,0,['JS' 'SA' 'RA'],Apartment,1,0,1,4000-6000,6000,[]
Susan Pittman,F,353625192,2002-03-30,Senior,School of Arts and Sciences,0,0,['BS' 'SA' 'TS'],Suite,1,1,1,4000-6000,6000,[]
Shane Jenkins,M,819840377,2004-07-26,Senior,School of Arts and Sciences,1,0,['SA' 'NCA' 'BS'],Suite,1,1,1,4000-6000,6000,"[650692620, 497836110, 753785063]"
Leroy Moore,M,414142579,2002-04-07,Junior,School of Arts and Sciences,0,0,['MZH' 'AH' 'NCA'],Apartment,1,1,1,6000-8000,8000,"[211638164, 600691301, 748219026]"
Cathy Kelley,F,763591994,2000-09-24,Sophomore,School of Arts and Sciences,0,0,['MRS' 'NCA' 'RA'],Apartment,1,1,1,6000-8000,8000,"[852554073, 505486514, 732712698]"
Tony Burke,M,277171390,2003-12-06,Junior,School of Social Work,0,1,['MH' 'AH' 'MZH'],Suite,1,1,1,4000-6000,5000,"[447882192, 202646179, 579744950]"
Julia Dunn,F,440806506,2002-08-24,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['MRS' 'NCA' 'SA'],Suite,1,1,1,4000-6000,6000,"[776324094, 339367656, 563063961]"
Kelsey Richard,F,681322982,2002-02-08,Freshman,School of Arts and Sciences,0,0,['SA' 'MZH' 'BS'],Apartment,1,1,1,4000-6000,6000,"[686582306, 605514771, 581484092]"
Ashley Flores,F,349694338,2000-03-11,Sophomore,School of Arts and Sciences,0,0,['MH' 'BS' 'BH'],Apartment,1,1,1,4000-6000,6000,"[392538420, 465342982, 407144868]"
Miss Lauren Beck,F,359991605,2003-03-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'CS' 'SA'],Suite,1,1,1,4000-6000,5000,"[726709937, 838111458, 717502824]"
Jared Gilbert,M,873590045,2005-03-15,Sophomore,School of Engineering,0,1,['BS' 'TS' 'SA'],Apartment,1,1,1,4000-6000,5000,[]
Chris Lewis,M,773781036,2003-08-12,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,10000,"[402216056, 806261339, 969365320]"
Patricia Clark,F,136006613,2004-10-24,Freshman,School of Arts and Sciences,0,0,['TS' 'RA' 'NCA'],Apartment,1,1,1,6000-8000,8000,[]
Jaime Johnson,F,875854005,2000-09-06,Freshman,School of Arts and Sciences,0,1,['MH' 'BS' 'BH'],Suite,1,1,1,4000-6000,5000,"[235088314, 311817060, 805205678]"
Melody Davis,F,885130643,2005-02-22,Freshman,School of Engineering,0,1,['NCA' 'SA' 'BH'],Apartment,1,1,1,6000-8000,7000,"[906948858, 279287433, 797690131]"
Erica Everett,F,371575135,2001-08-21,Senior,School of Communication and Information,0,0,['MZH' 'MS' 'RA'],Apartment,1,1,1,4000-6000,6000,[]
Michael Wood,M,229130142,2003-05-24,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'SA' 'WS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[581108329, 433128102, 588943368]"
Edgar Jones,M,185556919,2001-02-19,Freshman,School of Environmental and Biological Sciences,0,0,['CS' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[562682463, 291520769, 469611675]"
Christopher Hunter,M,720064760,2002-05-24,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['JS' 'BS' 'BH'],Traditional Residence Hall,1,1,1,6000-8000,8000,[]
Jennifer Gonzales,F,150834009,2002-09-06,Freshman,School of Social Work,0,0,['RA' 'NCA' 'BH'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[964609435, 160227570, 543877082]"
Colleen Dominguez,F,591271253,2000-06-20,Sophomore,School of Arts and Sciences,0,0,['SA' 'MS' 'NCA'],Apartment,1,1,1,8000-11000,11000,"[452082377, 110846143, 843300060]"
Debra Duncan,F,927260108,2000-10-08,Freshman,Mason Gross School of the Arts,0,0,['RA' 'WS' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[694209929, 814280070, 162627677]"
Peter Campbell,M,641910742,2002-01-03,Senior,School of Management and Labor Relations,0,0,['RA' 'MS' 'NCA'],Apartment,1,1,1,4000-6000,6000,"[291631263, 808197099, 451964283]"
Holly Nichols,F,425546839,2001-11-16,Sophomore,School of Arts and Sciences,0,0,['MH' 'NCA' 'RA'],Apartment,1,1,1,4000-6000,6000,"[427225330, 796716851, 316663207]"
Arthur Garcia,M,638510829,2001-12-15,Sophomore,School of Arts and Sciences,0,0,['MH' 'JS' 'NCA'],Suite,1,1,1,8000-11000,11000,"[569859393, 479445861, 360427587]"
Christina Scott,F,147824195,2003-11-20,Sophomore,Mason Gross School of the Arts,1,0,['BS' 'MZH' 'NCA'],Suite,1,1,1,4000-6000,6000,"[273376510, 110943483, 255381749]"
Victor Perkins,M,962779927,2001-07-25,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['AH' 'SA' 'BS'],Suite,1,1,1,4000-6000,5000,"[121822039, 478894145, 685710399]"
Theresa Frey,F,954185537,2000-07-03,Freshman,School of Arts and Sciences,0,1,['WS' 'SA' 'BS'],Suite,1,1,1,8000-11000,10000,[]
Anthony Little,M,230037467,2005-07-15,Freshman,School of Communication and Information,0,0,['NCA' 'SA' 'BS'],Suite,1,1,1,8000-11000,11000,[]
Tammy Jackson,F,898241933,2002-05-07,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'CS' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Colleen Johnson,F,529622034,2003-01-24,Junior,School of Arts and Sciences,0,0,['MRS' 'SA' 'BS'],Traditional Residence Hall,1,0,1,4000-6000,6000,[]
Margaret Barnes,F,582033364,2004-05-19,Sophomore,School of Social Work,0,1,['RA' 'WS' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,7000,[]
Joshua Kaiser,M,343743884,2002-03-20,Sophomore,School of Arts and Sciences,0,0,['WS' 'SA' 'BS'],Apartment,1,1,1,6000-8000,8000,"[356135568, 828125744, 390141015]"
Amanda Phillips,F,782309893,2000-05-06,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[431920105, 770493900, 331308053]"
Larry Stone,M,550278589,2003-09-03,Sophomore,School of Communication and Information,0,1,['RA' 'MZH' 'SA'],Suite,1,1,1,4000-6000,5000,"[781824391, 646200156, 833294867]"
Jeffery Jackson,M,856267887,2004-03-09,Junior,Mason Gross School of the Arts,0,1,['BS' 'MS' 'NCA'],Suite,1,1,1,8000-11000,10000,"[352560231, 795447326, 724823803]"
Anthony Odonnell,M,354295992,2001-05-04,Sophomore,School of Engineering,0,0,['BS' 'NCA' 'AH'],Suite,1,1,1,4000-6000,6000,"[174595655, 921603382, 666973182]"
Kevin Henderson PhD,M,306215532,2000-01-18,Sophomore,School of Arts and Sciences,1,1,['BS' 'SA' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[463692281, 274436105, 389815964]"
