name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status
Billy Atkins,M,630880773,1996-06-11,Postdoctoral studies,School of Graduate Studies,0,0
Donald Davis,M,217786961,1995-08-22,Masters,Graduate School of Education,0,1
Kevin Garcia,M,956956721,1996-06-14,Masters,School of Graduate Studies,0,0
Alisha Hughes,F,976772261,1998-01-06,Masters,School of Graduate Studies,0,0
Charles Morris,M,573242630,1998-07-04,Doctorate,Graduate School of Education,0,1
Joshua Miller,M,545897402,1993-11-24,Doctorate,Graduate School of Education,0,0
Mary Jones,F,446949819,1998-02-16,Masters,School of Graduate Studies,0,0
Julie Wallace,F,312109717,1998-06-13,Doctorate,Graduate School of Education,1,1
Todd Guerrero Jr.,M,340280668,2000-02-22,Doctorate,School of Graduate Studies,0,0
Zachary Boone,M,748715537,2000-08-13,Masters,School of Graduate Studies,0,0
Jacqueline Washington,F,336996063,2000-06-20,Masters,School of Graduate Studies,0,0
Raymond Maldonado,M,897765383,1999-02-13,Masters,School of Graduate Studies,0,1
Rachael Velez,F,991416150,1996-01-06,Masters,School of Graduate Studies,0,0
Justin Meyers,M,935449957,1996-07-14,Doctorate,School of Graduate Studies,0,0
Ricky Miller,M,191325328,1994-08-21,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Lisa Rice,F,158717115,1998-09-04,Masters,School of Graduate Studies,0,1
Lacey Kelly,F,858005443,1993-11-04,Postdoctoral studies,School of Graduate Studies,0,1
Mark Lloyd,M,491343584,1997-03-17,Masters,School of Graduate Studies,0,1
Austin Brown,M,888841684,2000-08-15,Masters,Graduate School of Education,0,0
Brandi Brown,F,392576711,1999-03-22,Doctorate,Graduate School of Applied and Professional Psychology,0,1
Jillian Garcia,F,266471849,1994-05-17,Doctorate,School of Graduate Studies,0,0
Heather Kelly,F,731922738,1998-12-19,Masters,School of Graduate Studies,0,0
Mrs. Heather Schultz,F,646281599,1994-08-09,Doctorate,School of Graduate Studies,0,0
Kirsten Johnson,F,403659044,1997-10-17,Doctorate,School of Graduate Studies,0,1
Philip Young,M,847442916,1997-07-09,Doctorate,School of Graduate Studies,0,0
Michael Barrett,M,188939764,1999-03-18,Doctorate,School of Graduate Studies,0,0
Patrick Weiss,M,770340897,1999-08-03,Doctorate,School of Graduate Studies,0,0
Jonathan Norris,M,248288549,1995-09-23,Masters,Graduate School of Applied and Professional Psychology,0,0
Chad Dominguez,M,679182601,1998-05-24,Doctorate,School of Graduate Studies,1,0
Jacob Crawford,M,328523603,2000-06-06,Masters,School of Graduate Studies,0,0
Kelly Caldwell,F,297241002,1997-10-10,Masters,School of Graduate Studies,0,0
Caleb Carroll,M,991582683,1998-11-10,Doctorate,School of Graduate Studies,0,0
Lauren Harrison,F,984173207,1999-07-13,Postdoctoral studies,School of Graduate Studies,0,0
Patricia Torres,F,518875608,1998-02-14,Postdoctoral studies,School of Graduate Studies,1,0
Wayne Baker,M,272198151,1996-06-27,Postdoctoral studies,School of Graduate Studies,0,1
Stephen Bowen,M,715596003,1996-04-17,Masters,Graduate School of Education,0,0
Kayla Manning,F,928070006,1994-02-03,Doctorate,Graduate School of Education,0,1
Mr. Fernando Grant,M,142807027,1996-12-18,Doctorate,School of Graduate Studies,0,1
Kim Rodriguez,F,856017432,1998-06-19,Masters,School of Graduate Studies,0,1
Courtney Harrison,F,235832420,2000-09-09,Masters,School of Graduate Studies,0,1
Michele Russell,F,899803093,1994-12-19,Doctorate,School of Graduate Studies,0,0
Peter Simpson,M,593736925,1997-12-27,Masters,Graduate School of Applied and Professional Psychology,0,0
Tiffany Cline,F,878570657,1995-08-24,Masters,School of Graduate Studies,0,0
Dawn Fields,F,376472058,1996-09-04,Doctorate,School of Graduate Studies,0,0
Jacqueline Cabrera,F,549443867,1999-11-15,Masters,School of Graduate Studies,0,0
Edward Hart,M,127597242,1996-08-12,Doctorate,School of Graduate Studies,0,0
Cynthia Riley,F,280857611,1996-08-24,Doctorate,School of Graduate Studies,0,1
Kelly Ford,F,812096242,1998-03-20,Masters,School of Graduate Studies,1,0
William Flores,M,993875145,2000-01-13,Doctorate,School of Graduate Studies,0,0
Timothy Johns,M,434319467,1994-10-31,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Alicia Nguyen,F,547330799,1999-06-02,Doctorate,School of Graduate Studies,0,0
Colleen Whitehead,F,131392487,1999-06-16,Masters,Graduate School of Education,0,1
Ann Hurley,F,377070352,1996-08-28,Postdoctoral studies,School of Graduate Studies,0,0
Jessica Martinez,F,386626854,1994-01-11,Postdoctoral studies,School of Graduate Studies,0,1
Stephanie Morris,F,639262178,1993-10-31,Postdoctoral studies,Graduate School of Education,0,1
Darlene Diaz,F,582772899,2000-02-24,Masters,Graduate School of Applied and Professional Psychology,0,0
Lisa Hernandez,F,725610734,1997-11-18,Doctorate,School of Graduate Studies,0,0
Sharon Taylor,F,616870596,2000-01-14,Postdoctoral studies,School of Graduate Studies,0,1
Shelley Nash,F,695725777,1999-03-25,Masters,School of Graduate Studies,0,1
Ashley Lane,F,710099159,1997-07-06,Masters,Graduate School of Education,0,0
Robin Mckenzie,F,680643217,1997-02-25,Masters,School of Graduate Studies,0,1
Kristi Coleman,F,898710850,1996-07-14,Masters,School of Graduate Studies,0,1
Mr. Mark Hoffman MD,M,954130126,1999-03-23,Postdoctoral studies,School of Graduate Studies,0,0
Deborah Phillips,F,656535547,1997-06-22,Doctorate,School of Graduate Studies,0,0
Rhonda Ford,F,551564689,1995-03-25,Doctorate,Graduate School of Education,0,0
Jason Diaz,M,452944996,1998-05-19,Masters,School of Graduate Studies,0,1
Sarah Lewis,F,565892633,1994-02-08,Masters,Graduate School of Education,0,0
Casey Thomas,M,818316561,2000-05-08,Postdoctoral studies,School of Graduate Studies,0,1
Mark Webb,M,432608038,1995-04-26,Masters,School of Graduate Studies,0,0
Paul Johnson,M,768947657,1995-08-10,Masters,School of Graduate Studies,0,0
Michael Hensley,M,652166723,1995-03-26,Masters,School of Graduate Studies,0,0
Ryan Sims,M,148403843,1993-11-21,Postdoctoral studies,School of Graduate Studies,0,0
Joan Trujillo,F,958032429,1995-08-23,Postdoctoral studies,Graduate School of Applied and Professional Psychology,0,0
Edward Jones,M,929755873,1994-07-24,Masters,School of Graduate Studies,0,1
Roberta Collier,F,354893476,1996-10-17,Doctorate,School of Graduate Studies,0,0
Roberto Powell,M,423808957,1995-05-21,Masters,Graduate School of Education,0,0
Terry Martinez,M,853452390,1996-10-30,Doctorate,Graduate School of Applied and Professional Psychology,1,1
Gary Ortega,M,268332727,1998-01-20,Masters,School of Graduate Studies,0,1
Danielle Turner,F,110050665,1997-10-07,Masters,School of Graduate Studies,0,0
Donna Parker,F,244638626,1994-08-08,Masters,School of Graduate Studies,0,0
Kimberly Edwards,F,367815027,1998-12-06,Masters,Graduate School of Applied and Professional Psychology,0,0
Michael Lewis,M,281623426,1998-06-17,Doctorate,School of Graduate Studies,0,0
Casey Jones,M,922321677,1998-03-26,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Karen Mccullough,F,601353745,1995-03-10,Postdoctoral studies,School of Graduate Studies,0,0
Steven Barnes,M,599155224,1998-08-11,Masters,Graduate School of Education,0,0
Tony Anderson,M,355003431,1997-05-24,Doctorate,Graduate School of Education,0,1
Dana Barnett,F,961531744,1997-02-23,Masters,Graduate School of Education,0,1
Chelsea Snyder,F,766712183,1995-01-09,Doctorate,School of Graduate Studies,0,1
Brandon Smith,M,285831703,1996-05-14,Masters,School of Graduate Studies,0,0
Lee Tapia,M,514162789,1997-10-25,Masters,School of Graduate Studies,0,0
Nathan Lewis,M,920544990,1995-09-04,Postdoctoral studies,School of Graduate Studies,1,0
Emily Santana,F,459919679,1996-04-16,Doctorate,School of Graduate Studies,0,0
Ellen Adams,F,279164865,1994-11-03,Masters,School of Graduate Studies,0,0
Joshua Love,M,257901502,1999-09-08,Masters,School of Graduate Studies,0,1
Sabrina Ward,F,942524715,1999-07-12,Postdoctoral studies,Graduate School of Education,1,0
Bryan Williams,M,425817904,1999-02-09,Masters,School of Graduate Studies,0,1
Kayla Grimes,F,157388817,1997-01-22,Doctorate,School of Graduate Studies,0,0
Kelly Whitaker,F,646139301,1997-12-12,Masters,Graduate School of Education,0,0
Matthew Hernandez,M,920817928,1997-04-27,Doctorate,School of Graduate Studies,0,1
Kathryn Peterson,F,889680932,2000-01-14,Masters,Graduate School of Education,0,0
James Davis,M,982485595,1995-12-12,Doctorate,School of Graduate Studies,0,0
Nicholas Rodriguez,M,512284898,1999-06-17,Doctorate,School of Graduate Studies,0,1
William Duran,M,360501458,1994-03-11,Masters,Graduate School of Applied and Professional Psychology,0,1
Timothy Jones,M,899773559,1996-11-11,Masters,Graduate School of Applied and Professional Psychology,0,1
Janet Blackburn,F,692059872,1998-06-23,Doctorate,School of Graduate Studies,0,0
Daniel Jordan MD,M,999265368,1996-02-25,Doctorate,School of Graduate Studies,0,1
Cory Robinson,M,160259272,1993-11-12,Doctorate,School of Graduate Studies,0,0
Deanna Hernandez,F,733577920,1999-05-02,Masters,Graduate School of Applied and Professional Psychology,0,0
Troy Camacho,M,864638448,1995-06-11,Masters,School of Graduate Studies,0,0
Aaron Potts,M,526299239,1994-05-19,Doctorate,School of Graduate Studies,0,0
John Allen,M,685265836,2000-06-06,Doctorate,School of Graduate Studies,0,0
Chad Chang,M,561082387,1993-12-15,Masters,Graduate School of Education,0,0
Mallory Chase,F,969160287,1999-09-16,Doctorate,School of Graduate Studies,1,0
Jessica Turner,F,900053959,2000-02-19,Masters,School of Graduate Studies,0,0
Jennifer Williamson,F,981005066,1996-05-19,Doctorate,School of Graduate Studies,0,0
Joseph Coffey,M,197800920,1998-10-28,Masters,School of Graduate Studies,0,0
Cheryl Jimenez,F,189522921,1995-05-12,Doctorate,School of Graduate Studies,0,0
Christine Guerrero,F,303792947,1999-10-14,Masters,Graduate School of Education,0,0
Jasmine Cooper,F,579459371,1999-10-28,Doctorate,School of Graduate Studies,0,0
Anthony Gross,M,818703396,1996-07-03,Postdoctoral studies,School of Graduate Studies,0,0
Timothy Burgess,M,593492625,1997-01-03,Doctorate,Graduate School of Education,0,0
Travis Myers,M,431454656,1997-05-04,Masters,School of Graduate Studies,0,0
Charles Stewart,M,703467432,1996-03-29,Doctorate,School of Graduate Studies,0,0
Sean Cobb,M,800805842,1994-02-21,Doctorate,School of Graduate Studies,0,1
Wendy Perkins,F,983551001,1996-12-20,Doctorate,School of Graduate Studies,0,0
Wayne Dudley,M,784172628,1995-09-09,Masters,School of Graduate Studies,0,0
Jennifer Santiago,F,850836140,1997-03-06,Postdoctoral studies,Graduate School of Education,0,0
Briana Gonzalez,F,705695568,1994-05-24,Doctorate,School of Graduate Studies,0,0
Scott Allen,M,282664580,1998-02-08,Masters,Graduate School of Education,1,0
Lauren Williams,F,193121038,1998-12-18,Masters,Graduate School of Applied and Professional Psychology,0,1
Bryan Flowers,M,945677276,1996-06-15,Masters,School of Graduate Studies,0,0
Laurie Chambers,F,307338238,1994-03-02,Doctorate,Graduate School of Applied and Professional Psychology,0,1
Michelle Williams MD,F,914048948,1998-05-25,Masters,School of Graduate Studies,1,1
Rodney Simmons,M,645476955,2000-03-29,Masters,Graduate School of Education,0,1
Jessica Garcia,F,799821427,1995-02-28,Masters,Graduate School of Education,0,1
Carolyn Davenport,F,621575834,1995-05-01,Doctorate,School of Graduate Studies,0,0
Connor Bell,M,603669811,1998-02-04,Doctorate,School of Graduate Studies,0,0
Maria Williams,F,123038291,1998-02-07,Doctorate,School of Graduate Studies,0,1
Michael Gallagher,M,447285918,1996-04-29,Doctorate,School of Graduate Studies,0,0
Steven Lewis,M,123748586,1999-11-05,Masters,School of Graduate Studies,0,0
Frank Evans,M,113221365,1994-08-14,Doctorate,Graduate School of Education,0,0
John Taylor,M,896464420,1995-08-30,Masters,Graduate School of Applied and Professional Psychology,0,0
Alexander Oconnor,M,855594166,1998-01-27,Masters,Graduate School of Education,0,0
Erica Webb,F,140482109,2000-08-09,Masters,School of Graduate Studies,0,0
Mrs. Cynthia Kim,F,796404260,1999-04-13,Postdoctoral studies,Graduate School of Education,0,0
Michelle Carson,F,604224779,1994-11-11,Masters,School of Graduate Studies,0,0
Sarah Wright,F,503598510,1998-10-10,Doctorate,Graduate School of Education,0,1
Kelly Todd,F,654439352,1998-12-17,Doctorate,Graduate School of Education,0,0
Patricia Blair,F,960013283,1994-02-28,Doctorate,Graduate School of Education,0,0
Kevin Ali,M,870699938,1996-11-05,Doctorate,Graduate School of Education,0,0
Elizabeth Schneider,F,431916309,1999-10-19,Doctorate,School of Graduate Studies,0,1
Sarah Yang,F,207351611,1999-10-13,Doctorate,School of Graduate Studies,0,0
Virginia Love,F,535448579,1997-10-27,Masters,School of Graduate Studies,0,1
Lisa Thomas,F,359860754,1999-10-30,Masters,Graduate School of Education,0,0
Michael Oliver,M,808515863,1995-02-21,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Bryan Yoder,M,914427334,2000-09-22,Masters,Graduate School of Education,0,0
Roger Salinas,M,405983047,1995-10-14,Doctorate,School of Graduate Studies,0,0
Richard Jackson,M,254946682,1998-04-30,Doctorate,School of Graduate Studies,0,0
Timothy Reed,M,300257303,1995-08-09,Doctorate,School of Graduate Studies,0,0
Frank Banks,M,952906758,1997-04-03,Masters,Graduate School of Education,0,0
Laura Oconnor,F,670710661,1999-07-13,Doctorate,School of Graduate Studies,0,0
Anthony Waters,M,258372476,1997-06-02,Masters,School of Graduate Studies,0,1
Brianna Carlson,F,695047168,1994-03-14,Masters,School of Graduate Studies,0,0
Anthony Jones,M,350321775,1995-04-16,Masters,Graduate School of Applied and Professional Psychology,0,0
Brandy Thomas,F,850085850,1997-10-12,Masters,School of Graduate Studies,0,0
Michael Parks,M,514372948,1999-06-18,Masters,School of Graduate Studies,1,0
Brad Harris,M,749217147,2000-01-21,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Chad Martin,M,460622753,1996-02-06,Masters,Graduate School of Education,0,1
Stephen Wallace,M,620113372,1998-08-29,Masters,School of Graduate Studies,0,1
Sergio Wilson,M,974837015,1993-11-14,Doctorate,Graduate School of Education,0,1
David Thompson,M,808779201,1999-03-26,Masters,Graduate School of Education,0,0
Shannon Mccall,F,554364128,1998-06-29,Doctorate,School of Graduate Studies,0,1
Pamela Horton,F,978627450,1995-10-10,Masters,School of Graduate Studies,1,0
Robin Robinson,F,202832198,1995-05-06,Masters,School of Graduate Studies,0,0
Heather Perry,F,136120098,1997-02-25,Masters,Graduate School of Applied and Professional Psychology,0,0
Adam Kelly,M,124451707,1999-01-30,Masters,School of Graduate Studies,0,0
Brian Watson,M,725002675,1995-04-18,Doctorate,School of Graduate Studies,0,0
Ryan Nichols,M,878903364,1996-12-15,Masters,Graduate School of Applied and Professional Psychology,0,0
Elizabeth Wade,F,507309797,1994-06-29,Masters,School of Graduate Studies,0,0
Sarah Moore,F,562291824,1995-08-06,Masters,School of Graduate Studies,0,1
Dr. Amy Nunez DVM,F,161639963,1996-10-21,Masters,School of Graduate Studies,0,1
Jesus Joseph,M,141740227,1998-03-30,Masters,School of Graduate Studies,0,1
Christopher Jackson,M,937313557,1994-04-06,Masters,School of Graduate Studies,0,0
John Daugherty,M,183075330,1997-07-16,Masters,Graduate School of Applied and Professional Psychology,0,0
Peter Roberts,M,345474479,1998-09-11,Masters,Graduate School of Education,0,1
Daniel Davis,M,551725270,1999-05-16,Doctorate,School of Graduate Studies,0,1
Darryl Wells,M,356650874,1996-09-29,Masters,School of Graduate Studies,0,1
David Huffman,M,105024091,1998-04-11,Masters,Graduate School of Education,0,0
Jacob Spence,M,129295136,1995-05-24,Masters,School of Graduate Studies,0,0
Melissa Combs,F,203627955,1996-10-13,Doctorate,School of Graduate Studies,0,1
David Walters,M,610417454,1998-05-25,Doctorate,School of Graduate Studies,0,0
Christopher Novak,M,237797855,1999-05-26,Masters,School of Graduate Studies,0,1
Rebecca Kirk,F,814148590,1998-03-19,Masters,School of Graduate Studies,1,1
Amy Willis,F,445371712,2000-01-14,Masters,Graduate School of Education,0,1
Vanessa Knight,F,576554066,2000-06-29,Masters,School of Graduate Studies,0,1
Derek Garcia,M,702018922,1998-06-08,Masters,School of Graduate Studies,0,0
Stacy Bauer,F,607138653,1994-12-29,Doctorate,School of Graduate Studies,0,0
Tracy Jacobson,F,980060523,1997-09-08,Masters,School of Graduate Studies,0,1
Thomas Johnson,M,834416987,1996-08-29,Masters,School of Graduate Studies,0,0
Taylor Nguyen,F,104503174,1998-09-20,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Paula Cunningham,F,335809866,1995-02-07,Masters,School of Graduate Studies,0,0
Tonya Flynn,F,998933035,1995-04-14,Masters,School of Graduate Studies,0,0
Ms. Tina Turner,F,814090424,2000-01-16,Doctorate,School of Graduate Studies,0,1
Jessica Nash,F,357128601,1994-03-20,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Michael Anderson,M,151405939,2000-01-29,Doctorate,School of Graduate Studies,0,1
Brooke Barry,F,173447169,1996-03-17,Doctorate,School of Graduate Studies,0,0
Stanley Roth,M,350496865,1993-12-08,Doctorate,Graduate School of Applied and Professional Psychology,0,0
Mark Abbott,M,954306506,2000-01-25,Masters,Graduate School of Education,1,0
James Griffin,M,469931633,2000-08-10,Doctorate,School of Graduate Studies,0,1
Elizabeth Roberson,F,311143149,1998-07-22,Doctorate,School of Graduate Studies,0,1
Debbie Daniels,F,887865003,1995-11-23,Doctorate,Graduate School of Education,0,0
Justin George,M,713460471,1995-04-28,Doctorate,School of Graduate Studies,0,0
Elizabeth Salazar,F,691190026,1994-07-29,Doctorate,School of Graduate Studies,0,0
Michael Perez,M,906899508,1993-10-20,Doctorate,School of Graduate Studies,0,0
Mrs. Tanya Reed MD,F,965835130,1994-12-25,Masters,School of Graduate Studies,0,0
Betty Morales,F,581729145,1993-10-19,Doctorate,School of Graduate Studies,0,0
Scott Holland,M,969245487,1998-10-04,Doctorate,School of Graduate Studies,0,0
Richard Terry,M,979989384,1996-05-01,Doctorate,School of Graduate Studies,0,0
Stephanie Ford,F,430631728,1998-11-12,Masters,School of Graduate Studies,0,1
Kathleen Davenport,F,754299912,1995-06-19,Doctorate,Graduate School of Education,0,0
Jacob Dennis,M,829374088,1997-11-18,Masters,School of Graduate Studies,0,1
Douglas Evans,M,257968831,1994-10-02,Postdoctoral studies,School of Graduate Studies,0,1
Lori Chung,F,564908114,1994-01-24,Masters,School of Graduate Studies,0,0
Brian Deleon,M,462425025,1998-04-27,Masters,School of Graduate Studies,0,0
Andrew Lambert,M,212428740,1997-01-25,Doctorate,School of Graduate Studies,0,1
Grant Reilly,M,698335105,1996-08-13,Masters,School of Graduate Studies,0,0
Jeffrey Vega,M,720299317,1994-04-16,Masters,Graduate School of Education,0,0
Justin Bennett,M,697462704,1997-09-25,Masters,School of Graduate Studies,0,0
Shane Roberts,M,784107419,1997-10-31,Doctorate,School of Graduate Studies,0,0
Steven Dawson,M,893491684,1997-12-03,Masters,School of Graduate Studies,0,0
Victoria Fields,F,773584592,1996-11-22,Postdoctoral studies,Graduate School of Applied and Professional Psychology,0,0
Joshua Jordan,M,303946881,1996-04-18,Doctorate,Graduate School of Education,0,0
Cynthia Wright,F,175035833,1995-09-29,Masters,School of Graduate Studies,0,0
Kristen Ochoa,F,712177689,1996-03-28,Masters,School of Graduate Studies,0,0
Amanda Reed,F,535588704,1997-06-21,Postdoctoral studies,School of Graduate Studies,0,1
William Sullivan,M,793028454,1997-12-04,Doctorate,Graduate School of Education,0,0
Charlotte Christensen,F,399281724,1998-01-27,Masters,School of Graduate Studies,0,0
Rhonda Fischer,F,181122475,1998-05-03,Masters,School of Graduate Studies,0,0
Andrew Holt,M,334216518,1996-03-27,Masters,Graduate School of Education,0,0
Mario Greene,M,771534862,1999-05-10,Masters,School of Graduate Studies,0,0
Victor Solomon,M,936931989,1998-08-14,Doctorate,Graduate School of Applied and Professional Psychology,1,0
Nathan Jackson,M,995725452,1998-08-12,Doctorate,School of Graduate Studies,0,1
Karina Lopez,F,284701591,1996-06-06,Doctorate,Graduate School of Education,0,1
Stanley Rogers,M,513632755,1996-06-19,Masters,School of Graduate Studies,0,0
Ryan King,M,963243454,1997-10-31,Masters,School of Graduate Studies,0,0
Nicholas Johnson,M,930164377,1997-07-03,Masters,School of Graduate Studies,0,0
Elizabeth Jensen,F,353026243,1997-06-28,Doctorate,School of Graduate Studies,0,0
Pamela Oconnor,F,770432359,1999-10-12,Postdoctoral studies,Graduate School of Education,0,0
James Allen,M,667767308,1994-05-21,Doctorate,School of Graduate Studies,0,1
Jennifer Reyes,F,852284017,1999-02-09,Doctorate,School of Graduate Studies,0,0
Mr. Ryan Owens,M,822022597,1998-12-25,Doctorate,School of Graduate Studies,0,0
Jennifer Palmer,F,679779280,2000-01-25,Doctorate,Graduate School of Education,0,1
Randall Shelton,M,145094739,1999-05-17,Postdoctoral studies,School of Graduate Studies,0,0
Karen Garner,F,961107113,1999-05-16,Doctorate,School of Graduate Studies,0,0
Nicole Contreras,F,591939243,1994-02-21,Doctorate,School of Graduate Studies,0,0
Katherine Daniel,F,218188017,1996-06-13,Masters,School of Graduate Studies,0,0
Paul Peterson,M,157759340,1998-08-18,Masters,Graduate School of Applied and Professional Psychology,0,0
Michael Roberts,M,637585540,1993-10-09,Masters,School of Graduate Studies,0,0
Brian Smith,M,617793156,1996-12-12,Postdoctoral studies,School of Graduate Studies,0,0
Ronnie Wood,M,602885146,1999-05-16,Masters,School of Graduate Studies,0,0
Abigail Donaldson,F,269228638,1996-09-06,Postdoctoral studies,School of Graduate Studies,0,1
