name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
Eric Odonnell,M,535176122,2004-07-25,Sophomore,School of Arts and Sciences,0,1,['NCA' 'RA' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,7000
Peter Castro,M,246945308,2004-10-20,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'MZH' 'MRS'],Apartment,1,1,1,8000-11000,11000
Cheryl Warner,F,469667488,2000-02-02,Freshman,School of Arts and Sciences,0,0,['BS' 'MZH' 'JS'],Apartment,1,0,1,4000-6000,6000
Virginia Holmes,F,681552718,2001-01-04,Sophomore,School of Communication and Information,0,1,['WS' 'RA' 'BS'],Suite,1,1,1,6000-8000,7000
David Kelly,M,634873991,2005-06-20,Senior,School of Engineering,1,0,['SA' 'MRS' 'MS'],Apartment,1,0,1,4000-6000,6000
Amanda Mann,F,968350038,2002-04-26,Sophomore,School of Environmental and Biological Sciences,0,1,['WS' 'BS' 'RA'],Apartment,1,1,1,4000-6000,5000
Kathleen Wright,F,812090696,1999-11-09,Freshman,Mason Gross School of the Arts,0,0,['BH' 'SA' 'NCA'],Suite,1,1,1,8000-11000,11000
Jason Cohen,M,645728038,2005-06-07,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['AH' 'SA' 'BH'],Traditional Residence Hall,1,0,1,4000-6000,6000
Kathryn Mitchell,F,846329296,2001-08-04,Sophomore,School of Arts and Sciences,0,0,['MH' 'MZH' 'BH'],Apartment,1,1,1,8000-11000,11000
Jeremy Myers,M,164635891,2003-04-01,Junior,School of Social Work,0,0,['RA' 'NCA' 'CS'],Apartment,1,1,0,6000-8000,8000
Austin Dawson DDS,M,200142880,2000-03-07,Freshman,School of Arts and Sciences,0,1,['AH' 'SA' 'NCA'],Apartment,1,1,1,6000-8000,7000
Frank Ross,M,147183088,2000-10-15,Freshman,School of Engineering,0,0,['TS' 'WS' 'BS'],Apartment,1,1,0,4000-6000,6000
Emily Phillips,F,687722180,2003-04-29,Freshman,School of Engineering,0,0,['MRS' 'SA' 'CS'],Suite,1,1,1,4000-6000,6000
Brad Dennis,M,781618318,2004-08-14,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1,['SA' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,7000
Christina Roy,F,239107422,2002-08-30,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'JS' 'SA'],Apartment,1,0,1,8000-11000,11000
Stephanie Griffin,F,684588398,2004-06-23,Junior,School of Communication and Information,0,0,['NCA' 'SA' 'MRS'],Apartment,1,1,1,4000-6000,6000
Lisa Navarro,F,846870831,2000-12-30,Sophomore,School of Arts and Sciences,0,0,['BH' 'AH' 'RA'],Suite,1,1,1,4000-6000,6000
Mackenzie Manning,F,746053652,2005-06-06,Freshman,School of Communication and Information,0,1,['NCA' 'BS' 'JS'],Suite,1,1,1,8000-11000,10000
Stephanie Welch,F,890170329,2000-01-29,Freshman,School of Management and Labor Relations,0,0,['RA' 'MS' 'JS'],Apartment,1,1,1,6000-8000,8000
Lori Frost,F,657098254,2002-07-02,Senior,School of Arts and Sciences,0,1,['CS' 'MRS' 'MH'],Apartment,1,1,1,4000-6000,5000
David Wilson,M,821338503,2001-04-24,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'SA'],Suite,1,1,1,8000-11000,11000
Jason Johnson,M,367335230,2000-09-13,Freshman,School of Environmental and Biological Sciences,0,0,['SA' 'RA' 'JS'],Apartment,1,1,1,8000-11000,11000
Ryan Irwin,M,492337262,2005-01-18,Junior,School of Management and Labor Relations,0,0,['RA' 'TS' 'BS'],Suite,1,1,1,6000-8000,8000
Sabrina Moses,F,569695049,2001-12-05,Freshman,School of Arts and Sciences,1,0,['MZH' 'RA' 'SA'],Suite,1,1,1,6000-8000,8000
Michael Peterson,M,479827305,2002-03-22,Junior,School of Arts and Sciences,0,0,['BS' 'RA' 'SA'],Apartment,1,1,1,6000-8000,8000
Megan Spencer,F,994000095,2003-08-01,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MZH' 'TS'],Apartment,1,1,1,4000-6000,6000
Mrs. Amber Chung,F,413079723,2004-04-02,Sophomore,School of Arts and Sciences,0,0,['AH' 'CS' 'WS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Andrew Alvarez,M,547344570,2004-01-04,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'NCA'],Apartment,1,1,1,4000-6000,6000
Tim Paul,M,981834717,2005-08-23,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'AH' 'TS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Lisa Ware,F,301367366,2000-08-15,Senior,School of Arts and Sciences,0,0,['CS' 'MRS' 'RA'],Suite,1,1,1,4000-6000,6000
Corey Smith,M,350940789,2002-04-06,Junior,Mason Gross School of the Arts,0,0,['RA' 'SA' 'JS'],Apartment,1,1,0,4000-6000,6000
Debra Brown,F,805017223,2003-01-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'WS' 'SA'],Suite,1,1,1,6000-8000,8000
Mary Fowler,F,603727922,2004-04-27,Senior,School of Communication and Information,0,0,['MS' 'NCA' 'SA'],Traditional Residence Hall,1,0,0,4000-6000,6000
Rebecca Murphy,F,104885125,2000-11-01,Sophomore,School of Arts and Sciences,0,1,['CS' 'BS' 'WS'],Suite,1,1,1,4000-6000,5000
Audrey Williams,F,782360034,2004-10-01,Sophomore,School of Social Work,0,1,['NCA' 'SA' 'JS'],Suite,1,1,1,6000-8000,7000
Danielle Robinson,F,500452405,2003-04-04,Sophomore,School of Arts and Sciences,0,0,['BS' 'SA' 'TS'],Apartment,1,1,1,8000-11000,11000
Samuel Russell,M,122112799,2000-09-09,Sophomore,School of Arts and Sciences,0,1,['SA' 'NCA' 'MZH'],Suite,1,1,1,8000-11000,10000
Donald Gonzalez,M,164428376,2002-04-27,Junior,School of Arts and Sciences,0,1,['TS' 'MH' 'NCA'],Apartment,1,1,1,8000-11000,10000
Karen Lee,F,329669353,2000-12-27,Sophomore,School of Communication and Information,0,1,['MS' 'SA' 'MZH'],Suite,1,1,1,4000-6000,5000
Heather Lawson,F,486541330,2000-04-12,Freshman,School of Communication and Information,0,1,['SA' 'MH' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,7000
Richard Lara,M,395642117,2002-06-06,Freshman,School of Arts and Sciences,0,1,['NCA' 'RA' 'BS'],Suite,1,1,1,4000-6000,5000
Edward Brown,M,581415273,2000-11-10,Sophomore,School of Environmental and Biological Sciences,0,1,['SA' 'MH' 'MS'],Apartment,1,1,1,4000-6000,5000
Vincent Mack,M,876990471,2004-12-09,Freshman,School of Arts and Sciences,0,0,['BS' 'SA' 'RA'],Suite,1,1,1,6000-8000,8000
Rodney Stevens,M,943111529,2002-02-01,Junior,School of Engineering,0,0,['MRS' 'BS' 'MZH'],Suite,1,1,1,4000-6000,6000
Jacob Hahn,M,189711825,2000-11-21,Junior,School of Arts and Sciences,0,1,['TS' 'BS' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,7000
Heather Rocha,F,492175653,2002-08-28,Freshman,School of Arts and Sciences,0,0,['WS' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,6000
Matthew Randall,M,577041437,2004-08-25,Sophomore,Mason Gross School of the Arts,0,1,['MRS' 'BS' 'MH'],Apartment,1,1,1,4000-6000,5000
Christopher Owen,M,470126676,2004-02-10,Freshman,School of Engineering,0,0,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000
William Frederick,M,504863578,1999-10-16,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'SA' 'BH'],Suite,1,1,1,8000-11000,11000
Kevin Hines,M,244999740,1999-10-03,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MZH' 'AH' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Tiffany Simpson,F,707415619,2000-03-18,Sophomore,Mason Gross School of the Arts,0,0,['MZH' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,11000
Barbara Kennedy,F,191710459,2005-05-07,Sophomore,School of Social Work,0,0,['SA' 'NCA' 'BS'],Suite,1,1,1,6000-8000,8000
Ian Porter,M,510938062,2004-09-13,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'NCA' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,11000
Christopher Beard,M,460716072,2001-04-23,Sophomore,School of Communication and Information,0,0,['MZH' 'JS' 'SA'],Suite,1,1,1,6000-8000,8000
Bradley Garcia,M,662204578,2004-11-16,Freshman,Mason Gross School of the Arts,0,0,['RA' 'MRS' 'BS'],Apartment,1,1,1,4000-6000,6000
Michael Bowman,M,727368266,2000-10-21,Sophomore,School of Arts and Sciences,0,1,['BS' 'MS' 'MH'],Apartment,1,1,1,6000-8000,7000
Norma Green,F,523448109,1999-12-17,Sophomore,School of Management and Labor Relations,0,0,['RA' 'MZH' 'MS'],Apartment,1,1,1,8000-11000,11000
Lydia Oconnell,F,300096011,2003-08-19,Senior,School of Arts and Sciences,0,0,['SA' 'BS' 'JS'],Apartment,1,0,1,6000-8000,8000
Jennifer Anderson,F,603492959,2003-09-12,Freshman,School of Social Work,1,0,['WS' 'MS' 'MRS'],Suite,1,1,0,8000-11000,11000
Julia Graham,F,556220668,2005-07-28,Junior,School of Arts and Sciences,0,1,['NCA' 'BS' 'MRS'],Suite,1,1,1,4000-6000,5000
James Miles,M,316529426,2001-12-07,Junior,School of Arts and Sciences,0,0,['RA' 'SA' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,11000
Sandra Romero,F,962075009,2002-09-01,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'TS' 'RA'],Suite,1,1,1,8000-11000,11000
Ashley Watson,F,722212701,2002-04-29,Freshman,School of Engineering,0,0,['MZH' 'BS' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Michael Peterson,M,747253100,2002-02-09,Senior,School of Social Work,0,0,['SA' 'TS' 'MRS'],Traditional Residence Hall,1,1,1,6000-8000,8000
Tiffany Mullins,F,485732772,2002-12-14,Junior,School of Social Work,0,1,['SA' 'NCA' 'JS'],Apartment,1,1,1,8000-11000,10000
Dawn Shepard,F,623226474,2001-06-25,Senior,School of Arts and Sciences,0,1,['TS' 'BS' 'AH'],Apartment,1,1,1,8000-11000,10000
Edward Smith,M,716462588,1999-10-13,Junior,School of Communication and Information,0,0,['RA' 'MH' 'NCA'],Suite,1,1,1,4000-6000,6000
Ashley Jones,F,437707282,2003-05-13,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'TS' 'BS'],Apartment,1,1,1,4000-6000,6000
Lauren Brown,F,128530618,2000-07-25,Sophomore,School of Management and Labor Relations,0,1,['MH' 'NCA' 'BS'],Apartment,1,1,0,4000-6000,5000
Courtney Garcia,F,705802545,2005-06-09,Sophomore,School of Arts and Sciences,0,0,['CS' 'BS' 'MH'],Apartment,1,1,1,8000-11000,11000
Michelle Hart,F,810878622,2003-06-22,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BH' 'BS' 'MS'],Apartment,1,1,1,4000-6000,6000
Patricia Brooks,F,498386971,2004-10-13,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BH' 'MZH'],Apartment,1,1,1,6000-8000,8000
Kenneth Hoover,M,778781928,2005-09-27,Freshman,School of Arts and Sciences,0,1,['BS' 'MS' 'MH'],Apartment,1,1,1,8000-11000,10000
Lisa Herrera,F,538651722,2004-04-02,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['MH' 'RA' 'CS'],Suite,1,1,1,8000-11000,10000
Erin Moore,F,197357439,2002-11-07,Senior,School of Arts and Sciences,0,0,['BS' 'TS' 'JS'],Suite,1,1,1,8000-11000,11000
Cynthia Mclean,F,344429622,2000-06-07,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'MS'],Suite,1,1,1,6000-8000,8000
Carla Valencia,F,109225654,2004-06-02,Sophomore,Mason Gross School of the Arts,0,1,['BS' 'RA' 'MRS'],Suite,1,1,1,8000-11000,10000
Mary Molina,F,247298958,1999-12-07,Freshman,School of Arts and Sciences,0,0,['AH' 'BS' 'RA'],Apartment,1,0,1,4000-6000,6000
Sean Beltran,M,822245275,2004-12-06,Sophomore,School of Arts and Sciences,0,0,['BS' 'SA' 'JS'],Suite,1,1,0,8000-11000,11000
Bonnie Underwood,F,335423407,2003-08-07,Junior,School of Communication and Information,0,0,['BS' 'MZH' 'BH'],Apartment,1,1,1,8000-11000,11000
Martha Leblanc,F,131625342,2003-12-04,Sophomore,School of Communication and Information,0,0,['BH' 'RA' 'MH'],Suite,1,1,1,4000-6000,6000
Dawn Jackson,F,434489110,2005-05-04,Freshman,School of Engineering,0,1,['RA' 'MRS' 'NCA'],Apartment,1,1,1,8000-11000,10000
Adam Hall,M,641017311,2000-04-18,Freshman,School of Communication and Information,0,1,['SA' 'TS' 'AH'],Apartment,1,1,1,8000-11000,10000
Kim Green,F,408709247,2001-01-04,Senior,School of Arts and Sciences,0,0,['SA' 'BS' 'TS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Brooke Moreno,F,101214516,2005-08-28,Junior,School of Management and Labor Relations,0,0,['JS' 'RA' 'BS'],Apartment,1,1,1,8000-11000,11000
Terry Shah,F,361281737,2001-06-25,Freshman,School of Social Work,0,1,['MH' 'NCA' 'MRS'],Suite,1,1,0,4000-6000,5000
Keith Porter,M,693316908,2001-11-13,Freshman,School of Engineering,0,1,['SA' 'BS' 'RA'],Suite,1,1,1,4000-6000,5000
Julie Smith,F,606277374,2004-02-19,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1,['RA' 'MS' 'NCA'],Suite,1,1,1,4000-6000,5000
Scott Scott,M,833538001,2000-07-28,Sophomore,School of Arts and Sciences,0,0,['RA' 'SA' 'BH'],Traditional Residence Hall,1,1,1,4000-6000,6000
Bryan Stewart,M,665869192,2001-05-31,Sophomore,School of Communication and Information,0,0,['MS' 'WS' 'NCA'],Suite,1,1,1,6000-8000,8000
Thomas Benson,M,670897963,2000-01-19,Freshman,School of Engineering,0,1,['RA' 'WS' 'NCA'],Suite,1,1,1,4000-6000,5000
Emily Nash,F,856424601,2005-09-14,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'MRS' 'AH'],Suite,1,1,1,4000-6000,6000
Leah Bailey,F,244099033,2004-04-28,Sophomore,School of Arts and Sciences,0,1,['NCA' 'WS' 'MZH'],Apartment,1,1,1,6000-8000,7000
Alexis Chen,F,775288926,2003-08-05,Sophomore,Mason Gross School of the Arts,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,8000-11000,11000
Richard Allen,M,738814548,2000-02-17,Sophomore,School of Arts and Sciences,0,0,['BS' 'RA' 'NCA'],Suite,1,1,1,4000-6000,6000
Hayden Hernandez,M,221147475,2004-01-28,Freshman,School of Arts and Sciences,0,0,['RA' 'BH' 'MH'],Apartment,1,1,1,4000-6000,6000
Dr. Jason Harrison,M,176817300,2002-01-03,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'MRS' 'BS'],Suite,1,1,1,4000-6000,6000
Rebecca Smith,F,947437506,2005-07-07,Senior,School of Environmental and Biological Sciences,0,0,['RA' 'MS' 'MRS'],Suite,1,1,1,4000-6000,6000
Mary Hunter,F,430068147,2003-03-03,Freshman,School of Arts and Sciences,0,0,['SA' 'BS' 'TS'],Suite,1,1,1,4000-6000,6000
Melissa Mooney,F,141138357,2004-01-13,Freshman,School of Arts and Sciences,0,1,['WS' 'MS' 'CS'],Apartment,1,1,1,4000-6000,5000
Rhonda Mcconnell,F,834637092,2001-01-22,Freshman,School of Arts and Sciences,0,0,['TS' 'CS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000
Eileen Baker,F,884696702,2004-05-07,Junior,School of Arts and Sciences,0,0,['BS' 'NCA' 'SA'],Suite,1,1,1,4000-6000,6000
Adrian Jones,M,533767494,2001-03-26,Sophomore,School of Arts and Sciences,0,0,['BS' 'AH' 'SA'],Apartment,1,1,1,8000-11000,11000
Jonathan Curry,M,729966528,2005-09-23,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'AH' 'JS'],Suite,1,0,1,8000-11000,11000
Susan Lee,F,810174856,2000-04-04,Freshman,School of Arts and Sciences,0,0,['CS' 'BS' 'JS'],Suite,1,1,1,8000-11000,11000
Francis Mclean,M,457649971,2004-02-11,Freshman,School of Arts and Sciences,0,1,['SA' 'BS' 'MRS'],Apartment,1,1,1,4000-6000,5000
Amber Lee,F,727065047,2003-07-27,Junior,School of Social Work,0,0,['MZH' 'RA' 'JS'],Suite,1,1,1,4000-6000,6000
Amanda Mitchell,F,463606519,2001-12-26,Junior,School of Communication and Information,0,1,['MH' 'MRS' 'BH'],Suite,1,1,1,4000-6000,5000
Kim Hernandez,F,847326103,2000-03-06,Senior,School of Arts and Sciences,0,0,['NCA' 'BS' 'JS'],Apartment,1,1,1,4000-6000,6000
Corey Johnson,M,638605213,2000-10-23,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'NCA' 'SA'],Apartment,1,1,1,8000-11000,11000
Charlene Smith,F,355366857,2001-05-09,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BH' 'BS'],Apartment,1,1,1,4000-6000,6000
David Noble,M,135173347,2005-07-17,Junior,School of Engineering,0,1,['TS' 'BS' 'SA'],Suite,1,1,1,4000-6000,5000
Samuel Hawkins,M,160633589,2003-07-16,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['CS' 'RA' 'MZH'],Suite,1,1,1,4000-6000,5000
Rachel Estrada,F,439440514,2004-06-08,Freshman,School of Engineering,0,0,['JS' 'WS' 'MH'],Apartment,1,1,1,4000-6000,6000
Rebecca Jones,F,208192694,2000-02-29,Sophomore,School of Social Work,1,0,['RA' 'BH' 'TS'],Suite,1,1,1,4000-6000,6000
Amanda Shaw,F,557784353,2003-02-11,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'BH'],Apartment,1,1,1,8000-11000,11000
Frank Gould,M,455852889,2002-08-02,Sophomore,Mason Gross School of the Arts,0,0,['MS' 'NCA' 'CS'],Traditional Residence Hall,1,1,1,6000-8000,8000
Mark Owen,M,437509653,2005-08-20,Freshman,School of Engineering,0,1,['MH' 'SA' 'BS'],Suite,1,1,1,8000-11000,10000
Joshua Hall,M,669721704,2003-10-22,Freshman,School of Arts and Sciences,0,1,['RA' 'BS' 'TS'],Suite,1,1,1,6000-8000,7000
Miss Jessica Murphy,F,175167097,2002-11-01,Junior,Mason Gross School of the Arts,0,1,['AH' 'TS' 'BS'],Apartment,1,1,1,4000-6000,5000
Johnny Sanders,M,809823225,2001-06-25,Freshman,School of Arts and Sciences,0,1,['NCA' 'RA' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,5000
Scott Wilkinson,M,588296004,2002-05-31,Freshman,School of Communication and Information,0,0,['NCA' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,6000
Christine Pratt,F,264686683,2000-01-13,Sophomore,Mason Gross School of the Arts,0,1,['BS' 'SA' 'BH'],Traditional Residence Hall,1,1,1,4000-6000,5000
Meagan Lawson,F,100926647,2000-02-17,Freshman,School of Arts and Sciences,0,0,['BS' 'CS' 'MH'],Suite,1,1,1,4000-6000,6000
Johnny Hill,M,166804153,2003-01-22,Sophomore,School of Arts and Sciences,0,0,['MZH' 'MS' 'AH'],Traditional Residence Hall,1,1,1,4000-6000,6000
Heather Wallace,F,146559334,2000-09-12,Senior,School of Arts and Sciences,0,1,['CS' 'WS' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,10000
Amy Estrada,F,785982482,2003-09-01,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'NCA' 'MS'],Suite,1,1,1,4000-6000,6000
Christopher Clark,M,448023072,2003-03-16,Senior,School of Social Work,0,0,['SA' 'BH' 'TS'],Apartment,1,1,1,4000-6000,6000
Katherine Harris,F,922935669,2002-07-23,Freshman,School of Arts and Sciences,0,1,['SA' 'JS' 'TS'],Suite,1,1,1,4000-6000,5000
Mark Reed,M,182096208,2003-03-03,Sophomore,Mason Gross School of the Arts,0,0,['SA' 'BS' 'RA'],Suite,1,1,1,6000-8000,8000
Derrick Dalton,M,165352771,2005-06-23,Senior,Mason Gross School of the Arts,0,1,['NCA' 'AH' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,5000
Sarah Graves,F,260563379,2002-12-11,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['MS' 'BS' 'BH'],Apartment,1,1,1,4000-6000,5000
Steven White,M,596271628,2003-10-29,Junior,School of Social Work,0,0,['RA' 'CS' 'BS'],Suite,1,1,1,8000-11000,11000
Darren Rodriguez,M,127789948,2002-05-17,Freshman,School of Management and Labor Relations,0,1,['SA' 'RA' 'BS'],Apartment,1,0,1,4000-6000,5000
Benjamin White,M,139043259,2003-03-26,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000
Elizabeth Tucker,F,152548892,2003-09-30,Junior,School of Communication and Information,0,1,['NCA' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,5000
Oscar Smith DDS,M,516998563,2001-09-08,Freshman,School of Social Work,0,0,['NCA' 'AH' 'BS'],Suite,1,1,1,6000-8000,8000
Denise Thomas,F,711658911,2001-11-25,Freshman,School of Engineering,0,1,['JS' 'RA' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,7000
Joseph Adams,M,730413671,2000-04-21,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'RA'],Suite,1,1,1,6000-8000,8000
Anthony Castro,M,113122619,2000-06-03,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BH' 'RA' 'MH'],Suite,1,1,1,4000-6000,6000
Jessica Clayton,F,612554038,2000-05-20,Freshman,Mason Gross School of the Arts,0,0,['BS' 'SA' 'MZH'],Suite,1,1,1,4000-6000,6000
Dr. Curtis Buckley,M,950775170,2000-07-29,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BH' 'SA' 'BS'],Suite,1,1,0,4000-6000,6000
Marcus Soto,M,298973841,2000-11-23,Freshman,School of Management and Labor Relations,0,0,['BS' 'SA' 'CS'],Apartment,1,1,1,6000-8000,8000
Kari Cruz,F,434397162,2000-05-01,Junior,School of Social Work,0,1,['MH' 'TS' 'RA'],Suite,1,0,1,8000-11000,10000
Bradley Wilson,M,306404444,2001-02-22,Freshman,School of Communication and Information,0,1,['BS' 'RA' 'AH'],Apartment,1,1,1,4000-6000,5000
Christina Miller,F,877641344,2005-02-15,Senior,School of Arts and Sciences,0,0,['MRS' 'RA' 'WS'],Apartment,1,1,1,8000-11000,11000
Robert Marshall,M,211780897,2005-08-14,Sophomore,School of Arts and Sciences,0,1,['NCA' 'TS' 'BS'],Apartment,1,1,1,4000-6000,5000
Lisa Ramos,F,233274002,2004-03-24,Freshman,School of Social Work,0,1,['SA' 'AH' 'BS'],Suite,1,1,1,4000-6000,5000
Janet Kline,F,382693642,2004-03-13,Senior,School of Arts and Sciences,0,0,['BH' 'BS' 'CS'],Suite,1,1,1,8000-11000,11000
Lee Anderson,M,282358863,2004-01-19,Sophomore,Mason Gross School of the Arts,0,1,['NCA' 'BS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,5000
Jesse Floyd,M,418353809,2001-02-15,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['MS' 'RA' 'MH'],Apartment,1,1,1,6000-8000,8000
Robert Hawkins,M,120080709,2004-09-28,Sophomore,School of Arts and Sciences,0,1,['SA' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,5000
Christine Mcdowell,F,878905360,2001-01-07,Senior,School of Arts and Sciences,0,0,['RA' 'MZH' 'MS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Nicholas Rosales,M,688788291,2003-08-21,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'MRS' 'RA'],Suite,1,1,1,4000-6000,6000
Mr. Justin Farmer MD,M,854979514,2005-02-14,Freshman,School of Arts and Sciences,0,0,['SA' 'MS' 'JS'],Suite,1,1,1,4000-6000,6000
Amanda Galvan,F,974361373,2001-06-06,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'SA' 'JS'],Apartment,1,1,1,4000-6000,6000
Marcia Perkins,F,488231556,2005-01-02,Freshman,School of Arts and Sciences,0,1,['BH' 'WS' 'RA'],Apartment,1,1,1,4000-6000,5000
Michael Wood,M,628144746,2004-06-08,Freshman,School of Arts and Sciences,0,0,['AH' 'RA' 'TS'],Suite,1,1,1,4000-6000,6000
James Thomas,M,391944889,2001-12-28,Freshman,Mason Gross School of the Arts,0,1,['SA' 'CS' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,7000
Trevor Kim,M,403629031,1999-11-03,Junior,Rutgers Business School–Newark and New Brunswick,1,0,['BS' 'WS' 'NCA'],Apartment,1,0,1,4000-6000,6000
