name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status
Kristin Ferguson,F,623524867,2005-09-16,Freshman,Mason Gross School of the Arts,0,0
Susan Brown,F,319711093,2001-11-28,Junior,School of Arts and Sciences,0,0
Kristin Martin,F,348865544,2001-05-11,Freshman,School of Arts and Sciences,0,1
Jason Warner,M,611375982,2003-03-25,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Diane Rosales,F,665068030,2001-08-04,Junior,School of Arts and Sciences,0,0
Richard Wright,M,842031643,1999-10-16,Sophomore,School of Management and Labor Relations,0,0
Timothy Mercer,M,440343419,2003-06-22,Junior,School of Engineering,0,1
Danielle Ross,F,373330048,2001-04-07,Freshman,School of Engineering,0,0
Charles Mitchell,M,257885049,2003-06-04,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1
David Jenkins,M,840745360,2002-04-10,Junior,School of Engineering,0,0
Brenda Hamilton,F,780072861,2000-03-25,Freshman,School of Arts and Sciences,0,0
Kevin Schmidt,M,539450153,2005-08-31,Freshman,School of Arts and Sciences,1,0
Steven Thompson,M,635862143,2003-10-14,Sophomore,School of Engineering,0,0
Doris Craig,F,976026388,2001-08-06,Freshman,School of Arts and Sciences,0,0
Kimberly Meza,F,511143407,2003-09-09,Sophomore,School of Arts and Sciences,0,0
Clarence Lee,M,509581120,2000-11-29,Sophomore,School of Management and Labor Relations,0,0
Anne Rich,F,593439517,2002-06-01,Freshman,School of Environmental and Biological Sciences,0,0
Scott Green,M,428579563,2004-07-23,Senior,School of Engineering,0,0
David Burke,M,873282330,1999-12-03,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Jason Anderson,M,418270234,2004-06-01,Freshman,School of Arts and Sciences,0,0
Keith Prince,M,221034694,2005-07-30,Freshman,School of Environmental and Biological Sciences,0,0
Lori Taylor,F,657791939,1999-12-22,Freshman,School of Arts and Sciences,0,0
David Garza,M,550619791,2003-02-07,Sophomore,School of Arts and Sciences,0,0
Shelly Mcdaniel,F,426618725,2005-05-26,Senior,Mason Gross School of the Arts,0,1
Tanya Miller,F,772994616,2004-07-22,Sophomore,Mason Gross School of the Arts,0,0
Michelle Harris,F,552533479,2002-02-26,Sophomore,School of Arts and Sciences,0,1
Michael Morton,M,154074182,2000-10-04,Senior,School of Environmental and Biological Sciences,0,1
Matthew Campos,M,312273727,2004-08-05,Senior,School of Communication and Information,0,0
Laurie Owens,F,676686968,2000-03-28,Freshman,School of Arts and Sciences,0,0
Alan Mcmahon,M,571405184,2005-03-28,Junior,School of Arts and Sciences,0,0
Raymond Turner,M,169586995,2003-04-06,Freshman,School of Environmental and Biological Sciences,0,0
Derrick Mora,M,796958056,2001-01-19,Freshman,School of Arts and Sciences,0,0
James Park,M,691445731,2000-08-10,Sophomore,School of Arts and Sciences,0,0
Lisa Acosta,F,339561067,2003-01-03,Freshman,School of Arts and Sciences,0,0
Donna Martinez,F,152447472,2001-01-18,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Sarah Diaz,F,267984562,2001-07-18,Freshman,School of Arts and Sciences,0,0
Shane Smith,M,632135468,2000-09-08,Freshman,Mason Gross School of the Arts,0,0
John Stevenson,M,124524339,2000-07-09,Freshman,School of Engineering,0,0
Roger Evans,M,485533781,2003-09-30,Sophomore,School of Arts and Sciences,0,0
Jill Brown,F,469226236,2001-04-17,Sophomore,School of Communication and Information,0,1
Jacob Poole,M,989772964,2000-12-13,Sophomore,School of Management and Labor Relations,0,0
Thomas Mckenzie,M,512867988,2005-08-31,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Jason Blackwell,M,412629792,1999-11-14,Freshman,School of Arts and Sciences,0,0
Patricia Briggs,F,873828694,2003-11-04,Sophomore,School of Arts and Sciences,0,1
Ashley Brown,F,845288429,2004-07-17,Freshman,Mason Gross School of the Arts,0,1
Shawn Garrison,M,355893811,2005-02-15,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Derek Morales,M,778353578,2002-05-09,Freshman,School of Social Work,0,0
Crystal Neal,F,688614580,1999-10-25,Junior,School of Arts and Sciences,0,1
Scott Ruiz,M,567440864,2005-07-06,Freshman,School of Engineering,0,1
Laurie Zimmerman,F,102968536,2004-09-17,Senior,School of Arts and Sciences,0,0
Jeff Foster,M,625127594,2000-05-24,Sophomore,School of Arts and Sciences,0,0
Kimberly Peterson,F,185721277,1999-10-28,Sophomore,Mason Gross School of the Arts,0,1
Troy Hernandez,M,408231243,2004-02-15,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Melissa Lynch,F,235000913,2005-07-05,Freshman,School of Arts and Sciences,0,0
Kenneth Cook,M,610135260,2004-09-28,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Carl Soto,M,601208619,2001-08-16,Junior,School of Communication and Information,0,0
Clifford Graham,M,542261433,2004-05-19,Freshman,School of Arts and Sciences,0,0
Kimberly Massey,F,783435711,2004-09-18,Freshman,School of Engineering,1,0
Jason Gonzalez,M,612631641,2001-01-17,Junior,School of Arts and Sciences,0,0
Jacob Tyler,M,236941122,2004-05-04,Freshman,School of Engineering,0,0
Alexis Campbell,F,477793015,1999-12-29,Freshman,School of Arts and Sciences,0,0
Anthony Martin,M,716122849,2002-03-06,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1
Hannah Clark,F,569614712,2002-08-28,Junior,School of Arts and Sciences,0,0
Daniel Hill,M,953086065,1999-12-17,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Valerie French,F,185089098,2000-07-15,Freshman,School of Arts and Sciences,0,1
Dennis Gonzales,M,430496396,2003-08-28,Sophomore,School of Communication and Information,0,0
Robert Collins,M,639916948,2001-02-10,Senior,Mason Gross School of the Arts,0,0
Matthew White,M,852583953,2001-11-26,Freshman,School of Social Work,0,1
Bethany Mann,F,370381567,2002-05-06,Sophomore,School of Communication and Information,0,0
Marvin Coleman,M,441316283,2003-10-11,Junior,School of Arts and Sciences,0,1
John Kent,M,557640288,2005-05-25,Senior,Mason Gross School of the Arts,0,0
Tara Michael,F,607912069,2001-05-06,Sophomore,School of Arts and Sciences,0,0
Miss Ebony Navarro,F,480578722,2000-05-26,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0
Gina Warren,F,125113313,2001-05-27,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Wendy Thompson,F,846025861,2002-03-09,Sophomore,School of Arts and Sciences,0,0
Bobby Miller,M,754826412,2001-01-20,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Chelsea Drake,F,446561135,2005-04-03,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1
Edward Martinez,M,659525697,2000-06-07,Junior,School of Engineering,0,0
Matthew Taylor,M,535734706,2000-11-28,Sophomore,School of Arts and Sciences,0,0
Dennis Wood,M,296569153,2005-04-26,Junior,School of Arts and Sciences,0,0
Hailey Maldonado,F,904390896,2001-02-22,Sophomore,School of Arts and Sciences,0,0
Eric Sanchez,M,998171404,2001-07-11,Freshman,School of Communication and Information,0,0
Julie Carr,F,530949470,2002-09-12,Sophomore,School of Engineering,0,0
Michael York,M,914313325,2004-07-26,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Cindy Snyder,F,374747399,2005-08-03,Freshman,School of Arts and Sciences,0,0
Joseph Wilson,M,585593999,2002-11-06,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Stanley Fox,M,654627902,2000-08-21,Junior,School of Arts and Sciences,0,0
Mrs. Rebecca White,F,854958786,2000-07-08,Freshman,Mason Gross School of the Arts,0,1
James Powell,M,356856936,2003-02-19,Junior,School of Arts and Sciences,0,1
Debra Carter,F,593946344,2004-02-17,Freshman,School of Arts and Sciences,0,0
Erin Smith,F,620467314,2000-12-26,Freshman,School of Management and Labor Relations,0,1
Francisco Howe,M,835421606,2000-09-02,Freshman,School of Environmental and Biological Sciences,0,1
Anita Hall,F,770169714,2001-11-21,Sophomore,Mason Gross School of the Arts,0,1
Mary Ramos,F,927609351,2004-06-27,Freshman,School of Arts and Sciences,0,0
Natalie Martinez,F,421952236,2000-09-14,Freshman,School of Communication and Information,0,0
Stephanie Bullock,F,619605283,1999-11-17,Freshman,School of Arts and Sciences,0,0
Keith Brown,M,824254187,2005-02-25,Freshman,School of Arts and Sciences,0,0
Patrick Ramirez,M,414433509,2001-01-15,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Ashley Patrick,F,420165264,2003-01-02,Sophomore,School of Arts and Sciences,1,0
Aaron Brown,M,355178077,2004-02-03,Sophomore,School of Communication and Information,0,0
Alexandra Carter,F,933730528,2002-09-19,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Grant Freeman,M,535141249,2001-08-30,Freshman,School of Communication and Information,1,0
Danielle Porter,F,778383633,2005-05-28,Freshman,School of Arts and Sciences,0,1
Jenny Reyes,F,169240237,2004-04-11,Freshman,School of Arts and Sciences,0,0
Tina Gaines,F,989286386,2003-05-05,Freshman,School of Arts and Sciences,0,0
Carol Shaffer,F,442876252,2002-10-22,Junior,School of Arts and Sciences,0,0
Pamela Clayton,F,452411061,2003-01-13,Freshman,School of Communication and Information,0,0
Stephen Colon,M,712784617,2003-07-15,Freshman,School of Engineering,0,0
Lori Bridges,F,953351315,2002-12-03,Sophomore,School of Engineering,0,1
Alyssa Cook,F,591643274,2000-10-16,Junior,School of Arts and Sciences,1,1
Samuel Miller,M,290579585,2000-02-27,Freshman,School of Communication and Information,0,0
Jennifer Shields,F,987914592,2001-07-15,Senior,School of Arts and Sciences,0,0
Eric May,M,831319556,2002-10-03,Freshman,School of Management and Labor Relations,0,0
Darren Saunders,M,676231206,2003-07-29,Freshman,School of Arts and Sciences,0,0
Robert Cruz,M,112839022,1999-12-01,Senior,School of Arts and Sciences,1,0
Daniel Woods,M,982162245,2005-01-12,Junior,School of Engineering,0,0
Jenna Brooks,F,137841536,2002-06-18,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1
Frances Walker,F,868362495,1999-11-04,Freshman,School of Arts and Sciences,0,0
William Bruce,M,646953362,2003-05-30,Freshman,School of Arts and Sciences,0,1
Deborah Chan,F,253753401,2002-05-27,Freshman,School of Engineering,0,0
Nicolas Taylor,M,577578652,2003-12-05,Freshman,Mason Gross School of the Arts,0,0
Robert Choi,M,522294515,1999-10-30,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
David Hernandez,M,477342016,1999-12-29,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Brett Stevens,M,424545369,2005-05-18,Senior,School of Arts and Sciences,1,1
James Martin,M,692225359,2000-05-24,Freshman,School of Arts and Sciences,1,1
Teresa White,F,633995577,2003-11-07,Sophomore,School of Engineering,0,0
Matthew Alvarez,M,805180771,2004-12-10,Sophomore,School of Arts and Sciences,0,0
Robert Lopez,M,485316115,2004-02-09,Sophomore,School of Arts and Sciences,0,0
Jeremy Brown,M,798214721,2002-03-02,Freshman,School of Communication and Information,1,0
Jessica West,F,452767335,2002-09-21,Freshman,Mason Gross School of the Arts,0,0
Becky Ellis DDS,F,890561583,1999-12-27,Freshman,School of Communication and Information,0,0
William Brady,M,497468691,2005-02-03,Sophomore,School of Arts and Sciences,0,0
Donna Carr,F,347903221,1999-11-29,Senior,School of Social Work,0,1
Tyler Jones,M,889553645,2003-11-14,Senior,School of Communication and Information,0,0
Tim George,M,895302738,2000-05-20,Sophomore,School of Arts and Sciences,0,0
Michelle Roberts,F,573188570,2004-05-29,Freshman,School of Management and Labor Relations,0,0
Samuel Mcdonald,M,236945540,2000-02-07,Sophomore,School of Environmental and Biological Sciences,0,0
Jeffrey Skinner,M,714137078,2004-11-14,Senior,School of Arts and Sciences,0,0
Frank Morales,M,626049633,2003-11-25,Freshman,Rutgers Business School–Newark and New Brunswick,0,1
Rebecca Beasley,F,754473805,2005-05-30,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Kevin Palmer,M,150649104,2002-01-07,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Joshua Wilson,M,367896908,2003-05-29,Junior,School of Arts and Sciences,1,0
Micheal Ellis,M,937828410,2000-12-02,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Nicholas Everett,M,461583356,2005-06-11,Freshman,School of Arts and Sciences,0,1
Kimberly Evans,F,290330480,1999-12-17,Freshman,School of Arts and Sciences,0,1
Roberto Lawrence,M,894249472,2002-02-02,Junior,School of Environmental and Biological Sciences,0,0
David Daniels,M,465596853,2003-02-14,Junior,School of Communication and Information,0,1
Bryan Macias,M,268630675,2005-07-16,Junior,Rutgers Business School–Newark and New Brunswick,0,1
Christina Thompson,F,417864489,2003-01-11,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Colleen Leach,F,624701157,2000-03-16,Junior,School of Engineering,0,0
Madison Klein,F,596417355,2004-12-12,Junior,School of Arts and Sciences,0,1
Brandon Lowe,M,400232278,2001-06-26,Senior,School of Environmental and Biological Sciences,0,0
Peggy Patel,F,637591823,2002-10-22,Freshman,School of Engineering,0,0
Megan Perez,F,623786777,2000-11-23,Sophomore,School of Arts and Sciences,1,0
Elijah Mcdonald,M,559539550,2002-04-05,Freshman,School of Arts and Sciences,0,1
Anthony Thompson,M,819654582,2003-02-03,Senior,School of Engineering,0,1
Stacy Blackwell,F,283145616,2000-07-04,Freshman,School of Arts and Sciences,0,1
Jake Brown,M,133574840,2001-07-12,Sophomore,School of Arts and Sciences,1,1
Ashley Perez,F,160975690,2004-11-18,Freshman,School of Arts and Sciences,0,0
Michael Ho,M,161799300,2001-12-30,Junior,School of Management and Labor Relations,0,1
Miguel Richards,M,538038490,2004-10-11,Freshman,School of Arts and Sciences,0,0
Andrew Johnson,M,279840499,2000-04-30,Freshman,School of Arts and Sciences,0,0
Gerald Roberts,M,206443565,2004-11-08,Junior,School of Arts and Sciences,1,1
James Higgins,M,756115002,2000-12-11,Sophomore,School of Arts and Sciences,0,0
Jeremy Mack,M,939445736,2002-10-06,Junior,School of Engineering,0,0
Brittany Miranda,F,294994542,2004-02-04,Freshman,School of Arts and Sciences,0,0
Vanessa Thompson,F,592518599,2005-03-20,Freshman,School of Arts and Sciences,0,0
Donna Powell,F,178301890,1999-12-08,Junior,School of Engineering,0,1
Cheryl Hernandez,F,149324491,2000-07-06,Sophomore,School of Engineering,0,0
Steven Wilson,M,666745066,2004-09-18,Freshman,School of Communication and Information,1,0
Charles Wilson,M,521612886,2004-08-02,Freshman,School of Arts and Sciences,0,0
Andrea Lee,F,162894257,2000-04-30,Freshman,School of Management and Labor Relations,0,1
Chelsey Abbott,F,677449801,2000-10-21,Sophomore,Mason Gross School of the Arts,0,0
Lisa Johnson,F,847667755,2001-11-14,Sophomore,School of Communication and Information,0,0
Mrs. Maureen Vasquez,F,502846478,2000-04-09,Sophomore,School of Arts and Sciences,0,1
Julie Hall,F,457495593,2002-10-12,Freshman,School of Social Work,0,0
Meghan Richards,F,278450207,2001-02-06,Junior,Mason Gross School of the Arts,0,0
Kurt Choi,M,424041607,2004-02-09,Freshman,Rutgers Business School–Newark and New Brunswick,0,1
John Ortiz,M,826783461,2003-04-29,Freshman,School of Social Work,0,1
Sonia Smith,F,745496877,2004-03-21,Junior,School of Arts and Sciences,0,0
Laura Cole,F,402001441,2001-05-10,Freshman,School of Engineering,0,1
Alejandro Wilson,M,947033907,2002-02-11,Freshman,School of Engineering,0,0
Joseph Meadows,M,355756518,2002-09-17,Junior,School of Arts and Sciences,0,0
Jill Wagner,F,825798586,2000-05-05,Freshman,School of Environmental and Biological Sciences,0,0
Heidi Romero,F,493979011,2001-06-07,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Teresa Rodriguez,F,539821654,2001-11-13,Freshman,School of Arts and Sciences,0,0
Lindsay Terry,F,314555543,2005-09-16,Sophomore,School of Communication and Information,0,0
Yvonne Francis,F,280596945,2000-08-04,Freshman,Mason Gross School of the Arts,0,1
Kelly Kelly,F,524552111,2000-07-23,Sophomore,School of Management and Labor Relations,0,1
Michael Mcmillan,M,127879701,2002-06-05,Sophomore,School of Social Work,0,0
Monique Bell,F,855412750,2002-01-03,Junior,School of Communication and Information,1,0
Randall Moore,M,658489523,2000-07-05,Freshman,School of Communication and Information,0,0
Brandon Rivera,M,412003943,2000-12-22,Sophomore,School of Communication and Information,0,0
Natalie Mills,F,654419768,2001-01-13,Freshman,School of Social Work,0,0
Diane Madden,F,198966824,2005-01-07,Junior,School of Arts and Sciences,0,0
Krystal Peters,F,122253774,2002-06-06,Freshman,School of Arts and Sciences,0,0
Jennifer Conner,F,921788435,1999-12-22,Freshman,School of Environmental and Biological Sciences,0,0
Craig Powell,M,481592828,2000-10-18,Freshman,School of Management and Labor Relations,0,1
Michael Sampson,M,888173631,2002-11-14,Freshman,School of Social Work,0,1
Kaitlyn Carson,F,205819037,2003-06-29,Sophomore,School of Arts and Sciences,1,0
Ryan Miles,M,728698752,2001-07-07,Sophomore,School of Arts and Sciences,0,0
Jeremy Johnson MD,M,817063729,2004-01-12,Sophomore,School of Arts and Sciences,0,0
Shaun Adams,M,694133707,2003-08-10,Senior,School of Arts and Sciences,0,0
Samuel Martinez,M,623468890,2000-02-16,Freshman,School of Engineering,0,0
Stephanie Fisher,F,500044709,2001-01-19,Freshman,School of Arts and Sciences,0,0
Katelyn David,F,991146476,2003-05-26,Junior,School of Social Work,0,0
Austin Hunter,M,132765634,2000-10-10,Junior,School of Management and Labor Relations,0,0
Julia Pierce,F,532628519,2005-02-09,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Walter Smith,M,335673009,2004-09-22,Freshman,School of Engineering,0,0
Paula Walker,F,697893227,2002-08-04,Sophomore,School of Communication and Information,0,0
Troy Orr,M,951037259,2002-05-14,Sophomore,Mason Gross School of the Arts,0,0
Michael Bates,M,566825632,2002-03-13,Sophomore,School of Environmental and Biological Sciences,0,1
Michael Middleton,M,329824438,2001-05-07,Junior,School of Arts and Sciences,0,0
Glenn Ellis,M,196920145,2003-10-17,Sophomore,School of Arts and Sciences,0,1
Ronald Johnson,M,550506600,2000-07-30,Freshman,School of Arts and Sciences,0,0
Dominique Rodriguez,F,691391491,2001-01-22,Freshman,School of Communication and Information,0,0
April Mullins,F,580322562,2003-07-31,Sophomore,Mason Gross School of the Arts,0,0
Matthew Marquez,M,901869152,2000-03-07,Sophomore,School of Arts and Sciences,0,0
Morgan Rowe,F,514531092,2001-06-16,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0
Justin Garcia,M,628179500,2005-03-31,Junior,Mason Gross School of the Arts,0,1
Dr. Rose Smith MD,F,659950951,2004-03-07,Junior,School of Communication and Information,1,0
Michael Robertson,M,753619951,2001-10-18,Freshman,School of Arts and Sciences,0,0
Andrea Erickson,F,982377914,2002-06-14,Sophomore,School of Engineering,0,1
Nicole Neal,F,910265435,2004-03-19,Sophomore,School of Arts and Sciences,0,0
Victoria Mills,F,482684645,2004-10-20,Junior,School of Social Work,0,0
Maria Wilkerson,F,434924549,2002-05-31,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
James Hood,M,270663901,2001-03-12,Freshman,School of Management and Labor Relations,0,0
Nathan Knapp,M,129649727,2000-09-30,Freshman,School of Arts and Sciences,0,0
Molly Walker,F,194522154,2004-09-29,Junior,Mason Gross School of the Arts,0,0
Michelle Stevens,F,706722183,2002-03-29,Junior,School of Communication and Information,0,1
Sheri King,F,349505316,2005-09-27,Freshman,School of Arts and Sciences,0,0
Mary Manning DDS,F,569700932,2003-09-20,Junior,School of Environmental and Biological Sciences,0,1
Terry Moreno,M,429286195,2001-12-20,Freshman,Mason Gross School of the Arts,0,0
Brandon Thompson,M,795968603,2002-03-04,Freshman,School of Management and Labor Relations,0,0
Mrs. Monique Myers,F,250115896,2002-08-25,Senior,School of Environmental and Biological Sciences,0,0
Jonathan Wilson,M,213178528,2001-12-22,Senior,School of Arts and Sciences,1,1
Lindsey Graham,F,740494876,2003-04-19,Senior,Rutgers Business School–Newark and New Brunswick,0,1
Joanna Dillon,F,387847233,2005-05-20,Sophomore,Mason Gross School of the Arts,0,1
Jasmine Baker,F,810584617,1999-10-10,Freshman,Mason Gross School of the Arts,0,0
Jennifer Elliott,F,701253438,2002-06-11,Freshman,School of Arts and Sciences,0,0
James Williams,M,762908135,2003-08-14,Sophomore,School of Communication and Information,0,0
Karen Brown,F,532245127,2001-01-08,Sophomore,School of Arts and Sciences,0,0
Diana Bradford,F,272665393,2004-05-29,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Nicole Farmer,F,691243172,2000-09-03,Freshman,School of Social Work,0,0
Melissa Bauer,F,404301721,2000-04-30,Sophomore,School of Engineering,0,0
Jessica Russell,F,996024248,2002-09-17,Freshman,School of Engineering,0,0
Holly Welch,F,773478067,2001-07-30,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Ernest Osborne,M,564749494,2005-05-25,Senior,Edward J. Bloustein School of Planning and Public Policy,0,1
Rachel Mckinney,F,893283500,2001-11-04,Sophomore,School of Arts and Sciences,0,1
Abigail Miller,F,133590111,2002-10-29,Sophomore,School of Arts and Sciences,0,0
Emily Golden,F,990701893,2004-10-18,Freshman,School of Arts and Sciences,0,0
Ronnie Mitchell,M,850155460,2003-08-28,Freshman,School of Communication and Information,0,0
Susan Morales,F,607811822,2001-05-25,Sophomore,School of Arts and Sciences,0,0
Ashley Reyes,F,939370720,2001-08-26,Sophomore,School of Arts and Sciences,0,0
Ashley Simmons,F,313451252,2000-08-20,Sophomore,School of Social Work,0,1
Rhonda Thompson,F,331188649,1999-11-18,Sophomore,School of Arts and Sciences,0,0
Rose Odom,F,887600238,2003-12-14,Freshman,School of Management and Labor Relations,0,1
Joel Nelson,M,957915542,2005-08-30,Sophomore,Mason Gross School of the Arts,0,0
Ricky Evans,M,119954195,2003-01-26,Junior,School of Social Work,0,0
Jennifer Olson,F,201782631,1999-12-11,Junior,School of Arts and Sciences,0,0
Mark Torres,M,605704751,2000-10-15,Junior,Mason Gross School of the Arts,0,0
Brittany Coleman,F,312999264,2005-07-26,Junior,Mason Gross School of the Arts,0,0
Shelley Fischer,F,349100344,2001-04-03,Junior,Mason Gross School of the Arts,0,0
Tony Leon,M,932310895,1999-12-30,Freshman,School of Arts and Sciences,0,0
Donna Garcia,F,750036572,2002-06-13,Freshman,School of Arts and Sciences,0,0
Christopher Taylor,M,313660855,2000-04-09,Junior,School of Arts and Sciences,0,0
Karen Campbell,F,442531351,2000-08-10,Freshman,School of Arts and Sciences,1,0
Melanie Hill,F,143345817,2001-07-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,1
James Scott,M,694571312,2003-11-08,Freshman,School of Management and Labor Relations,0,1
Ronald Palmer,M,840593505,2002-08-17,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Jane Anderson,F,637540985,2004-04-19,Sophomore,Mason Gross School of the Arts,0,0
James Anderson,M,411653138,2005-07-09,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Jennifer Thompson,F,396891993,2003-08-10,Sophomore,School of Arts and Sciences,0,1
Michael Hodge,M,977802119,2004-10-02,Freshman,School of Arts and Sciences,0,0
Jenny Erickson,F,141788221,2004-01-30,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1
William Nelson,M,934961164,2004-01-12,Freshman,School of Arts and Sciences,1,1
Alexandria Potts,F,118007429,2000-09-23,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Mrs. Lindsay Smith DVM,F,884480589,2000-11-11,Junior,School of Arts and Sciences,0,0
Luke Frank,M,985461686,2001-01-30,Freshman,Mason Gross School of the Arts,0,1
Shannon Shepard,F,802982586,2001-01-06,Sophomore,School of Communication and Information,0,0
Marcia Cook,F,397953744,2001-11-24,Freshman,Mason Gross School of the Arts,0,0
Kevin Harris,M,306797381,2001-07-02,Junior,School of Arts and Sciences,1,0
Shelly Parker,F,395881185,2000-01-16,Junior,Rutgers Business School–Newark and New Brunswick,1,1
Bailey Wilson,F,316276238,2003-09-27,Sophomore,School of Engineering,0,0
Sean Carter,M,385567720,2001-05-22,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Anne Cummings,F,130062201,2004-10-22,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
William Nielsen,M,798952323,2000-03-16,Sophomore,School of Arts and Sciences,0,0
Nicole Jimenez,F,390333527,2004-01-09,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
