name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
Robert Chen,M,427816198,2004-06-23,Freshman,Mason Gross School of the Arts,0,1,['MS' 'MRS' 'BH'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[713551261, 952139753]"
Mark Gibbs,M,738372963,2005-01-26,Freshman,School of Arts and Sciences,0,0,['RA' 'MRS' 'MS'],Suite,1,1,1,4000-6000,6000,"[232051853, 563352581]"
Connie Craig,F,365580710,2002-02-12,Sophomore,School of Arts and Sciences,0,0,['WS' 'BS' 'CS'],Suite,1,1,1,4000-6000,6000,[461740250]
Kevin Rodriguez MD,M,379215366,2003-12-07,Junior,School of Social Work,0,1,['CS' 'SA' 'RA'],Apartment,1,1,1,4000-6000,5000,"[131260061, 801025113]"
Cassandra Hansen,F,786101372,2001-11-20,Sophomore,School of Arts and Sciences,0,0,['MRS' 'BS' 'CS'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[159361474, 296083833]"
Kenneth Pennington,M,756683296,2003-03-14,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BS' 'TS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[232756474, 887690042]"
Jonathan Harding,M,856828372,2005-07-10,Freshman,School of Arts and Sciences,0,0,['TS' 'RA' 'MZH'],Suite,1,1,1,8000-11000,11000,[955026204]
Jessica Smith,F,421156751,2002-06-01,Junior,School of Arts and Sciences,0,0,['TS' 'RA' 'WS'],Suite,1,1,1,8000-11000,11000,"[170762091, 675593922]"
James Oneal,M,231721214,2001-05-22,Freshman,School of Arts and Sciences,0,0,['BH' 'WS' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[966949822]
Kimberly Martin,F,778746313,2004-03-16,Freshman,School of Arts and Sciences,0,0,['BH' 'BS' 'NCA'],Suite,1,1,1,8000-11000,11000,"[702571531, 140612367]"
Ana Wise,F,660607339,2003-08-17,Sophomore,School of Engineering,0,0,['MRS' 'RA' 'MS'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[116062893, 897889310]"
Stephen Clark,M,585397160,2004-08-17,Junior,School of Arts and Sciences,1,0,['TS' 'MS' 'BS'],Suite,1,1,1,8000-11000,11000,[416082836]
Keith Hester,M,828711677,2003-01-28,Sophomore,School of Arts and Sciences,0,0,['MS' 'WS' 'BS'],Suite,1,1,1,4000-6000,6000,[633904611]
Dawn Golden,F,485611276,2003-01-28,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['RA' 'SA' 'MZH'],Suite,1,0,1,4000-6000,5000,"[693700480, 255890274]"
Tiffany Romero,F,285144094,2000-10-15,Sophomore,School of Communication and Information,1,0,['SA' 'WS' 'BS'],Apartment,1,0,1,6000-8000,8000,"[736730773, 283335818]"
David Davis,M,807078092,2005-08-13,Freshman,School of Arts and Sciences,0,1,['RA' 'SA' 'JS'],Apartment,1,1,1,4000-6000,5000,[480578722]
Elijah Le,M,773781965,2002-05-10,Freshman,School of Arts and Sciences,0,0,['SA' 'BH' 'BS'],Suite,1,1,1,4000-6000,6000,[171652837]
Nicole Gardner,F,669831116,2004-03-21,Freshman,Mason Gross School of the Arts,0,0,['BS' 'AH' 'JS'],Suite,1,1,1,8000-11000,11000,[775366238]
Dr. Roberto Smith,M,891765813,2000-10-22,Sophomore,School of Arts and Sciences,0,1,['MZH' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,5000,"[686030476, 912030217]"
Kristin Ferguson,F,623524867,2005-09-16,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'BS' 'MZH'],Suite,1,1,1,8000-11000,11000,"[338726630, 423311431]"
Susan Brown,F,319711093,2001-11-28,Junior,School of Arts and Sciences,0,0,['BS' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,8000,[632633326]
Kristin Martin,F,348865544,2001-05-11,Freshman,School of Arts and Sciences,0,1,['MZH' 'BS' 'SA'],Suite,1,1,1,8000-11000,10000,[479103058]
Jason Warner,M,611375982,2003-03-25,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'RA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[280878024]
Diane Rosales,F,665068030,2001-08-04,Junior,School of Arts and Sciences,0,0,['NCA' 'MRS' 'BS'],Suite,1,1,1,4000-6000,6000,[185906709]
Richard Wright,M,842031643,1999-10-16,Sophomore,School of Management and Labor Relations,0,0,['BS' 'MRS' 'SA'],Suite,1,1,1,8000-11000,11000,"[497761398, 644078125]"
Timothy Mercer,M,440343419,2003-06-22,Junior,School of Engineering,0,1,['SA' 'RA' 'WS'],Suite,1,1,1,4000-6000,5000,"[141847188, 530842864]"
Danielle Ross,F,373330048,2001-04-07,Freshman,School of Engineering,0,0,['TS' 'SA' 'BH'],Suite,1,1,1,6000-8000,8000,"[182718724, 845075274]"
Charles Mitchell,M,257885049,2003-06-04,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['TS' 'BS' 'MH'],Suite,1,1,1,4000-6000,5000,"[421488641, 110811313]"
David Jenkins,M,840745360,2002-04-10,Junior,School of Engineering,0,0,['NCA' 'MS' 'MZH'],Apartment,1,1,1,4000-6000,6000,"[418464836, 390529391]"
Brenda Hamilton,F,780072861,2000-03-25,Freshman,School of Arts and Sciences,0,0,['NCA' 'MH' 'MRS'],Suite,1,0,1,4000-6000,6000,[525681811]
Kevin Schmidt,M,539450153,2005-08-31,Freshman,School of Arts and Sciences,1,0,['NCA' 'MH' 'SA'],Suite,1,1,1,4000-6000,6000,[763511205]
Steven Thompson,M,635862143,2003-10-14,Sophomore,School of Engineering,0,0,['NCA' 'AH' 'RA'],Suite,1,1,1,4000-6000,6000,[569712739]
Doris Craig,F,976026388,2001-08-06,Freshman,School of Arts and Sciences,0,0,['BS' 'JS' 'RA'],Suite,1,1,1,4000-6000,6000,"[467294962, 525427485]"
Kimberly Meza,F,511143407,2003-09-09,Sophomore,School of Arts and Sciences,0,0,['SA' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,6000,"[593412071, 235319573]"
Clarence Lee,M,509581120,2000-11-29,Sophomore,School of Management and Labor Relations,0,0,['BS' 'MZH' 'MS'],Traditional Residence Hall,1,0,1,6000-8000,8000,"[614829779, 413012450]"
Anne Rich,F,593439517,2002-06-01,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'WS' 'AH'],Apartment,1,1,1,8000-11000,11000,[182213418]
Scott Green,M,428579563,2004-07-23,Senior,School of Engineering,0,0,['SA' 'BS' 'MS'],Suite,1,1,1,8000-11000,11000,"[220020550, 450445651]"
David Burke,M,873282330,1999-12-03,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'BS' 'MRS'],Apartment,1,1,1,4000-6000,6000,"[984158639, 941408544]"
Jason Anderson,M,418270234,2004-06-01,Freshman,School of Arts and Sciences,0,0,['BS' 'MS' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[243017540, 903573133]"
Keith Prince,M,221034694,2005-07-30,Freshman,School of Environmental and Biological Sciences,0,0,['BH' 'NCA' 'BS'],Suite,1,1,1,4000-6000,6000,"[514646526, 745898295]"
Lori Taylor,F,657791939,1999-12-22,Freshman,School of Arts and Sciences,0,0,['MH' 'AH' 'BH'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[592533218, 873828694]"
David Garza,M,550619791,2003-02-07,Sophomore,School of Arts and Sciences,0,0,['TS' 'NCA' 'SA'],Traditional Residence Hall,1,0,1,4000-6000,6000,[514775137]
Shelly Mcdaniel,F,426618725,2005-05-26,Senior,Mason Gross School of the Arts,0,1,['SA' 'MS' 'NCA'],Suite,1,1,1,6000-8000,7000,"[920369132, 602578158]"
Tanya Miller,F,772994616,2004-07-22,Sophomore,Mason Gross School of the Arts,0,0,['CS' 'MS' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[389945992, 596388250]"
Michelle Harris,F,552533479,2002-02-26,Sophomore,School of Arts and Sciences,0,1,['BS' 'BH' 'JS'],Apartment,1,1,1,8000-11000,10000,"[202603155, 848895644]"
Michael Morton,M,154074182,2000-10-04,Senior,School of Environmental and Biological Sciences,0,1,['JS' 'BH' 'BS'],Suite,1,1,1,6000-8000,7000,"[245197544, 593946344]"
Matthew Campos,M,312273727,2004-08-05,Senior,School of Communication and Information,0,0,['MZH' 'TS' 'RA'],Apartment,1,1,1,4000-6000,6000,"[823670032, 780708569]"
Laurie Owens,F,676686968,2000-03-28,Freshman,School of Arts and Sciences,0,0,['RA' 'MS' 'JS'],Suite,1,0,1,4000-6000,6000,"[409761328, 871015504]"
Alan Mcmahon,M,571405184,2005-03-28,Junior,School of Arts and Sciences,0,0,['SA' 'WS' 'BH'],Suite,1,1,1,6000-8000,8000,"[861027152, 603410182]"
Raymond Turner,M,169586995,2003-04-06,Freshman,School of Environmental and Biological Sciences,0,0,['MZH' 'BH' 'SA'],Suite,1,1,1,4000-6000,6000,[977251829]
Derrick Mora,M,796958056,2001-01-19,Freshman,School of Arts and Sciences,0,0,['RA' 'SA' 'BH'],Apartment,1,1,1,8000-11000,11000,"[832688353, 851624275]"
James Park,M,691445731,2000-08-10,Sophomore,School of Arts and Sciences,0,0,['RA' 'NCA' 'CS'],Suite,1,1,1,8000-11000,11000,"[400573790, 914313325]"
Lisa Acosta,F,339561067,2003-01-03,Freshman,School of Arts and Sciences,0,0,['AH' 'BS' 'WS'],Apartment,1,1,1,6000-8000,8000,[293856590]
Donna Martinez,F,152447472,2001-01-18,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['WS' 'SA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[794375426, 240063964]"
Sarah Diaz,F,267984562,2001-07-18,Freshman,School of Arts and Sciences,0,0,['RA' 'BS' 'CS'],Apartment,1,1,1,4000-6000,6000,"[490132061, 590358323]"
Shane Smith,M,632135468,2000-09-08,Freshman,Mason Gross School of the Arts,0,0,['MH' 'RA' 'BS'],Suite,1,1,1,4000-6000,6000,[503192243]
John Stevenson,M,124524339,2000-07-09,Freshman,School of Engineering,0,0,['AH' 'RA' 'MH'],Traditional Residence Hall,1,1,0,4000-6000,6000,"[830038410, 776440517]"
Roger Evans,M,485533781,2003-09-30,Sophomore,School of Arts and Sciences,0,0,['CS' 'SA' 'MH'],Apartment,1,1,1,4000-6000,6000,"[121650595, 774945862]"
Jill Brown,F,469226236,2001-04-17,Sophomore,School of Communication and Information,0,1,['MZH' 'WS' 'JS'],Apartment,1,1,1,4000-6000,5000,"[917038386, 958373680]"
Jacob Poole,M,989772964,2000-12-13,Sophomore,School of Management and Labor Relations,0,0,['BS' 'MS' 'MZH'],Apartment,1,1,1,8000-11000,11000,"[705264729, 923569698]"
Thomas Mckenzie,M,512867988,2005-08-31,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'NCA' 'BS'],Suite,1,1,1,8000-11000,11000,"[751904820, 716813429]"
Jason Blackwell,M,412629792,1999-11-14,Freshman,School of Arts and Sciences,0,0,['BS' 'WS' 'TS'],Apartment,1,0,1,4000-6000,6000,"[705595439, 153079762]"
Patricia Briggs,F,873828694,2003-11-04,Sophomore,School of Arts and Sciences,0,1,['NCA' 'MRS' 'MS'],Suite,1,1,1,8000-11000,10000,[657791939]
Ashley Brown,F,845288429,2004-07-17,Freshman,Mason Gross School of the Arts,0,1,['JS' 'MS' 'NCA'],Suite,1,1,1,4000-6000,5000,[112839022]
Shawn Garrison,M,355893811,2005-02-15,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'MRS' 'JS'],Suite,1,1,1,8000-11000,11000,"[698037712, 267482757]"
Derek Morales,M,778353578,2002-05-09,Freshman,School of Social Work,0,0,['WS' 'BS' 'RA'],Suite,1,1,1,4000-6000,6000,"[344740329, 164409171]"
Crystal Neal,F,688614580,1999-10-25,Junior,School of Arts and Sciences,0,1,['SA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,10000,"[269452228, 326599259]"
Scott Ruiz,M,567440864,2005-07-06,Freshman,School of Engineering,0,1,['RA' 'WS' 'BH'],Apartment,1,1,1,8000-11000,10000,"[320033364, 780432185]"
Laurie Zimmerman,F,102968536,2004-09-17,Senior,School of Arts and Sciences,0,0,['RA' 'MS' 'SA'],Apartment,1,1,1,4000-6000,6000,[584328291]
Jeff Foster,M,625127594,2000-05-24,Sophomore,School of Arts and Sciences,0,0,['MH' 'AH' 'SA'],Apartment,1,1,1,6000-8000,8000,[867020874]
Kimberly Peterson,F,185721277,1999-10-28,Sophomore,Mason Gross School of the Arts,0,1,['MS' 'BS' 'NCA'],Apartment,1,1,0,4000-6000,5000,"[239634292, 762932769]"
Troy Hernandez,M,408231243,2004-02-15,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MZH' 'BS'],Traditional Residence Hall,1,0,1,4000-6000,6000,"[759871042, 484851763]"
Melissa Lynch,F,235000913,2005-07-05,Freshman,School of Arts and Sciences,0,0,['MZH' 'MS' 'SA'],Traditional Residence Hall,1,0,1,4000-6000,6000,"[572460562, 608382681]"
Kenneth Cook,M,610135260,2004-09-28,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'MH' 'BS'],Suite,1,0,1,4000-6000,6000,"[815928483, 472657227]"
Carl Soto,M,601208619,2001-08-16,Junior,School of Communication and Information,0,0,['BS' 'MRS' 'MS'],Apartment,1,1,1,4000-6000,6000,"[810555937, 822876005]"
Clifford Graham,M,542261433,2004-05-19,Freshman,School of Arts and Sciences,0,0,['BS' 'AH' 'SA'],Apartment,1,1,1,4000-6000,6000,"[943292650, 844927175]"
Kimberly Massey,F,783435711,2004-09-18,Freshman,School of Engineering,1,0,['BS' 'MRS' 'SA'],Apartment,1,1,1,4000-6000,6000,[915448766]
Jason Gonzalez,M,612631641,2001-01-17,Junior,School of Arts and Sciences,0,0,['NCA' 'RA' 'MS'],Traditional Residence Hall,1,0,0,8000-11000,11000,"[327616819, 555702754]"
Jacob Tyler,M,236941122,2004-05-04,Freshman,School of Engineering,0,0,['MH' 'NCA' 'SA'],Apartment,1,1,1,4000-6000,6000,[680301592]
Alexis Campbell,F,477793015,1999-12-29,Freshman,School of Arts and Sciences,0,0,['BS' 'NCA' 'RA'],Suite,1,1,0,6000-8000,8000,"[800758341, 568954827]"
Anthony Martin,M,716122849,2002-03-06,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['WS' 'TS' 'NCA'],Apartment,1,1,1,4000-6000,5000,"[392939605, 387066922]"
Hannah Clark,F,569614712,2002-08-28,Junior,School of Arts and Sciences,0,0,['RA' 'NCA' 'MRS'],Apartment,1,1,1,4000-6000,6000,[932263808]
Daniel Hill,M,953086065,1999-12-17,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['CS' 'MZH' 'BS'],Apartment,1,1,1,6000-8000,8000,"[336127364, 954636420]"
Valerie French,F,185089098,2000-07-15,Freshman,School of Arts and Sciences,0,1,['BS' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,10000,[759455693]
Dennis Gonzales,M,430496396,2003-08-28,Sophomore,School of Communication and Information,0,0,['BH' 'MS' 'SA'],Suite,1,0,1,6000-8000,8000,"[416768301, 895429605]"
Robert Collins,M,639916948,2001-02-10,Senior,Mason Gross School of the Arts,0,0,['BS' 'AH' 'RA'],Apartment,1,1,1,4000-6000,6000,"[985058516, 216129701]"
Matthew White,M,852583953,2001-11-26,Freshman,School of Social Work,0,1,['NCA' 'BS' 'SA'],Apartment,1,1,1,4000-6000,5000,"[730984860, 142139762]"
Bethany Mann,F,370381567,2002-05-06,Sophomore,School of Communication and Information,0,0,['SA' 'BS' 'MH'],Apartment,1,0,1,8000-11000,11000,"[977839372, 365239831]"
Marvin Coleman,M,441316283,2003-10-11,Junior,School of Arts and Sciences,0,1,['BS' 'CS' 'RA'],Apartment,1,1,1,8000-11000,10000,"[657798281, 485321551]"
John Kent,M,557640288,2005-05-25,Senior,Mason Gross School of the Arts,0,0,['RA' 'SA' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[142226236, 124989245]"
Tara Michael,F,607912069,2001-05-06,Sophomore,School of Arts and Sciences,0,0,['RA' 'NCA' 'MS'],Apartment,1,1,1,6000-8000,8000,"[747247570, 532377532]"
Miss Ebony Navarro,F,480578722,2000-05-26,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['CS' 'NCA' 'TS'],Apartment,1,1,1,8000-11000,11000,"[130899688, 807078092]"
Gina Warren,F,125113313,2001-05-27,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'MRS' 'BS'],Suite,1,1,1,4000-6000,6000,[286817183]
Wendy Thompson,F,846025861,2002-03-09,Sophomore,School of Arts and Sciences,0,0,['MZH' 'TS' 'BS'],Apartment,1,0,1,4000-6000,6000,"[383879632, 453073733]"
Bobby Miller,M,754826412,2001-01-20,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'RA' 'SA'],Apartment,1,1,1,4000-6000,6000,[659140092]
Chelsea Drake,F,446561135,2005-04-03,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['AH' 'MRS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,5000,[977802119]
Edward Martinez,M,659525697,2000-06-07,Junior,School of Engineering,0,0,['JS' 'MS' 'BS'],Suite,1,1,1,8000-11000,11000,"[358028930, 858883352]"
Matthew Taylor,M,535734706,2000-11-28,Sophomore,School of Arts and Sciences,0,0,['SA' 'BS' 'CS'],Suite,1,1,1,4000-6000,6000,"[961362239, 641112600]"
Dennis Wood,M,296569153,2005-04-26,Junior,School of Arts and Sciences,0,0,['SA' 'TS' 'BS'],Suite,1,1,1,4000-6000,6000,"[523722060, 399120067]"
Hailey Maldonado,F,904390896,2001-02-22,Sophomore,School of Arts and Sciences,0,0,['NCA' 'RA' 'BS'],Apartment,1,1,1,6000-8000,8000,[522894206]
Eric Sanchez,M,998171404,2001-07-11,Freshman,School of Communication and Information,0,0,['AH' 'MH' 'BS'],Suite,1,1,1,4000-6000,6000,"[570491581, 279805622]"
Julie Carr,F,530949470,2002-09-12,Sophomore,School of Engineering,0,0,['NCA' 'CS' 'MZH'],Suite,1,1,1,4000-6000,6000,[409544303]
Michael York,M,914313325,2004-07-26,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'SA' 'JS'],Apartment,1,1,1,4000-6000,6000,[400573790]
Cindy Snyder,F,374747399,2005-08-03,Freshman,School of Arts and Sciences,0,0,['NCA' 'BH' 'WS'],Apartment,1,1,1,8000-11000,11000,[382420734]
Joseph Wilson,M,585593999,2002-11-06,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MS' 'NCA'],Apartment,1,1,1,4000-6000,6000,"[168743944, 894536420]"
Stanley Fox,M,654627902,2000-08-21,Junior,School of Arts and Sciences,0,0,['RA' 'BS' 'MRS'],Apartment,1,1,1,6000-8000,8000,"[923994080, 728086641]"
Mrs. Rebecca White,F,854958786,2000-07-08,Freshman,Mason Gross School of the Arts,0,1,['SA' 'MH' 'WS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[736196971, 290330480]"
James Powell,M,356856936,2003-02-19,Junior,School of Arts and Sciences,0,1,['JS' 'BS' 'NCA'],Apartment,1,1,1,4000-6000,5000,"[888250653, 414665363]"
Debra Carter,F,593946344,2004-02-17,Freshman,School of Arts and Sciences,0,0,['NCA' 'WS' 'TS'],Suite,1,1,1,8000-11000,11000,[154074182]
Erin Smith,F,620467314,2000-12-26,Freshman,School of Management and Labor Relations,0,1,['NCA' 'BS' 'SA'],Apartment,1,1,1,6000-8000,7000,"[304721364, 219820858]"
Francisco Howe,M,835421606,2000-09-02,Freshman,School of Environmental and Biological Sciences,0,1,['RA' 'MZH' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,7000,[369609254]
Anita Hall,F,770169714,2001-11-21,Sophomore,Mason Gross School of the Arts,0,1,['BS' 'SA' 'NCA'],Apartment,1,1,0,8000-11000,10000,"[781451129, 534762190]"
Mary Ramos,F,927609351,2004-06-27,Freshman,School of Arts and Sciences,0,0,['BS' 'SA' 'RA'],Suite,1,1,1,6000-8000,8000,[167343226]
Natalie Martinez,F,421952236,2000-09-14,Freshman,School of Communication and Information,0,0,['BS' 'MS' 'RA'],Apartment,1,1,1,8000-11000,11000,[348392459]
Stephanie Bullock,F,619605283,1999-11-17,Freshman,School of Arts and Sciences,0,0,['BS' 'MS' 'SA'],Apartment,1,1,1,4000-6000,6000,[518852400]
Keith Brown,M,824254187,2005-02-25,Freshman,School of Arts and Sciences,0,0,['MRS' 'JS' 'WS'],Suite,1,1,1,8000-11000,11000,"[740643007, 160759165]"
Patrick Ramirez,M,414433509,2001-01-15,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'NCA' 'JS'],Suite,1,1,1,8000-11000,11000,"[827257170, 212677367]"
Ashley Patrick,F,420165264,2003-01-02,Sophomore,School of Arts and Sciences,1,0,['SA' 'RA' 'NCA'],Suite,1,1,1,4000-6000,6000,[499078845]
Aaron Brown,M,355178077,2004-02-03,Sophomore,School of Communication and Information,0,0,['BS' 'NCA' 'CS'],Suite,1,1,1,4000-6000,6000,[969032341]
Alexandra Carter,F,933730528,2002-09-19,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MS' 'MH'],Suite,1,1,1,4000-6000,6000,[938728488]
Grant Freeman,M,535141249,2001-08-30,Freshman,School of Communication and Information,1,0,['SA' 'BS' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[526537027, 793748735]"
Danielle Porter,F,778383633,2005-05-28,Freshman,School of Arts and Sciences,0,1,['CS' 'MS' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[431015785, 263155037]"
Jenny Reyes,F,169240237,2004-04-11,Freshman,School of Arts and Sciences,0,0,['BS' 'CS' 'RA'],Apartment,1,1,1,4000-6000,6000,"[991419398, 187237970]"
Tina Gaines,F,989286386,2003-05-05,Freshman,School of Arts and Sciences,0,0,['MZH' 'MH' 'BS'],Suite,1,0,1,4000-6000,6000,[737609307]
Carol Shaffer,F,442876252,2002-10-22,Junior,School of Arts and Sciences,0,0,['RA' 'MZH' 'BS'],Apartment,1,1,1,4000-6000,6000,"[429420842, 718997232]"
Pamela Clayton,F,452411061,2003-01-13,Freshman,School of Communication and Information,0,0,['MS' 'SA' 'NCA'],Suite,1,1,1,4000-6000,6000,"[648986249, 796938075]"
Stephen Colon,M,712784617,2003-07-15,Freshman,School of Engineering,0,0,['SA' 'BS' 'JS'],Suite,1,1,1,8000-11000,11000,"[963666523, 745758744]"
Lori Bridges,F,953351315,2002-12-03,Sophomore,School of Engineering,0,1,['MH' 'JS' 'BS'],Suite,1,1,1,4000-6000,5000,"[457731012, 663956232]"
Alyssa Cook,F,591643274,2000-10-16,Junior,School of Arts and Sciences,1,1,['BS' 'BH' 'TS'],Apartment,1,1,1,4000-6000,5000,"[201968457, 655333454]"
Samuel Miller,M,290579585,2000-02-27,Freshman,School of Communication and Information,0,0,['NCA' 'JS' 'WS'],Suite,1,1,1,4000-6000,6000,"[996024248, 535140543]"
Jennifer Shields,F,987914592,2001-07-15,Senior,School of Arts and Sciences,0,0,['RA' 'BS' 'BH'],Suite,1,1,1,4000-6000,6000,[590533150]
Eric May,M,831319556,2002-10-03,Freshman,School of Management and Labor Relations,0,0,['RA' 'SA' 'MS'],Suite,1,1,1,4000-6000,6000,"[952404786, 666794359]"
Darren Saunders,M,676231206,2003-07-29,Freshman,School of Arts and Sciences,0,0,['NCA' 'JS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000,[781321496]
Robert Cruz,M,112839022,1999-12-01,Senior,School of Arts and Sciences,1,0,['MZH' 'BS' 'BH'],Apartment,1,1,1,4000-6000,6000,"[541166551, 845288429]"
