,name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
30,Elizabeth Griffin,F,401535005,2005-03-12,Freshman,School of Arts and Sciences,0,0,['AH' 'MRS' 'SA'],Apartment,1,1,1,8000-11000,11000
31,Stephanie Reynolds,F,448741082,2003-08-17,Sophomore,School of Arts and Sciences,0,1,['BS' 'MH' 'NCA'],Suite,1,1,0,4000-6000,5000
32,Amy Harper,F,405635667,2000-11-14,Junior,School of Arts and Sciences,0,0,['BS' 'SA' 'CS'],Suite,1,1,1,4000-6000,6000
33,Mary Smith,F,757165874,2004-03-02,Junior,School of Environmental and Biological Sciences,0,0,['MS' 'NCA' 'MZH'],Suite,1,0,1,4000-6000,6000
34,Michael Leblanc,M,182549235,2003-08-20,Sophomore,School of Arts and Sciences,1,0,['RA' 'MS' 'JS'],Apartment,1,0,1,8000-11000,11000
35,Shawn Guzman,M,859611106,2002-08-18,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'BS' 'RA'],Suite,1,0,1,4000-6000,6000
36,Jessica Mack,F,570789278,2005-02-25,Sophomore,School of Communication and Information,1,1,['BS' 'AH' 'MH'],Apartment,1,1,1,4000-6000,5000
37,George Clark,M,496901713,2001-07-20,Sophomore,School of Communication and Information,0,0,['RA' 'JS' 'MS'],Suite,1,0,0,8000-11000,11000
38,Shannon Villarreal,F,896795112,2001-03-06,Sophomore,School of Arts and Sciences,0,0,['SA' 'MZH' 'BS'],Apartment,1,0,1,6000-8000,8000
39,Patrick Carroll,M,294459449,2000-05-10,Freshman,School of Arts and Sciences,0,1,['BS' 'NCA' 'MH'],Suite,1,1,1,4000-6000,5000
40,Katie Hernandez,F,620343760,2005-07-21,Sophomore,School of Arts and Sciences,0,0,['SA' 'JS' 'MZH'],Apartment,1,1,1,6000-8000,8000
41,Mckenzie Phillips MD,F,936179492,2004-05-18,Sophomore,School of Arts and Sciences,0,1,['MRS' 'BH' 'WS'],Apartment,1,1,1,4000-6000,5000
42,Heather Thompson,F,353103693,2005-06-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'SA' 'WS'],Apartment,1,1,1,4000-6000,6000
43,Robert Garza,M,354136718,2004-07-15,Sophomore,School of Arts and Sciences,0,0,['SA' 'MZH' 'CS'],Traditional Residence Hall,1,1,1,4000-6000,6000
44,Leslie Wolf,F,648583048,2003-12-09,Sophomore,School of Communication and Information,0,1,['MH' 'JS' 'SA'],Suite,1,1,1,6000-8000,7000
45,Mrs. Kathleen Fernandez,F,282207509,2004-11-03,Sophomore,School of Arts and Sciences,0,0,['RA' 'BS' 'MH'],Apartment,1,1,1,6000-8000,8000
46,Johnathan Smith,M,711273253,2002-03-20,Freshman,School of Arts and Sciences,0,0,['AH' 'NCA' 'RA'],Suite,1,1,1,4000-6000,6000
47,Kenneth Hinton,M,936080691,2003-03-28,Junior,School of Management and Labor Relations,0,0,['BS' 'SA' 'NCA'],Suite,1,1,1,6000-8000,8000
48,Philip Miller,M,458037836,2002-11-29,Sophomore,School of Social Work,0,1,['RA' 'BS' 'TS'],Apartment,1,1,1,4000-6000,5000
49,Shawn Khan,M,205141582,1999-10-20,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'RA' 'MS'],Suite,1,1,1,4000-6000,6000
50,Megan White,F,691861644,2001-01-08,Sophomore,School of Arts and Sciences,0,0,['RA' 'CS' 'NCA'],Suite,1,0,1,4000-6000,6000
51,Mrs. Christine Parsons PhD,F,454233133,2002-07-07,Sophomore,School of Communication and Information,0,0,['TS' 'BS' 'AH'],Suite,1,1,1,4000-6000,6000
52,Matthew Mclean,M,238600665,2001-12-08,Freshman,School of Arts and Sciences,0,0,['SA' 'JS' 'BS'],Suite,1,1,1,4000-6000,6000
53,Dustin Clayton,M,409654528,2004-03-04,Freshman,Mason Gross School of the Arts,1,1,['NCA' 'CS' 'SA'],Apartment,1,0,1,8000-11000,10000
54,Rebecca French,F,189337547,2001-05-23,Freshman,School of Arts and Sciences,0,1,['SA' 'NCA' 'BS'],Suite,1,1,1,4000-6000,5000
55,Aaron Pearson,M,805706548,2000-01-31,Sophomore,School of Arts and Sciences,1,1,['CS' 'MS' 'TS'],Apartment,1,1,1,6000-8000,7000
56,Megan Vang,F,356114328,2000-08-10,Freshman,School of Social Work,0,0,['BS' 'RA' 'MZH'],Apartment,1,1,1,4000-6000,6000
57,Allison Duncan,F,482683638,2001-09-11,Senior,School of Engineering,0,0,['RA' 'SA' 'BS'],Apartment,1,1,1,4000-6000,6000
58,Aaron Stewart,M,908983243,2001-01-08,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'RA' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000
59,Ashley Nunez,F,118676294,2001-03-31,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'NCA' 'BH'],Apartment,1,1,1,8000-11000,11000
60,Nathaniel Jones,M,628238232,2003-07-02,Freshman,School of Arts and Sciences,0,0,['MRS' 'WS' 'NCA'],Apartment,1,0,1,4000-6000,6000
61,Kyle Moore,M,992153777,2001-05-31,Freshman,Mason Gross School of the Arts,0,1,['MS' 'SA' 'BS'],Apartment,1,1,1,8000-11000,10000
62,Leslie Jensen,F,343039760,2002-07-02,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,5000
63,Kimberly Gray,F,355299071,2002-12-20,Freshman,School of Engineering,0,0,['RA' 'SA' 'BS'],Suite,1,1,1,4000-6000,6000
64,Rhonda Garcia,F,930632105,2001-09-27,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'MZH' 'SA'],Traditional Residence Hall,1,0,1,6000-8000,8000
65,Matthew Becker,M,436966740,2003-10-05,Freshman,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'BH'],Apartment,1,1,1,6000-8000,8000
66,Jeremy Davies,M,129748627,2002-03-28,Freshman,Mason Gross School of the Arts,0,1,['AH' 'MS' 'NCA'],Apartment,1,1,1,4000-6000,5000
67,Austin Griffin,M,303188371,2004-09-10,Senior,School of Arts and Sciences,0,0,['MZH' 'MS' 'NCA'],Suite,1,1,0,4000-6000,6000
68,Joshua Duarte,M,565108391,2000-06-17,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'MRS' 'MS'],Suite,1,1,1,6000-8000,7000
69,Julie Gentry,F,939503735,2004-09-27,Sophomore,School of Arts and Sciences,0,1,['BS' 'BH' 'MZH'],Suite,1,1,1,4000-6000,5000
70,Samantha Martin,F,333082926,2001-09-19,Sophomore,School of Arts and Sciences,0,0,['SA' 'BS' 'MS'],Suite,1,1,1,4000-6000,6000
71,Cheyenne Garcia,F,430705375,2001-06-29,Sophomore,School of Management and Labor Relations,0,1,['RA' 'TS' 'SA'],Apartment,1,1,1,8000-11000,10000
72,Kristen Sharp,F,921027565,2003-01-03,Junior,Mason Gross School of the Arts,0,1,['SA' 'MS' 'BH'],Apartment,1,1,1,4000-6000,5000
73,Jonathan Hernandez,M,564718823,2005-05-26,Senior,School of Communication and Information,0,1,['MS' 'RA' 'CS'],Suite,1,1,1,4000-6000,5000
74,Melissa Meyer,F,818074980,2004-02-16,Junior,School of Arts and Sciences,0,0,['MS' 'SA' 'MH'],Apartment,1,1,1,4000-6000,6000
75,Adam George,M,902300819,2004-07-18,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'CS' 'NCA'],Suite,1,1,1,8000-11000,11000
76,Joshua Pennington,M,552513480,2003-04-13,Sophomore,School of Social Work,0,0,['SA' 'NCA' 'MH'],Suite,1,1,1,4000-6000,6000
77,Leslie Farley,M,379313497,2002-04-08,Sophomore,School of Arts and Sciences,0,1,['MS' 'JS' 'SA'],Apartment,1,1,1,8000-11000,10000
78,Laura Harrison,F,390072051,2000-06-08,Junior,Mason Gross School of the Arts,0,1,['BS' 'NCA' 'RA'],Suite,1,1,1,8000-11000,10000
79,Rhonda Pollard,F,475783251,2005-04-04,Freshman,School of Arts and Sciences,0,0,['BS' 'BH' 'MH'],Apartment,1,1,1,8000-11000,11000
80,Vincent Roberts,M,531639699,2000-01-08,Senior,School of Environmental and Biological Sciences,0,0,['RA' 'MRS' 'TS'],Traditional Residence Hall,1,1,1,4000-6000,6000
81,Margaret Padilla,F,276465194,2000-06-10,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['MZH' 'JS' 'MS'],Apartment,1,1,1,4000-6000,5000
82,Megan Alvarez,F,503967018,2001-03-31,Freshman,School of Communication and Information,0,1,['JS' 'NCA' 'TS'],Apartment,1,1,1,4000-6000,5000
83,Margaret Miller,F,388383240,2002-04-21,Sophomore,School of Communication and Information,0,0,['AH' 'MZH' 'NCA'],Apartment,1,1,1,4000-6000,6000
84,Pamela Stark,F,744383349,2001-11-29,Junior,School of Management and Labor Relations,1,1,['RA' 'MS' 'NCA'],Apartment,1,1,1,4000-6000,5000
85,Denise Sullivan,F,461768162,2005-05-23,Freshman,School of Arts and Sciences,0,0,['BS' 'MZH' 'RA'],Suite,1,1,1,8000-11000,11000
86,Tony Gomez,M,208269538,2005-06-16,Freshman,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'SA'],Apartment,1,1,1,6000-8000,8000
87,Justin Williams,M,233322990,2004-04-11,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['CS' 'NCA' 'MRS'],Apartment,1,1,1,8000-11000,11000
88,Nicole White,F,666866356,2001-10-09,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0,['BH' 'BS' 'MS'],Suite,1,1,1,6000-8000,8000
89,Bonnie Schneider,F,565853529,2004-01-13,Freshman,School of Communication and Information,0,1,['NCA' 'BS' 'RA'],Suite,1,1,1,6000-8000,7000
90,Linda Coleman,F,197229368,2002-04-27,Sophomore,School of Management and Labor Relations,0,0,['SA' 'NCA' 'AH'],Suite,1,1,1,4000-6000,6000
91,Jay Thomas,M,168992555,2002-03-18,Freshman,School of Arts and Sciences,0,0,['NCA' 'MS' 'MZH'],Suite,1,1,1,4000-6000,6000
92,Angel Miller,M,659254080,2000-09-23,Sophomore,School of Arts and Sciences,0,0,['MRS' 'AH' 'BS'],Suite,1,1,1,4000-6000,6000
93,Linda Clayton,F,950778045,2001-04-01,Senior,School of Communication and Information,0,1,['MRS' 'BS' 'MS'],Suite,1,1,1,4000-6000,5000
94,Steven Brennan,M,147088294,2002-04-23,Junior,Mason Gross School of the Arts,0,1,['MS' 'RA' 'WS'],Apartment,1,1,1,8000-11000,10000
95,David Young,M,844766575,2003-11-28,Junior,School of Arts and Sciences,0,0,['SA' 'BS' 'RA'],Suite,1,1,1,6000-8000,8000
96,Hannah Brown,F,791629166,2004-05-28,Freshman,School of Management and Labor Relations,0,1,['MS' 'JS' 'BS'],Suite,1,1,1,6000-8000,7000
97,Alicia Carney,F,117966466,1999-12-12,Freshman,School of Engineering,0,0,['MZH' 'TS' 'SA'],Apartment,1,1,1,8000-11000,11000
98,Margaret Hartman,F,448586232,2002-10-18,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'MZH' 'BS'],Suite,1,1,1,4000-6000,6000
99,Elizabeth Calderon,F,571834024,2000-04-15,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'JS' 'BH'],Suite,1,1,1,4000-6000,6000
100,Kevin Kaiser,M,540016373,2001-06-06,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'SA' 'RA'],Suite,1,1,1,8000-11000,11000
101,Frank Walsh,M,106839915,2004-09-24,Senior,School of Engineering,0,0,['BS' 'TS' 'CS'],Suite,1,1,1,6000-8000,8000
102,William Jackson,M,729829358,2002-11-03,Freshman,School of Environmental and Biological Sciences,0,0,['MS' 'MZH' 'SA'],Suite,1,1,1,8000-11000,11000
103,Mary Perry,F,441548965,2003-01-09,Sophomore,School of Arts and Sciences,0,0,['BS' 'TS' 'RA'],Apartment,1,1,1,8000-11000,11000
104,Brandy Cortez,F,851893265,2004-07-22,Freshman,School of Arts and Sciences,0,0,['NCA' 'BH' 'SA'],Suite,1,1,1,4000-6000,6000
105,Gary Wallace,M,879237013,2001-11-29,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['WS' 'NCA' 'BS'],Suite,1,1,1,4000-6000,5000
106,Mike Benjamin,M,788394903,2004-01-13,Junior,School of Engineering,0,0,['MS' 'NCA' 'RA'],Suite,1,1,1,4000-6000,6000
107,Jessica Mills,F,171854221,2005-08-15,Freshman,School of Engineering,0,1,['NCA' 'MH' 'BS'],Suite,1,1,1,8000-11000,10000
108,Holly Vazquez DDS,F,431468538,2003-07-15,Freshman,School of Arts and Sciences,0,0,['NCA' 'CS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000
109,Donald Morgan,M,490757840,2004-07-12,Freshman,School of Social Work,0,0,['BH' 'BS' 'RA'],Suite,1,1,1,8000-11000,11000
110,Jerry Robinson,M,173564459,2003-02-19,Sophomore,Mason Gross School of the Arts,0,0,['MRS' 'NCA' 'SA'],Suite,1,1,1,4000-6000,6000
111,Eric Hill,M,463234446,2001-05-13,Sophomore,School of Social Work,0,1,['NCA' 'MH' 'WS'],Apartment,1,0,1,4000-6000,5000
112,Paul Montes,M,690705772,2004-01-14,Freshman,School of Arts and Sciences,0,1,['MZH' 'RA' 'BH'],Suite,1,1,1,4000-6000,5000
113,Diana Nelson,F,992918198,2002-07-04,Sophomore,School of Arts and Sciences,0,1,['WS' 'NCA' 'SA'],Suite,1,1,1,4000-6000,5000
114,David Berry,M,930240207,2005-01-20,Sophomore,School of Communication and Information,0,0,['SA' 'BH' 'CS'],Traditional Residence Hall,1,1,1,8000-11000,11000
115,Edward Hall,M,673967043,2001-04-19,Freshman,School of Arts and Sciences,0,1,['RA' 'MS' 'SA'],Apartment,1,1,1,4000-6000,5000
116,John Stevens,M,793121529,2001-08-25,Sophomore,School of Social Work,0,1,['BS' 'MH' 'MZH'],Apartment,1,1,1,4000-6000,5000
117,Lisa Perez,F,929484110,2003-02-21,Sophomore,Mason Gross School of the Arts,0,0,['JS' 'SA' 'MS'],Suite,1,1,1,8000-11000,11000
118,Leonard Shea,M,230369233,2001-02-28,Sophomore,School of Arts and Sciences,0,0,['MRS' 'NCA' 'MZH'],Apartment,1,1,1,6000-8000,8000
119,Gary Oliver,M,777357838,1999-11-15,Freshman,School of Engineering,0,1,['AH' 'SA' 'NCA'],Suite,1,0,1,6000-8000,7000
120,Michael Robles,M,934514338,2001-06-25,Sophomore,Mason Gross School of the Arts,0,1,['MS' 'BS' 'TS'],Apartment,1,1,1,4000-6000,5000
121,Ricky Fox,M,263922997,2001-10-20,Sophomore,School of Arts and Sciences,0,0,['SA' 'TS' 'MZH'],Apartment,1,1,1,4000-6000,6000
122,Paula Griffin,F,746555279,2004-11-21,Freshman,School of Environmental and Biological Sciences,0,0,['CS' 'BS' 'MZH'],Suite,1,1,1,4000-6000,6000
123,Amber Holloway,F,688704543,2003-09-16,Junior,School of Engineering,0,0,['JS' 'BS' 'TS'],Suite,1,1,1,6000-8000,8000
124,Kimberly Shields,F,257667028,2005-03-01,Senior,School of Arts and Sciences,0,1,['WS' 'CS' 'MZH'],Traditional Residence Hall,1,0,1,4000-6000,5000
125,Wesley Brown,M,166124839,2000-12-10,Junior,School of Engineering,0,0,['WS' 'NCA' 'TS'],Suite,1,1,1,4000-6000,6000
126,Charles Edwards,M,586747989,2004-01-20,Junior,School of Engineering,0,1,['NCA' 'SA' 'CS'],Apartment,1,1,1,4000-6000,5000
127,Robert Bond,M,732729037,2002-06-20,Freshman,School of Engineering,0,1,['MS' 'AH' 'MZH'],Apartment,1,1,1,6000-8000,7000
128,Elizabeth Padilla,F,610739594,2003-04-04,Freshman,School of Arts and Sciences,0,1,['MS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,10000
129,Melissa Cowan,F,319672034,2002-06-21,Freshman,School of Arts and Sciences,0,0,['MZH' 'BH' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000
130,William Fields,M,753898960,2002-08-04,Junior,School of Arts and Sciences,0,1,['BH' 'SA' 'MS'],Suite,1,1,1,6000-8000,7000
131,Marcus Ochoa,M,887406106,2005-02-08,Freshman,School of Arts and Sciences,0,0,['WS' 'BS' 'SA'],Suite,1,1,1,4000-6000,6000
132,Dr. Allen Kennedy Jr.,M,398728459,2003-05-03,Freshman,Mason Gross School of the Arts,0,1,['BS' 'SA' 'MS'],Suite,1,1,0,4000-6000,5000
133,Veronica Thompson,F,357423572,2004-05-24,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MZH' 'MH'],Apartment,1,1,1,8000-11000,11000
134,Daniel Ramirez,M,378328139,2001-04-04,Freshman,School of Arts and Sciences,0,0,['RA' 'BS' 'SA'],Suite,1,1,1,8000-11000,11000
135,Douglas Gonzales,M,261113859,2000-12-29,Sophomore,School of Management and Labor Relations,0,1,['SA' 'MH' 'BS'],Apartment,1,1,1,8000-11000,10000
136,Lisa Johnston,F,368281151,2002-09-24,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'BH'],Apartment,1,1,1,6000-8000,8000
137,Carl Wilson,M,344939125,2001-04-17,Junior,School of Engineering,0,0,['RA' 'TS' 'BS'],Apartment,1,1,1,8000-11000,11000
138,Lee Ayers,M,658950072,2001-04-06,Sophomore,Mason Gross School of the Arts,0,0,['NCA' 'BH' 'RA'],Suite,1,1,1,6000-8000,8000
139,Joshua Smith,M,523732231,2004-09-20,Junior,School of Environmental and Biological Sciences,0,0,['MH' 'SA' 'RA'],Suite,1,1,1,4000-6000,6000
140,Elizabeth Wong,F,964425546,2004-08-15,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0,['CS' 'RA' 'MRS'],Apartment,1,1,1,6000-8000,8000
141,James Ballard,M,871433670,2005-01-30,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'RA' 'MH'],Traditional Residence Hall,1,1,1,4000-6000,6000
142,William Stevenson,M,755027471,2005-01-21,Junior,School of Arts and Sciences,0,0,['TS' 'BS' 'BH'],Apartment,1,1,0,4000-6000,6000
143,Melanie Lopez,F,457313691,1999-10-17,Freshman,School of Arts and Sciences,0,0,['JS' 'SA' 'BH'],Suite,1,1,1,4000-6000,6000
144,Bonnie Smith,F,200954526,2000-01-02,Freshman,School of Engineering,0,0,['NCA' 'SA' 'RA'],Suite,1,1,1,8000-11000,11000
145,Kathryn Sloan,F,768519500,2000-09-27,Sophomore,Mason Gross School of the Arts,0,0,['SA' 'NCA' 'BS'],Apartment,1,1,1,8000-11000,11000
146,James Barrett,M,244924805,2000-04-29,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'RA' 'SA'],Suite,1,1,1,8000-11000,11000
147,Roger Spencer,M,277416366,2000-06-03,Senior,School of Environmental and Biological Sciences,0,0,['CS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,11000
148,Shane Carson,M,646721944,2001-07-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,11000
149,Pamela Booker,F,954976206,2001-08-08,Junior,School of Social Work,0,0,['MS' 'MRS' 'BS'],Apartment,1,1,1,6000-8000,8000
150,Scott Cunningham,M,331704581,2002-04-10,Sophomore,School of Arts and Sciences,0,1,['NCA' 'BS' 'MZH'],Traditional Residence Hall,1,1,1,4000-6000,5000
151,Adam Jordan,M,356799586,2003-12-21,Junior,School of Engineering,0,0,['AH' 'BH' 'NCA'],Apartment,1,1,1,4000-6000,6000
152,Joshua Anderson,M,228075255,2004-06-14,Freshman,School of Engineering,0,0,['NCA' 'MZH' 'TS'],Suite,1,1,1,8000-11000,11000
153,Mary Maynard,F,489702320,2005-05-16,Sophomore,School of Arts and Sciences,0,0,['RA' 'BS' 'CS'],Suite,1,1,1,4000-6000,6000
154,Rebecca Baxter,F,892790161,2001-09-21,Sophomore,School of Arts and Sciences,0,0,['BS' 'BH' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,8000
155,Jeffery Martinez,M,550995038,2001-06-30,Freshman,School of Arts and Sciences,0,1,['BS' 'TS' 'NCA'],Apartment,1,1,1,8000-11000,10000
156,Mr. Jason Davis,M,528777004,2000-01-08,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'MRS' 'SA'],Suite,1,1,1,8000-11000,11000
157,Vanessa Kim,F,222238836,2003-01-29,Freshman,Mason Gross School of the Arts,0,0,['MZH' 'BS' 'RA'],Apartment,1,1,1,6000-8000,8000
158,Brian Howe,M,528968360,2000-11-23,Freshman,School of Arts and Sciences,0,0,['BS' 'BH' 'SA'],Suite,1,1,1,8000-11000,11000
159,Cynthia Parks,F,351620516,2004-03-21,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'SA' 'AH'],Apartment,1,1,1,6000-8000,8000
160,Jason Lowe,M,434562519,2000-07-24,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'BH'],Suite,1,1,0,8000-11000,11000
161,John Johnson,M,582168609,2005-07-09,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'SA' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,11000
162,Kelly Jones,F,667795489,2004-11-26,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['SA' 'TS' 'MS'],Apartment,1,1,1,4000-6000,5000
163,James Martin,M,429940316,2003-09-05,Freshman,School of Arts and Sciences,0,0,['SA' 'BS' 'CS'],Suite,1,1,1,8000-11000,11000
164,Janet Fields,F,442852334,2001-08-23,Junior,School of Arts and Sciences,0,1,['JS' 'RA' 'BS'],Suite,1,1,1,4000-6000,5000
165,Lawrence Nichols,M,219756036,2002-01-19,Junior,School of Social Work,0,0,['NCA' 'JS' 'MS'],Apartment,1,1,1,8000-11000,11000
166,Alexis Lopez,F,378504633,2002-06-23,Sophomore,School of Environmental and Biological Sciences,0,0,['MZH' 'SA' 'MS'],Traditional Residence Hall,1,0,1,4000-6000,6000
167,Renee Maxwell,F,760207762,2000-05-07,Junior,School of Environmental and Biological Sciences,0,0,['BS' 'NCA' 'MH'],Suite,1,1,1,6000-8000,8000
168,Dwayne Dennis,M,823810453,2005-07-27,Freshman,School of Arts and Sciences,0,1,['BS' 'NCA' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,5000
169,Matthew Smith,M,849940656,1999-12-23,Freshman,School of Management and Labor Relations,0,0,['JS' 'MZH' 'SA'],Apartment,1,1,1,8000-11000,11000
