name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
Lindsay Arnold,F,199868887,2000-09-03,Sophomore,Mason Gross School of the Arts,0,1,['NCA' 'BS' 'RA'],Suite,1,1,1,8000-11000,12000
Jennifer Smith,F,852691948,2000-06-26,Freshman,School of Communication and Information,0,0,['MRS' 'SA' 'NCA'],Apartment,1,1,1,8000-11000,12000
Diane Ray,F,303190327,2001-11-29,Freshman,School of Arts and Sciences,0,0,['NCA' 'JS' 'BS'],Suite,1,1,1,8000-11000,12000
Melissa Crawford,F,462179043,2003-12-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'TS' 'MRS'],Apartment,1,1,1,8000-11000,12000
Kimberly Ford,F,216581095,2005-03-04,Junior,School of Engineering,0,1,['CS' 'TS' 'BS'],Suite,1,1,1,8000-11000,12000
Susan Payne,F,678558061,2003-12-28,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['WS' 'NCA' 'MS'],Traditional Residence Hall,1,0,1,8000-11000,12000
John Fleming,M,444418662,2003-06-05,Freshman,Mason Gross School of the Arts,0,0,['BS' 'SA' 'NCA'],Apartment,1,1,1,4000-6000,7000
Nicole Martinez,F,453606460,2000-11-03,Junior,Rutgers Business School–Newark and New Brunswick,1,0,['NCA' 'SA' 'JS'],Suite,1,1,1,6000-8000,9000
Dawn Jackson,F,862528167,2005-08-05,Junior,School of Arts and Sciences,0,0,['BS' 'JS' 'SA'],Traditional Residence Hall,1,1,0,8000-11000,12000
Edward Garcia,M,345144211,2004-05-29,Sophomore,School of Arts and Sciences,0,1,['RA' 'BS' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Wayne Hall,M,434159715,2003-07-20,Junior,School of Arts and Sciences,0,0,['RA' 'JS' 'WS'],Apartment,1,1,1,8000-11000,12000
Brian Bryant,M,374280529,2002-08-31,Sophomore,School of Communication and Information,0,0,['AH' 'SA' 'MH'],Apartment,1,1,1,4000-6000,7000
Leslie Wang,F,958222449,2001-03-08,Freshman,School of Environmental and Biological Sciences,0,1,['NCA' 'RA' 'TS'],Suite,1,1,1,6000-8000,9000
Daniel Howe,M,855256342,2003-04-16,Junior,School of Arts and Sciences,0,0,['NCA' 'BH' 'RA'],Apartment,1,1,1,8000-11000,12000
Todd Anderson,M,813687794,2001-05-02,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'BS' 'WS'],Suite,1,1,1,6000-8000,9000
Nicole Prince,F,333868899,1999-12-09,Sophomore,School of Communication and Information,0,0,['BS' 'MZH' 'SA'],Suite,1,1,1,8000-11000,12000
Erika Brown,F,585480325,2002-10-22,Freshman,School of Arts and Sciences,0,1,['CS' 'MH' 'BH'],Traditional Residence Hall,1,0,1,4000-6000,7000
Melissa Ramirez,F,281818508,2001-01-03,Junior,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'WS'],Suite,1,1,1,8000-11000,12000
Gregory Caldwell,M,491878155,2001-12-07,Freshman,School of Arts and Sciences,1,1,['MH' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000
Shannon Boyd,F,778621319,2001-09-26,Freshman,School of Arts and Sciences,0,0,['MZH' 'BH' 'RA'],Apartment,1,1,1,4000-6000,7000
Mark Riley,M,823713774,2001-01-08,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'MS' 'WS'],Suite,1,0,1,8000-11000,12000
Samantha Nguyen,F,901589478,2002-10-21,Freshman,Mason Gross School of the Arts,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000
Kathleen Bond,F,472418151,2001-09-05,Senior,School of Arts and Sciences,0,0,['BS' 'MH' 'RA'],Apartment,1,0,1,4000-6000,7000
Terry Anderson,M,145576593,2000-09-10,Senior,School of Arts and Sciences,0,0,['TS' 'MS' 'MRS'],Apartment,1,0,1,8000-11000,12000
Tracy Horton,F,797706626,2003-04-05,Junior,School of Environmental and Biological Sciences,0,1,['WS' 'BH' 'MZH'],Apartment,1,1,1,4000-6000,7000
Stacy Montgomery,F,778689026,2004-08-27,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'NCA' 'MRS'],Suite,1,1,1,8000-11000,12000
Daniel Hunter,M,683935822,2000-08-12,Freshman,School of Arts and Sciences,0,0,['NCA' 'BH' 'RA'],Suite,1,1,1,6000-8000,9000
Sandra Cain,F,277610785,2005-03-02,Senior,School of Social Work,1,0,['RA' 'WS' 'NCA'],Apartment,1,1,1,4000-6000,7000
Jerry Ferguson,M,998413776,2005-02-20,Freshman,School of Communication and Information,1,0,['MZH' 'AH' 'MH'],Traditional Residence Hall,1,1,1,6000-8000,9000
Shawn Green,M,331441833,2000-04-20,Freshman,School of Arts and Sciences,0,1,['RA' 'MS' 'AH'],Apartment,1,1,1,6000-8000,9000
Brandi Hayes,F,807986724,2000-02-06,Freshman,School of Communication and Information,0,1,['CS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,12000
William Guerrero PhD,M,809952600,2002-05-16,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'CS' 'SA'],Apartment,1,1,1,4000-6000,7000
Vanessa Lewis,F,567196103,2000-02-23,Freshman,Mason Gross School of the Arts,0,0,['SA' 'MH' 'MS'],Apartment,1,1,1,8000-11000,12000
Cory Fisher,M,101595244,2004-03-23,Junior,Mason Gross School of the Arts,0,0,['BS' 'JS' 'NCA'],Apartment,1,1,1,6000-8000,9000
Andrew Adams,M,686765924,2003-12-20,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'AH' 'BH'],Apartment,1,1,1,8000-11000,12000
Daniel Morris,M,291964555,2004-04-18,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'WS' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,9000
Susan Powers,F,153048319,2001-07-04,Freshman,School of Engineering,0,0,['NCA' 'MH' 'BS'],Apartment,1,1,1,8000-11000,12000
Karen Jenkins,F,507273981,2000-10-09,Sophomore,School of Arts and Sciences,0,0,['JS' 'TS' 'SA'],Suite,1,1,1,4000-6000,7000
Dana Blair,F,459705991,2003-08-14,Freshman,School of Arts and Sciences,0,0,['MH' 'WS' 'SA'],Apartment,1,1,1,8000-11000,12000
David Webb,M,645395989,2000-02-06,Freshman,School of Arts and Sciences,0,0,['NCA' 'RA' 'BS'],Suite,1,1,1,8000-11000,12000
Frank Barry,M,676110086,2000-01-11,Sophomore,School of Engineering,0,1,['BS' 'BH' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Jason Morales,M,242427871,2000-06-21,Senior,School of Arts and Sciences,0,0,['BS' 'CS' 'MS'],Apartment,1,1,1,6000-8000,9000
Keith Harvey PhD,M,476960934,2002-11-30,Freshman,Mason Gross School of the Arts,0,0,['MZH' 'MRS' 'BH'],Suite,1,1,1,6000-8000,9000
Eric Davis,M,914449561,2000-02-19,Freshman,School of Social Work,0,0,['MH' 'AH' 'MS'],Apartment,1,1,1,4000-6000,7000
Jason Yates,M,315148848,2002-04-19,Sophomore,School of Arts and Sciences,0,0,['MS' 'BS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Crystal Smith,F,706471915,2001-07-09,Junior,School of Engineering,0,0,['BS' 'TS' 'MRS'],Suite,1,1,1,8000-11000,12000
Lindsey Alvarez,F,306570025,2004-09-22,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['MRS' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000
James Martin,M,574155248,1999-11-04,Sophomore,Mason Gross School of the Arts,0,0,['JS' 'CS' 'TS'],Apartment,1,1,1,4000-6000,7000
Peter Garcia,M,766580233,2003-03-05,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000
Kayla Mercado,F,554593181,2002-01-08,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'TS'],Traditional Residence Hall,1,1,1,4000-6000,7000
Mrs. Sheri Hall,F,658566707,2003-10-28,Freshman,Mason Gross School of the Arts,0,0,['TS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000
John Jackson Jr.,M,259584395,2002-03-13,Sophomore,School of Arts and Sciences,0,0,['AH' 'MS' 'SA'],Suite,1,1,1,8000-11000,12000
Thomas Buckley,M,698068191,2000-09-09,Junior,School of Engineering,0,1,['BS' 'NCA' 'CS'],Suite,1,1,1,8000-11000,12000
Adam Freeman,M,410227529,2003-05-11,Senior,School of Arts and Sciences,0,1,['AH' 'MH' 'BS'],Apartment,1,1,1,8000-11000,12000
Michael Collins,M,318329450,2000-01-30,Junior,School of Communication and Information,0,0,['MH' 'BS' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Kevin Travis,M,469010661,2003-08-25,Junior,School of Management and Labor Relations,0,0,['TS' 'AH' 'BS'],Suite,1,0,1,8000-11000,12000
Ruth Walker,F,725872116,2000-09-25,Senior,School of Communication and Information,0,0,['MS' 'NCA' 'AH'],Apartment,1,1,1,8000-11000,12000
Julian Powell,M,526802782,2005-01-08,Senior,School of Social Work,0,1,['BS' 'MZH' 'NCA'],Suite,1,0,1,8000-11000,12000
Kim Smith,F,177651709,2004-12-28,Junior,School of Arts and Sciences,0,0,['MRS' 'BS' 'MZH'],Apartment,1,1,1,8000-11000,12000
Rebecca Carroll,F,216339215,2004-06-18,Junior,Rutgers Business School–Newark and New Brunswick,1,0,['BS' 'MZH' 'MS'],Suite,1,1,1,6000-8000,9000
William Blackburn,M,757728169,2005-01-11,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'RA' 'BS'],Suite,1,1,1,4000-6000,7000
Stephanie Robinson,F,160949178,2004-02-09,Senior,School of Management and Labor Relations,0,1,['MH' 'BS' 'WS'],Apartment,1,1,1,8000-11000,12000
Terry Kerr,M,290395363,2005-02-25,Freshman,Mason Gross School of the Arts,0,0,['TS' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000
Jorge Davis,M,710151196,2002-08-28,Freshman,School of Arts and Sciences,0,0,['NCA' 'BS' 'MRS'],Apartment,1,1,1,6000-8000,9000
Todd Schneider,M,690662190,2003-07-08,Sophomore,School of Arts and Sciences,0,0,['RA' 'BH' 'BS'],Apartment,1,1,1,4000-6000,7000
Brandon Miller,M,306367088,2005-04-17,Freshman,School of Social Work,0,0,['MS' 'CS' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Jasmine Townsend,F,995831271,2003-05-19,Junior,School of Arts and Sciences,0,1,['TS' 'MS' 'RA'],Apartment,1,1,1,8000-11000,12000
Thomas Freeman,M,832960197,2005-06-27,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'WS' 'MZH'],Apartment,1,1,1,8000-11000,12000
Regina Arias,F,919278169,2000-05-25,Freshman,School of Engineering,0,1,['MH' 'MS' 'BS'],Apartment,1,1,1,8000-11000,12000
Daniel Miller,M,785123321,2000-03-06,Freshman,School of Arts and Sciences,0,1,['NCA' 'MZH' 'BH'],Suite,1,1,1,8000-11000,12000
Carol Fuller,F,915671875,2004-05-27,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'AH'],Suite,1,0,1,4000-6000,7000
Christine Roberts,F,676330839,2004-12-23,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'SA' 'BH'],Suite,1,0,1,8000-11000,12000
Jennifer Ramirez,F,516748152,2002-08-04,Freshman,School of Engineering,0,1,['BS' 'MS' 'NCA'],Suite,1,1,1,6000-8000,9000
Tyler Reed,M,577237134,2002-06-30,Freshman,School of Social Work,0,0,['BH' 'BS' 'MRS'],Apartment,1,1,1,8000-11000,12000
Tara Mills,F,607861853,2005-07-17,Junior,School of Management and Labor Relations,0,0,['RA' 'NCA' 'MZH'],Apartment,1,1,1,8000-11000,12000
Chad Mayer,M,317503275,2004-04-03,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MS' 'RA'],Apartment,1,1,1,8000-11000,12000
Bobby Wagner,M,142225583,2001-08-22,Freshman,School of Engineering,0,0,['SA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000
Christopher Morrow,M,397044857,2001-02-07,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'MZH' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Megan Bradford,F,824334567,2004-12-19,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'NCA' 'MRS'],Suite,1,1,1,4000-6000,7000
Shawn Sharp,M,768587812,2004-08-24,Junior,School of Arts and Sciences,0,0,['SA' 'CS' 'NCA'],Suite,1,1,1,8000-11000,12000
Jonathan Martinez,M,668853453,2002-04-08,Senior,School of Engineering,0,0,['SA' 'JS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Jason Williams,M,975776390,2001-10-27,Sophomore,School of Engineering,0,0,['SA' 'WS' 'TS'],Suite,1,1,1,8000-11000,12000
Lisa Ward,F,384482777,2003-09-21,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'AH' 'BS'],Suite,1,1,1,8000-11000,12000
Heather Ortiz,F,922206514,2004-02-22,Sophomore,School of Arts and Sciences,0,1,['BS' 'AH' 'SA'],Apartment,1,0,1,4000-6000,7000
Kristina Gillespie,F,808913489,2002-08-12,Junior,School of Arts and Sciences,0,0,['MZH' 'JS' 'BS'],Apartment,1,1,1,8000-11000,12000
Erin Murray,F,846929270,2005-06-21,Sophomore,School of Management and Labor Relations,0,0,['MS' 'SA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Shawn Gomez,M,598377926,2001-01-03,Senior,School of Engineering,0,0,['BS' 'MH' 'TS'],Suite,1,1,1,8000-11000,12000
Joshua Olson,M,452025352,2003-06-27,Freshman,Mason Gross School of the Arts,0,1,['MRS' 'SA' 'RA'],Traditional Residence Hall,1,1,1,6000-8000,9000
Angela Osborn,F,252855799,2004-07-30,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'NCA' 'SA'],Traditional Residence Hall,1,0,1,4000-6000,7000
John Ross,M,239604896,2002-11-30,Sophomore,School of Management and Labor Relations,1,0,['JS' 'BS' 'SA'],Suite,1,1,1,8000-11000,12000
Norma Simpson,F,770518641,2003-07-16,Freshman,School of Engineering,0,1,['NCA' 'SA' 'BS'],Suite,1,1,1,8000-11000,12000
James Waters,M,980347725,2000-10-13,Sophomore,Mason Gross School of the Arts,0,0,['CS' 'BS' 'RA'],Traditional Residence Hall,1,0,1,8000-11000,12000
Jason Marshall,M,550518808,2001-12-04,Sophomore,School of Environmental and Biological Sciences,0,1,['JS' 'WS' 'SA'],Apartment,1,1,1,8000-11000,12000
Benjamin Boyd,M,653682060,2004-04-03,Freshman,School of Arts and Sciences,0,0,['BS' 'MS' 'BH'],Apartment,1,1,1,8000-11000,12000
Donna Blair,F,960389658,2001-05-12,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'TS'],Suite,1,1,0,4000-6000,7000
Louis Davis,M,691500911,2003-03-16,Freshman,School of Management and Labor Relations,0,1,['AH' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000
Mr. Mark Carroll,M,685408734,2002-01-11,Freshman,School of Communication and Information,0,0,['SA' 'MZH' 'MRS'],Suite,1,1,1,6000-8000,9000
Sara Austin,F,726969449,2000-09-12,Freshman,School of Arts and Sciences,0,0,['RA' 'SA' 'MRS'],Apartment,1,1,1,8000-11000,12000
Denise Walker,F,506829005,2005-01-21,Freshman,School of Arts and Sciences,1,0,['JS' 'MRS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000
William Garcia,M,963244380,2004-03-05,Junior,Mason Gross School of the Arts,0,0,['AH' 'RA' 'NCA'],Apartment,1,1,0,8000-11000,12000
Kathleen Long,F,468528043,2002-11-20,Sophomore,School of Environmental and Biological Sciences,0,1,['SA' 'AH' 'WS'],Apartment,1,1,1,6000-8000,9000
Jon Erickson,M,135879146,2003-10-07,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['MS' 'BS' 'RA'],Suite,1,1,1,6000-8000,9000
Yolanda Sanchez,F,532850723,2005-04-27,Sophomore,School of Engineering,1,0,['AH' 'NCA' 'WS'],Apartment,1,0,1,8000-11000,12000
John Weber,M,961125703,2002-01-06,Junior,School of Communication and Information,0,1,['RA' 'SA' 'JS'],Suite,1,1,1,8000-11000,12000
Anthony Thompson,M,187864478,2003-07-03,Sophomore,School of Management and Labor Relations,0,1,['NCA' 'MZH' 'RA'],Suite,1,1,1,6000-8000,9000
Robin Figueroa,F,781868527,2001-02-12,Junior,School of Communication and Information,0,0,['MZH' 'WS' 'RA'],Suite,1,1,1,4000-6000,7000
Christopher Price,M,626761271,2005-05-07,Sophomore,School of Arts and Sciences,0,0,['JS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,7000
Nancy Henderson,F,872639866,2005-02-23,Junior,School of Arts and Sciences,0,0,['BS' 'MZH' 'MH'],Suite,1,1,1,4000-6000,7000
Lydia Bowman,F,669878820,2003-03-08,Junior,School of Environmental and Biological Sciences,0,0,['SA' 'CS' 'RA'],Apartment,1,1,1,8000-11000,12000
Ronald Lee,M,100400484,2005-05-18,Junior,Mason Gross School of the Arts,0,1,['JS' 'SA' 'WS'],Apartment,1,1,1,4000-6000,7000
Larry Garcia,M,728390370,2002-02-26,Freshman,Mason Gross School of the Arts,0,0,['JS' 'BS' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,12000
Joshua Gray,M,761590816,2004-05-29,Freshman,School of Social Work,0,0,['NCA' 'MZH' 'BS'],Apartment,1,1,1,8000-11000,12000
Deborah Walker,F,414369746,2000-09-12,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MH' 'BS' 'BH'],Suite,1,1,1,8000-11000,12000
Keith Wong,M,371281525,2003-09-01,Junior,Mason Gross School of the Arts,0,1,['RA' 'WS' 'BS'],Apartment,1,1,1,4000-6000,7000
Rita Rodriguez,F,193314313,2000-07-04,Sophomore,School of Arts and Sciences,0,0,['NCA' 'MRS' 'BH'],Suite,1,1,1,8000-11000,12000
Shannon Warren,F,827793923,2005-08-21,Sophomore,School of Arts and Sciences,0,0,['BS' 'JS' 'NCA'],Apartment,1,1,1,6000-8000,9000
Rodney Taylor DVM,M,557251003,2005-03-03,Junior,School of Social Work,0,0,['SA' 'MH' 'MZH'],Traditional Residence Hall,1,1,1,6000-8000,9000
Mary White,F,321454666,2001-10-18,Freshman,School of Arts and Sciences,0,1,['SA' 'RA' 'CS'],Traditional Residence Hall,1,1,0,8000-11000,12000
Jennifer Barker,F,759527312,2001-08-02,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'NCA' 'CS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Vincent Harris,M,734314101,2001-02-05,Freshman,School of Arts and Sciences,0,0,['SA' 'NCA' 'RA'],Apartment,1,1,1,8000-11000,12000
Ronald Miller,M,946572139,2002-02-21,Sophomore,Mason Gross School of the Arts,0,0,['SA' 'BH' 'RA'],Apartment,1,1,1,6000-8000,9000
Matthew Thompson,M,169792352,2005-06-19,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['MS' 'NCA' 'RA'],Apartment,1,1,1,4000-6000,7000
Ashley Mosley,F,301433765,2000-06-20,Freshman,School of Arts and Sciences,0,0,['SA' 'JS' 'BS'],Apartment,1,1,1,4000-6000,7000
Sean Kaiser,M,516616662,1999-12-12,Sophomore,School of Communication and Information,0,0,['TS' 'SA' 'MS'],Suite,1,1,1,8000-11000,12000
