name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
James Zuniga PhD,M,162655024,2000-10-10,Sophomore,School of Arts and Sciences,1,0,['TS' 'JS' 'MH'],Traditional Residence Hall,1,1,1,4000-6000,7000,[423201589]
Mrs. Jamie Wilson MD,F,930486862,2004-01-22,Senior,School of Engineering,0,0,['WS' 'JS' 'MH'],Apartment,1,1,1,8000-11000,12000,"[197279174, 740899683]"
Clayton Cook,M,247796981,1999-12-26,Senior,School of Communication and Information,0,0,['BH' 'MZH' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[114084312, 724532855]"
Tyler Chan,M,326669910,2003-08-30,Sophomore,Mason Gross School of the Arts,0,0,['MZH' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000,"[706471915, 270874766]"
Dennis Gonzalez,M,415540944,2002-11-08,Sophomore,School of Arts and Sciences,0,0,['RA' 'BH' 'NCA'],Suite,1,1,1,4000-6000,7000,"[604930401, 613591153]"
Victor Leonard,M,443431178,2000-04-24,Sophomore,School of Social Work,0,1,['MRS' 'SA' 'MH'],Suite,1,1,1,4000-6000,7000,"[866164125, 308926271]"
Mathew Jackson,M,205952430,2004-12-01,Freshman,School of Arts and Sciences,0,1,['BH' 'BS' 'MH'],Suite,1,1,1,4000-6000,7000,[772489739]
Dr. Michael Woodward,M,957729401,2000-06-08,Sophomore,Mason Gross School of the Arts,0,1,['BS' 'NCA' 'WS'],Suite,1,1,1,8000-11000,12000,"[120728086, 533742651]"
Eric Gallegos,M,567460687,2004-03-08,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['BH' 'BS' 'CS'],Suite,1,1,1,4000-6000,7000,"[319183445, 761340724]"
Jason Garcia,M,418206799,2003-12-30,Freshman,School of Communication and Information,0,1,['NCA' 'MH' 'SA'],Suite,1,1,1,6000-8000,9000,"[986628802, 508260703]"
Meagan Mendez,F,408771254,2001-08-11,Freshman,School of Social Work,0,0,['NCA' 'BS' 'MS'],Suite,1,1,1,6000-8000,9000,[557136336]
Kathleen Burns,F,657824192,2004-08-05,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0,['MS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[606926510, 821768490]"
Steven Wolfe,M,643460572,2004-04-26,Junior,School of Arts and Sciences,0,0,['NCA' 'AH' 'BS'],Apartment,1,1,1,8000-11000,12000,"[158428343, 668298611]"
Victor Harris,M,337211257,2005-05-04,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0,['MZH' 'MRS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[475301526, 443837519]"
Janet Walker,F,730538857,2000-01-19,Sophomore,School of Communication and Information,0,0,['NCA' 'BS' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[940877043, 735930572]"
James Zimmerman,M,454115642,2003-07-13,Freshman,School of Arts and Sciences,0,0,['RA' 'SA' 'BS'],Apartment,1,1,1,4000-6000,7000,"[494197117, 532966499]"
Brian Mcmillan,M,853584029,2001-12-28,Sophomore,School of Arts and Sciences,0,1,['MZH' 'WS' 'MH'],Suite,1,1,1,8000-11000,12000,"[473198554, 259101525]"
Daniel Bailey,M,702983217,2003-06-17,Freshman,School of Communication and Information,0,1,['WS' 'BS' 'MZH'],Apartment,1,0,1,8000-11000,12000,"[760123085, 885682541]"
Kristen Molina,F,872170431,2004-06-08,Sophomore,Mason Gross School of the Arts,0,0,['AH' 'NCA' 'BH'],Suite,1,1,1,4000-6000,7000,"[487221189, 887022108]"
Kristina Robertson,F,139272904,2004-01-07,Freshman,School of Arts and Sciences,0,1,['TS' 'SA' 'NCA'],Traditional Residence Hall,1,0,1,8000-11000,12000,"[718891874, 251885538]"
Bobby Smith,M,489498604,2000-03-22,Junior,School of Management and Labor Relations,0,0,['TS' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[197269389, 519559699]"
Jason Davis,M,345442324,2001-11-25,Freshman,School of Environmental and Biological Sciences,0,0,['MS' 'NCA' 'RA'],Apartment,1,1,1,8000-11000,12000,"[791928045, 609616472]"
Jamie Walker,F,957289830,2000-12-24,Freshman,School of Arts and Sciences,0,0,['MS' 'WS' 'BS'],Suite,1,0,1,8000-11000,12000,"[606524785, 410737758]"
Ms. Laura Johnson,F,733508541,2005-03-16,Sophomore,School of Arts and Sciences,0,0,['AH' 'MS' 'TS'],Apartment,1,1,0,4000-6000,7000,"[923980207, 865545385]"
Lindsay Arnold,F,199868887,2000-09-03,Sophomore,Mason Gross School of the Arts,0,1,['NCA' 'BS' 'RA'],Suite,1,1,1,8000-11000,12000,"[613520750, 533954525]"
Jennifer Smith,F,852691948,2000-06-26,Freshman,School of Communication and Information,0,0,['MRS' 'SA' 'NCA'],Apartment,1,1,1,8000-11000,12000,"[405384496, 213520657]"
Diane Ray,F,303190327,2001-11-29,Freshman,School of Arts and Sciences,0,0,['NCA' 'JS' 'BS'],Suite,1,1,1,8000-11000,12000,"[585357157, 633490658]"
Melissa Crawford,F,462179043,2003-12-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'TS' 'MRS'],Apartment,1,1,1,8000-11000,12000,"[361792764, 620606936]"
Kimberly Ford,F,216581095,2005-03-04,Junior,School of Engineering,0,1,['CS' 'TS' 'BS'],Suite,1,1,1,8000-11000,12000,"[981270286, 953827394]"
Susan Payne,F,678558061,2003-12-28,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['WS' 'NCA' 'MS'],Traditional Residence Hall,1,0,1,8000-11000,12000,[108070221]
John Fleming,M,444418662,2003-06-05,Freshman,Mason Gross School of the Arts,0,0,['BS' 'SA' 'NCA'],Apartment,1,1,1,4000-6000,7000,"[728088084, 600891458]"
Nicole Martinez,F,453606460,2000-11-03,Junior,Rutgers Business School–Newark and New Brunswick,1,0,['NCA' 'SA' 'JS'],Suite,1,1,1,6000-8000,9000,"[791538197, 476988447]"
Dawn Jackson,F,862528167,2005-08-05,Junior,School of Arts and Sciences,0,0,['BS' 'JS' 'SA'],Traditional Residence Hall,1,1,0,8000-11000,12000,"[704008862, 856379080]"
Edward Garcia,M,345144211,2004-05-29,Sophomore,School of Arts and Sciences,0,1,['RA' 'BS' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[101439094, 814675140]"
Wayne Hall,M,434159715,2003-07-20,Junior,School of Arts and Sciences,0,0,['RA' 'JS' 'WS'],Apartment,1,1,1,8000-11000,12000,"[839236059, 178113555]"
Brian Bryant,M,374280529,2002-08-31,Sophomore,School of Communication and Information,0,0,['AH' 'SA' 'MH'],Apartment,1,1,1,4000-6000,7000,"[603112497, 266269934]"
Leslie Wang,F,958222449,2001-03-08,Freshman,School of Environmental and Biological Sciences,0,1,['NCA' 'RA' 'TS'],Suite,1,1,1,6000-8000,9000,"[512538837, 344699019]"
Daniel Howe,M,855256342,2003-04-16,Junior,School of Arts and Sciences,0,0,['NCA' 'BH' 'RA'],Apartment,1,1,1,8000-11000,12000,"[280984710, 155607870]"
Todd Anderson,M,813687794,2001-05-02,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'BS' 'WS'],Suite,1,1,1,6000-8000,9000,"[748017094, 536617216]"
Nicole Prince,F,333868899,1999-12-09,Sophomore,School of Communication and Information,0,0,['BS' 'MZH' 'SA'],Suite,1,1,1,8000-11000,12000,"[916593786, 424843254]"
Erika Brown,F,585480325,2002-10-22,Freshman,School of Arts and Sciences,0,1,['CS' 'MH' 'BH'],Traditional Residence Hall,1,0,1,4000-6000,7000,"[326752051, 501521481]"
Melissa Ramirez,F,281818508,2001-01-03,Junior,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'WS'],Suite,1,1,1,8000-11000,12000,"[610330222, 443401898]"
Gregory Caldwell,M,491878155,2001-12-07,Freshman,School of Arts and Sciences,1,1,['MH' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000,[960557845]
Shannon Boyd,F,778621319,2001-09-26,Freshman,School of Arts and Sciences,0,0,['MZH' 'BH' 'RA'],Apartment,1,1,1,4000-6000,7000,[321055451]
Mark Riley,M,823713774,2001-01-08,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'MS' 'WS'],Suite,1,0,1,8000-11000,12000,"[548010221, 200180369]"
Samantha Nguyen,F,901589478,2002-10-21,Freshman,Mason Gross School of the Arts,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000,"[182759949, 905050779]"
Kathleen Bond,F,472418151,2001-09-05,Senior,School of Arts and Sciences,0,0,['BS' 'MH' 'RA'],Apartment,1,0,1,4000-6000,7000,"[111005098, 640628495]"
Terry Anderson,M,145576593,2000-09-10,Senior,School of Arts and Sciences,0,0,['TS' 'MS' 'MRS'],Apartment,1,0,1,8000-11000,12000,[199951692]
Tracy Horton,F,797706626,2003-04-05,Junior,School of Environmental and Biological Sciences,0,1,['WS' 'BH' 'MZH'],Apartment,1,1,1,4000-6000,7000,[227587940]
Stacy Montgomery,F,778689026,2004-08-27,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'NCA' 'MRS'],Suite,1,1,1,8000-11000,12000,"[489246663, 544947446]"
Daniel Hunter,M,683935822,2000-08-12,Freshman,School of Arts and Sciences,0,0,['NCA' 'BH' 'RA'],Suite,1,1,1,6000-8000,9000,"[161686511, 833567193]"
Sandra Cain,F,277610785,2005-03-02,Senior,School of Social Work,1,0,['RA' 'WS' 'NCA'],Apartment,1,1,1,4000-6000,7000,"[166830721, 252855799]"
Jerry Ferguson,M,998413776,2005-02-20,Freshman,School of Communication and Information,1,0,['MZH' 'AH' 'MH'],Traditional Residence Hall,1,1,1,6000-8000,9000,[612415105]
Shawn Green,M,331441833,2000-04-20,Freshman,School of Arts and Sciences,0,1,['RA' 'MS' 'AH'],Apartment,1,1,1,6000-8000,9000,[936493386]
Brandi Hayes,F,807986724,2000-02-06,Freshman,School of Communication and Information,0,1,['CS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,12000,"[658566707, 245003256]"
William Guerrero PhD,M,809952600,2002-05-16,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'CS' 'SA'],Apartment,1,1,1,4000-6000,7000,"[612415105, 998413776]"
Vanessa Lewis,F,567196103,2000-02-23,Freshman,Mason Gross School of the Arts,0,0,['SA' 'MH' 'MS'],Apartment,1,1,1,8000-11000,12000,"[456321752, 278565193]"
Cory Fisher,M,101595244,2004-03-23,Junior,Mason Gross School of the Arts,0,0,['BS' 'JS' 'NCA'],Apartment,1,1,1,6000-8000,9000,"[897836464, 966729559]"
Andrew Adams,M,686765924,2003-12-20,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'AH' 'BH'],Apartment,1,1,1,8000-11000,12000,"[494700181, 700561786]"
Daniel Morris,M,291964555,2004-04-18,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'WS' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,9000,[772922766]
Susan Powers,F,153048319,2001-07-04,Freshman,School of Engineering,0,0,['NCA' 'MH' 'BS'],Apartment,1,1,1,8000-11000,12000,[256401301]
Karen Jenkins,F,507273981,2000-10-09,Sophomore,School of Arts and Sciences,0,0,['JS' 'TS' 'SA'],Suite,1,1,1,4000-6000,7000,"[289585977, 741282452]"
Dana Blair,F,459705991,2003-08-14,Freshman,School of Arts and Sciences,0,0,['MH' 'WS' 'SA'],Apartment,1,1,1,8000-11000,12000,"[244879476, 728695622]"
David Webb,M,645395989,2000-02-06,Freshman,School of Arts and Sciences,0,0,['NCA' 'RA' 'BS'],Suite,1,1,1,8000-11000,12000,"[137538940, 169469294]"
Frank Barry,M,676110086,2000-01-11,Sophomore,School of Engineering,0,1,['BS' 'BH' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[229357645, 847688141]"
Jason Morales,M,242427871,2000-06-21,Senior,School of Arts and Sciences,0,0,['BS' 'CS' 'MS'],Apartment,1,1,1,6000-8000,9000,"[724099949, 193703895]"
Keith Harvey PhD,M,476960934,2002-11-30,Freshman,Mason Gross School of the Arts,0,0,['MZH' 'MRS' 'BH'],Suite,1,1,1,6000-8000,9000,"[148410323, 509763743]"
Eric Davis,M,914449561,2000-02-19,Freshman,School of Social Work,0,0,['MH' 'AH' 'MS'],Apartment,1,1,1,4000-6000,7000,"[930732656, 837583512]"
Jason Yates,M,315148848,2002-04-19,Sophomore,School of Arts and Sciences,0,0,['MS' 'BS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[303932786, 631831239]"
Crystal Smith,F,706471915,2001-07-09,Junior,School of Engineering,0,0,['BS' 'TS' 'MRS'],Suite,1,1,1,8000-11000,12000,"[326669910, 270874766]"
Lindsey Alvarez,F,306570025,2004-09-22,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['MRS' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000,[352705460]
James Martin,M,574155248,1999-11-04,Sophomore,Mason Gross School of the Arts,0,0,['JS' 'CS' 'TS'],Apartment,1,1,1,4000-6000,7000,"[387216658, 978445954]"
Peter Garcia,M,766580233,2003-03-05,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000,[522298674]
Kayla Mercado,F,554593181,2002-01-08,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'TS'],Traditional Residence Hall,1,1,1,4000-6000,7000,[886692619]
Mrs. Sheri Hall,F,658566707,2003-10-28,Freshman,Mason Gross School of the Arts,0,0,['TS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[807986724, 245003256]"
John Jackson Jr.,M,259584395,2002-03-13,Sophomore,School of Arts and Sciences,0,0,['AH' 'MS' 'SA'],Suite,1,1,1,8000-11000,12000,"[252342763, 435284622]"
Thomas Buckley,M,698068191,2000-09-09,Junior,School of Engineering,0,1,['BS' 'NCA' 'CS'],Suite,1,1,1,8000-11000,12000,[952922985]
Adam Freeman,M,410227529,2003-05-11,Senior,School of Arts and Sciences,0,1,['AH' 'MH' 'BS'],Apartment,1,1,1,8000-11000,12000,"[921846654, 720895511]"
Michael Collins,M,318329450,2000-01-30,Junior,School of Communication and Information,0,0,['MH' 'BS' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[151809448, 894369625]"
Kevin Travis,M,469010661,2003-08-25,Junior,School of Management and Labor Relations,0,0,['TS' 'AH' 'BS'],Suite,1,0,1,8000-11000,12000,"[206334134, 220970126]"
Ruth Walker,F,725872116,2000-09-25,Senior,School of Communication and Information,0,0,['MS' 'NCA' 'AH'],Apartment,1,1,1,8000-11000,12000,"[617732850, 412842010]"
Julian Powell,M,526802782,2005-01-08,Senior,School of Social Work,0,1,['BS' 'MZH' 'NCA'],Suite,1,0,1,8000-11000,12000,"[661606995, 389856215]"
Kim Smith,F,177651709,2004-12-28,Junior,School of Arts and Sciences,0,0,['MRS' 'BS' 'MZH'],Apartment,1,1,1,8000-11000,12000,[336853738]
Rebecca Carroll,F,216339215,2004-06-18,Junior,Rutgers Business School–Newark and New Brunswick,1,0,['BS' 'MZH' 'MS'],Suite,1,1,1,6000-8000,9000,"[872748473, 202160107]"
William Blackburn,M,757728169,2005-01-11,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'RA' 'BS'],Suite,1,1,1,4000-6000,7000,"[379043023, 862672506]"
Stephanie Robinson,F,160949178,2004-02-09,Senior,School of Management and Labor Relations,0,1,['MH' 'BS' 'WS'],Apartment,1,1,1,8000-11000,12000,"[503094009, 303731964]"
Terry Kerr,M,290395363,2005-02-25,Freshman,Mason Gross School of the Arts,0,0,['TS' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000,"[575980421, 430595766]"
Jorge Davis,M,710151196,2002-08-28,Freshman,School of Arts and Sciences,0,0,['NCA' 'BS' 'MRS'],Apartment,1,1,1,6000-8000,9000,"[187303189, 106997776]"
Todd Schneider,M,690662190,2003-07-08,Sophomore,School of Arts and Sciences,0,0,['RA' 'BH' 'BS'],Apartment,1,1,1,4000-6000,7000,"[924565636, 493456233]"
Brandon Miller,M,306367088,2005-04-17,Freshman,School of Social Work,0,0,['MS' 'CS' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[353702250, 929674737]"
Jasmine Townsend,F,995831271,2003-05-19,Junior,School of Arts and Sciences,0,1,['TS' 'MS' 'RA'],Apartment,1,1,1,8000-11000,12000,"[256953916, 721448022]"
Thomas Freeman,M,832960197,2005-06-27,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'WS' 'MZH'],Apartment,1,1,1,8000-11000,12000,"[514151836, 162908927]"
Regina Arias,F,919278169,2000-05-25,Freshman,School of Engineering,0,1,['MH' 'MS' 'BS'],Apartment,1,1,1,8000-11000,12000,[497951436]
Daniel Miller,M,785123321,2000-03-06,Freshman,School of Arts and Sciences,0,1,['NCA' 'MZH' 'BH'],Suite,1,1,1,8000-11000,12000,"[672625932, 234441184]"
Carol Fuller,F,915671875,2004-05-27,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'AH'],Suite,1,0,1,4000-6000,7000,[923457693]
Christine Roberts,F,676330839,2004-12-23,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'SA' 'BH'],Suite,1,0,1,8000-11000,12000,"[455866131, 896335711]"
Jennifer Ramirez,F,516748152,2002-08-04,Freshman,School of Engineering,0,1,['BS' 'MS' 'NCA'],Suite,1,1,1,6000-8000,9000,"[639218436, 305102522]"
Tyler Reed,M,577237134,2002-06-30,Freshman,School of Social Work,0,0,['BH' 'BS' 'MRS'],Apartment,1,1,1,8000-11000,12000,[615238986]
Tara Mills,F,607861853,2005-07-17,Junior,School of Management and Labor Relations,0,0,['RA' 'NCA' 'MZH'],Apartment,1,1,1,8000-11000,12000,[596285679]
Chad Mayer,M,317503275,2004-04-03,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MS' 'RA'],Apartment,1,1,1,8000-11000,12000,"[877878372, 310320779]"
Bobby Wagner,M,142225583,2001-08-22,Freshman,School of Engineering,0,0,['SA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000,[697552842]
Christopher Morrow,M,397044857,2001-02-07,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'MZH' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[631681896, 344307262]"
Megan Bradford,F,824334567,2004-12-19,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'NCA' 'MRS'],Suite,1,1,1,4000-6000,7000,"[939581794, 643545762]"
Shawn Sharp,M,768587812,2004-08-24,Junior,School of Arts and Sciences,0,0,['SA' 'CS' 'NCA'],Suite,1,1,1,8000-11000,12000,[573344789]
Jonathan Martinez,M,668853453,2002-04-08,Senior,School of Engineering,0,0,['SA' 'JS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,[885108850]
Jason Williams,M,975776390,2001-10-27,Sophomore,School of Engineering,0,0,['SA' 'WS' 'TS'],Suite,1,1,1,8000-11000,12000,[963894960]
Lisa Ward,F,384482777,2003-09-21,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'AH' 'BS'],Suite,1,1,1,8000-11000,12000,"[383982540, 722621556]"
Heather Ortiz,F,922206514,2004-02-22,Sophomore,School of Arts and Sciences,0,1,['BS' 'AH' 'SA'],Apartment,1,0,1,4000-6000,7000,[733812057]
Kristina Gillespie,F,808913489,2002-08-12,Junior,School of Arts and Sciences,0,0,['MZH' 'JS' 'BS'],Apartment,1,1,1,8000-11000,12000,"[783244444, 146789310]"
Erin Murray,F,846929270,2005-06-21,Sophomore,School of Management and Labor Relations,0,0,['MS' 'SA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[488029867]
Shawn Gomez,M,598377926,2001-01-03,Senior,School of Engineering,0,0,['BS' 'MH' 'TS'],Suite,1,1,1,8000-11000,12000,[534931610]
Joshua Olson,M,452025352,2003-06-27,Freshman,Mason Gross School of the Arts,0,1,['MRS' 'SA' 'RA'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[534715549, 644490358]"
Angela Osborn,F,252855799,2004-07-30,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'NCA' 'SA'],Traditional Residence Hall,1,0,1,4000-6000,7000,[277610785]
John Ross,M,239604896,2002-11-30,Sophomore,School of Management and Labor Relations,1,0,['JS' 'BS' 'SA'],Suite,1,1,1,8000-11000,12000,"[670226826, 239636686]"
Norma Simpson,F,770518641,2003-07-16,Freshman,School of Engineering,0,1,['NCA' 'SA' 'BS'],Suite,1,1,1,8000-11000,12000,[447231463]
James Waters,M,980347725,2000-10-13,Sophomore,Mason Gross School of the Arts,0,0,['CS' 'BS' 'RA'],Traditional Residence Hall,1,0,1,8000-11000,12000,"[291519249, 776761069]"
Jason Marshall,M,550518808,2001-12-04,Sophomore,School of Environmental and Biological Sciences,0,1,['JS' 'WS' 'SA'],Apartment,1,1,1,8000-11000,12000,[548116679]
Benjamin Boyd,M,653682060,2004-04-03,Freshman,School of Arts and Sciences,0,0,['BS' 'MS' 'BH'],Apartment,1,1,1,8000-11000,12000,[255793110]
Donna Blair,F,960389658,2001-05-12,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'TS'],Suite,1,1,0,4000-6000,7000,"[528352636, 409355419]"
Louis Davis,M,691500911,2003-03-16,Freshman,School of Management and Labor Relations,0,1,['AH' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000,[871234867]
Mr. Mark Carroll,M,685408734,2002-01-11,Freshman,School of Communication and Information,0,0,['SA' 'MZH' 'MRS'],Suite,1,1,1,6000-8000,9000,"[222703106, 356448703]"
Sara Austin,F,726969449,2000-09-12,Freshman,School of Arts and Sciences,0,0,['RA' 'SA' 'MRS'],Apartment,1,1,1,8000-11000,12000,[485853094]
Denise Walker,F,506829005,2005-01-21,Freshman,School of Arts and Sciences,1,0,['JS' 'MRS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[555062935, 294888788]"
William Garcia,M,963244380,2004-03-05,Junior,Mason Gross School of the Arts,0,0,['AH' 'RA' 'NCA'],Apartment,1,1,0,8000-11000,12000,[408695522]
Kathleen Long,F,468528043,2002-11-20,Sophomore,School of Environmental and Biological Sciences,0,1,['SA' 'AH' 'WS'],Apartment,1,1,1,6000-8000,9000,"[986589057, 342435378]"
Jon Erickson,M,135879146,2003-10-07,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['MS' 'BS' 'RA'],Suite,1,1,1,6000-8000,9000,"[406664016, 584852846]"
Yolanda Sanchez,F,532850723,2005-04-27,Sophomore,School of Engineering,1,0,['AH' 'NCA' 'WS'],Apartment,1,0,1,8000-11000,12000,"[967507276, 481854622]"
