name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status
Renee Strong,F,954968191,2000-03-09,Sophomore,School of Engineering,0,1
Kyle Wilson,M,967880520,2000-03-20,Freshman,School of Social Work,0,0
Justin Smith,M,523438489,2002-07-25,Senior,Edward J. Bloustein School of Planning and Public Policy,1,0
Denise Miller,F,288227577,2003-06-04,Freshman,School of Arts and Sciences,0,1
Matthew Edwards,M,936596240,2000-08-23,Senior,School of Communication and Information,0,0
Jason Mccarthy,M,454657571,2003-09-30,Junior,School of Management and Labor Relations,0,0
Louis Lloyd,M,542475038,2005-06-02,Junior,School of Management and Labor Relations,0,0
Christopher Horn,M,284226425,2005-05-10,Sophomore,School of Environmental and Biological Sciences,0,0
Brianna Smith,F,165634680,2000-11-12,Junior,School of Management and Labor Relations,0,0
Todd Brewer,M,686654006,2002-09-28,Freshman,School of Environmental and Biological Sciences,0,0
David Preston,M,668379247,2003-04-03,Sophomore,School of Management and Labor Relations,0,0
Michael Cochran,M,269020462,1999-12-18,Senior,School of Social Work,0,0
Eric Casey,M,655433724,2000-09-06,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Amber Parker,F,698222856,2002-12-03,Sophomore,School of Engineering,0,0
Erin Bond,F,507630762,2004-04-16,Sophomore,School of Management and Labor Relations,0,0
Anthony Lawrence,M,157414551,2004-03-03,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Paula Wright,F,161352044,2001-06-13,Freshman,School of Engineering,0,0
Michael Church,M,944467929,1999-11-29,Junior,School of Social Work,0,0
Cassandra Silva,F,730242729,2000-06-11,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0
Valerie Martinez,F,916334680,2001-01-15,Freshman,School of Arts and Sciences,0,0
Monique Day,F,883354484,2000-09-26,Junior,Mason Gross School of the Arts,0,0
Martha Davidson DVM,F,376112156,1999-11-12,Senior,School of Environmental and Biological Sciences,1,0
Mrs. Alexandra Roberts DVM,F,404266544,2003-07-26,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Cynthia Delacruz,F,998198211,2003-06-10,Sophomore,Edward J. Bloustein School of Planning and Public Policy,1,0
Beverly Thompson,F,491385831,2003-08-22,Junior,Rutgers Business School–Newark and New Brunswick,1,1
Katelyn Craig,F,115866238,2000-11-23,Senior,School of Engineering,0,1
Madison Davis,F,904003069,2004-03-13,Sophomore,Edward J. Bloustein School of Planning and Public Policy,1,0
Elizabeth Gibson,F,173683283,2005-04-13,Sophomore,School of Engineering,0,1
Linda Leonard MD,F,287477486,2001-07-21,Sophomore,School of Communication and Information,0,1
Brian Cox,M,701191163,2004-05-25,Freshman,School of Engineering,0,0
Taylor Reynolds,F,387365178,2002-10-30,Senior,School of Social Work,0,1
Amber Christensen,F,331829703,2003-07-02,Junior,School of Arts and Sciences,0,0
Darren Stone,M,615738554,2005-02-12,Freshman,School of Arts and Sciences,0,0
Angela Vasquez,F,398932272,2000-10-12,Senior,School of Engineering,0,0
Natalie Mata,F,686051018,2001-04-27,Senior,School of Communication and Information,0,0
Mckenzie Mendoza,F,632513097,2004-06-29,Freshman,Mason Gross School of the Arts,0,1
Robert Rios,M,832042878,2003-06-15,Senior,School of Management and Labor Relations,0,1
Amanda Adams,F,658354926,2004-12-11,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1
Vicki Smith,F,502060980,2001-08-20,Senior,School of Environmental and Biological Sciences,0,0
Mrs. Theresa Collier MD,F,362805661,2003-11-27,Freshman,Mason Gross School of the Arts,0,0
Kevin Barnes,M,885759267,2005-03-30,Sophomore,School of Arts and Sciences,0,0
Tracie Ruiz,F,608416960,2001-04-24,Freshman,Mason Gross School of the Arts,0,0
Kirk Vazquez,M,246824521,2005-01-01,Sophomore,School of Communication and Information,0,0
Jennifer Nichols,F,600625190,2002-11-30,Sophomore,School of Management and Labor Relations,0,0
John Stout,M,713113562,2004-06-01,Freshman,School of Arts and Sciences,0,1
Nicholas Brown,M,622906072,2002-06-09,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1
Bailey Allen,F,932411594,2004-11-26,Junior,School of Management and Labor Relations,0,0
Amber Taylor,F,321261695,2000-12-21,Sophomore,School of Arts and Sciences,0,0
Alyssa Barnett,F,657503125,2002-09-05,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Crystal Martin,F,107618631,2000-06-30,Freshman,School of Social Work,0,0
Amy Burgess,F,453228255,2003-02-03,Sophomore,School of Social Work,0,0
Tina Hansen,F,519500182,2005-09-24,Sophomore,School of Arts and Sciences,0,1
John Coffey,M,295828331,2002-06-19,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Patty Hoffman,F,164741993,2002-09-16,Freshman,School of Arts and Sciences,0,0
Robert Clark,M,923718723,2001-12-13,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Veronica Burns,F,183577058,2003-10-10,Junior,School of Arts and Sciences,0,0
Richard Contreras,M,615545221,2002-10-13,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Jennifer Brown,F,322754654,2003-03-21,Freshman,School of Management and Labor Relations,0,0
Carol Carpenter,F,630884576,2001-12-05,Junior,Mason Gross School of the Arts,0,0
Lauren Gray,F,130860002,2004-01-28,Freshman,School of Environmental and Biological Sciences,0,0
Michael Anderson,M,847864938,2005-06-29,Freshman,School of Social Work,0,0
Dwayne Wiley,M,815948045,2001-08-01,Freshman,School of Management and Labor Relations,0,0
Spencer Key,M,542857417,2004-12-24,Sophomore,School of Environmental and Biological Sciences,0,0
Rachel Thompson DDS,F,486462721,2002-08-19,Senior,School of Engineering,0,0
James Fisher,M,673090156,2001-06-05,Sophomore,School of Arts and Sciences,0,0
Adam Hunter,M,277659472,2001-07-27,Junior,School of Communication and Information,0,1
James Boyd,M,657679653,2005-01-15,Senior,School of Engineering,0,0
Kelly Gibson,F,984081788,2004-08-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Danielle Parks,F,996421917,2004-07-19,Sophomore,School of Environmental and Biological Sciences,0,1
Patrick Hamilton,M,147183557,2001-06-06,Freshman,School of Engineering,0,0
Mark Glover,M,833700417,2001-08-08,Sophomore,School of Communication and Information,0,0
Michelle Mcfarland,F,850460508,2003-11-03,Freshman,School of Environmental and Biological Sciences,0,0
Kevin Hamilton,M,408869168,2001-08-23,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1
Marcus Mcdowell,M,884999582,2004-08-22,Senior,Mason Gross School of the Arts,0,0
James Brown,M,466584234,2000-07-02,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Kenneth Brown,M,118475891,2002-02-21,Junior,School of Arts and Sciences,0,0
Janet Martin,F,886706556,2004-03-12,Junior,School of Management and Labor Relations,0,0
Carl Morrison,M,373907860,2001-01-30,Freshman,School of Environmental and Biological Sciences,0,1
Clinton Martinez,M,450661763,2000-03-08,Sophomore,School of Engineering,0,0
Sandra Johnson,F,413711208,2001-09-15,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Kathryn Cook,F,100141142,2003-07-16,Freshman,School of Management and Labor Relations,0,1
Jerry Stewart,M,579122052,2004-02-14,Junior,School of Environmental and Biological Sciences,0,0
Larry Peters,M,337311185,2001-10-12,Junior,School of Social Work,0,1
Ann Gibson,F,204552680,2004-03-02,Sophomore,School of Arts and Sciences,0,0
Jessica Hicks,F,426720964,2004-04-01,Freshman,Mason Gross School of the Arts,0,0
Samuel Barr,M,881702601,2003-06-17,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Sandra Caldwell,F,548749094,2002-09-01,Sophomore,School of Social Work,0,0
Carolyn Carter,F,120143551,2004-01-02,Freshman,School of Communication and Information,0,0
Dr. Aaron Gonzalez MD,M,726425092,2004-06-19,Sophomore,School of Environmental and Biological Sciences,0,0
John Brewer,M,971140246,2003-07-29,Sophomore,School of Environmental and Biological Sciences,0,0
Michelle Morgan,F,345215456,2004-11-11,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0
Laurie Harris,F,169374888,2002-11-25,Junior,Mason Gross School of the Arts,0,0
Samantha Rodriguez,F,837295835,2002-04-27,Freshman,Mason Gross School of the Arts,0,0
Anthony Ramirez,M,403689770,2002-03-26,Junior,School of Arts and Sciences,0,0
Curtis Bird,M,157793544,2001-03-09,Freshman,School of Arts and Sciences,0,1
George Baker,M,530930988,2000-11-02,Freshman,School of Arts and Sciences,0,0
Tony Jackson,M,663243714,2002-05-09,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Steven Butler,M,933400160,2004-06-04,Sophomore,School of Social Work,0,0
Stephanie Miller,F,134100387,2000-02-21,Freshman,School of Engineering,0,0
Olivia Young,F,209321389,2001-01-24,Freshman,School of Engineering,0,0
Daniel Nelson,M,888281749,2003-03-07,Junior,Rutgers Business School–Newark and New Brunswick,0,0
Sarah Cook,F,212775101,2004-01-05,Freshman,Rutgers Business School–Newark and New Brunswick,1,1
Dominique Robertson,F,146806351,2004-02-09,Freshman,School of Engineering,0,1
Stuart Miller,M,182037001,2002-07-27,Senior,School of Arts and Sciences,0,0
Kevin Cox,M,764393361,2000-04-26,Freshman,Rutgers Business School–Newark and New Brunswick,0,0
Julie Mccarty,F,275981556,2005-02-20,Sophomore,School of Arts and Sciences,0,0
Travis Schroeder,M,158281651,2003-09-17,Junior,Mason Gross School of the Arts,0,0
Carrie Casey,F,806498383,2001-03-16,Freshman,School of Arts and Sciences,0,0
Jacqueline Sullivan,F,237188624,2000-05-07,Junior,Mason Gross School of the Arts,0,1
Sarah Rodriguez,F,962111863,2005-04-28,Junior,Mason Gross School of the Arts,0,1
Shari Martinez DVM,F,177656178,2001-12-24,Freshman,School of Management and Labor Relations,1,1
Hannah Miller,F,887774950,2004-05-28,Junior,Mason Gross School of the Arts,0,0
Jacob Smith,M,787868824,2001-09-15,Junior,School of Arts and Sciences,0,0
Marcus Joseph,M,112451525,2001-07-23,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1
Chase Brown,M,609195351,2000-06-30,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Kelsey Ramirez,F,120500347,2004-06-08,Freshman,School of Management and Labor Relations,0,0
Robert Daniel,M,497728530,1999-10-19,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Kenneth Thomas,M,401402849,2002-12-29,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Katherine Lindsey,F,263693757,2004-11-14,Freshman,Mason Gross School of the Arts,0,0
Elizabeth Byrd,F,685097601,2000-05-15,Freshman,School of Management and Labor Relations,0,1
Justin Ruiz,M,788463987,1999-12-14,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Edward Walker,M,637056164,2001-11-30,Senior,School of Arts and Sciences,1,0
Ryan Evans,M,718233476,2005-06-21,Freshman,Mason Gross School of the Arts,0,1
Kelly Osborne,F,659306126,2001-12-22,Freshman,School of Arts and Sciences,0,0
Derek Wilson,M,303766466,2004-11-22,Senior,Mason Gross School of the Arts,0,0
Christopher Stephens,M,986631682,2000-08-25,Sophomore,School of Management and Labor Relations,0,0
Joanne Reyes,F,293876711,2000-06-08,Freshman,School of Management and Labor Relations,0,0
Alicia Day,F,599456197,2003-01-30,Sophomore,School of Environmental and Biological Sciences,0,0
Dr. Noah Goodman,M,459401735,2004-04-20,Sophomore,School of Management and Labor Relations,0,0
Elizabeth Morse,F,421410082,2001-02-19,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Michael Allen,M,401342897,2002-04-13,Senior,Edward J. Bloustein School of Planning and Public Policy,0,1
Joshua Porter,M,955343964,2005-03-15,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Brittney Perez,F,152151774,2004-07-15,Senior,Edward J. Bloustein School of Planning and Public Policy,0,1
David Owen,M,552235842,2005-05-08,Sophomore,School of Social Work,0,1
Melissa Sherman,F,268852195,1999-11-29,Sophomore,School of Engineering,0,0
Justin Hutchinson,M,864266592,2001-01-07,Freshman,School of Engineering,0,0
Michael Ramirez,M,122710191,2001-12-18,Freshman,School of Environmental and Biological Sciences,0,0
Steven Hardy,M,306472450,2000-08-16,Freshman,School of Environmental and Biological Sciences,0,0
Justin Thompson,M,727162582,2000-07-31,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1
Laura Romero,F,396385382,1999-11-27,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0
Kevin Ford,M,366483800,2005-05-04,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Breanna Simon,F,637931862,2005-04-04,Freshman,School of Environmental and Biological Sciences,0,0
Matthew Burgess,M,721240478,2004-08-17,Freshman,School of Communication and Information,0,0
Katherine Walsh,F,119306239,2005-06-24,Senior,School of Arts and Sciences,0,0
Matthew Cruz,M,368462930,2004-10-05,Sophomore,School of Engineering,1,0
Theresa Long,F,548375741,2005-02-05,Senior,School of Arts and Sciences,0,1
Deborah French,F,557808343,2004-01-12,Freshman,School of Engineering,0,0
Stacy Montgomery,F,680840074,2003-12-12,Freshman,School of Arts and Sciences,0,0
Michael Mercer,M,309390347,2004-08-16,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0
Miguel Wagner,M,420450773,2003-12-02,Junior,School of Social Work,0,0
Kaitlin Nielsen,F,918046911,2000-07-24,Junior,School of Arts and Sciences,0,0
Parker King,M,955879925,2003-01-09,Freshman,Rutgers Business School–Newark and New Brunswick,0,1
Melissa Collins,F,184330118,2003-05-24,Sophomore,School of Communication and Information,1,0
Allen Greer,M,875641663,2003-06-27,Freshman,School of Arts and Sciences,0,0
Justin Mitchell,M,694248608,2002-11-10,Freshman,School of Environmental and Biological Sciences,0,0
Jessica Wilson,F,954045715,2004-05-01,Sophomore,Rutgers Business School–Newark and New Brunswick,1,0
Stephanie Johnson,F,303864562,2001-07-24,Junior,School of Communication and Information,0,0
Beth Kirby,F,124506785,2001-06-17,Junior,School of Arts and Sciences,0,0
Kylie Johnson,F,100831450,2004-07-10,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0
Nicole Robbins,F,502080095,2000-11-24,Sophomore,School of Engineering,0,1
Marissa Carter MD,F,903668711,2003-05-28,Junior,School of Arts and Sciences,0,0
Christina Jordan,F,461693539,2003-11-04,Freshman,School of Social Work,0,1
Gail Holmes,F,650501342,2004-04-23,Senior,School of Environmental and Biological Sciences,0,0
Jessica Jennings,F,151399440,2003-12-01,Sophomore,School of Environmental and Biological Sciences,0,0
Diana Johnson,F,335245902,2001-03-09,Freshman,School of Management and Labor Relations,0,0
Frank Gilbert,M,405694164,2004-09-03,Junior,Mason Gross School of the Arts,0,0
William Cain,M,133918082,2001-11-27,Sophomore,School of Arts and Sciences,0,0
Alejandro James,M,392772444,2000-05-08,Freshman,School of Communication and Information,0,0
Juan Campos,M,969205438,2002-09-23,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Brian Arnold,M,205049781,2004-08-09,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1
Lindsay Donaldson DVM,F,530558620,2005-09-07,Sophomore,School of Arts and Sciences,0,0
Jamie Cuevas,F,223373433,2004-11-13,Freshman,School of Management and Labor Relations,0,0
Katherine Miller,F,992997621,1999-12-21,Senior,Rutgers Business School–Newark and New Brunswick,0,0
Cynthia Hartman,F,797079909,2003-01-31,Sophomore,School of Engineering,0,0
Kimberly Walters,F,124220468,2002-07-08,Sophomore,School of Management and Labor Relations,0,0
Jonathon Jenkins,M,659161145,2005-06-23,Sophomore,School of Management and Labor Relations,0,0
Daniel Mueller,M,305137903,2002-09-01,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0
Joshua White,M,986624712,2004-02-25,Sophomore,School of Environmental and Biological Sciences,0,0
Travis Washington Jr.,M,679857589,2001-03-20,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0
Terry King,M,550341563,2003-06-13,Freshman,Rutgers Business School–Newark and New Brunswick,0,1
Carol Griffin,F,934033938,2001-03-07,Freshman,School of Communication and Information,0,0
Jason Smith,M,970403807,2002-08-28,Freshman,School of Arts and Sciences,1,0
Cristina White,F,538473168,2004-01-02,Freshman,School of Environmental and Biological Sciences,0,1
Donna Cooper,F,665812131,2003-08-15,Senior,Mason Gross School of the Arts,0,0
Amber Brown,F,610393001,2001-02-01,Junior,School of Communication and Information,0,0
Chase Brown,M,627313995,2005-02-06,Freshman,School of Environmental and Biological Sciences,0,0
Michele Gray,F,461805529,2002-11-25,Sophomore,School of Arts and Sciences,0,0
Brett Johnson,M,891028481,2005-08-24,Junior,Mason Gross School of the Arts,0,1
Daniel Hamilton,M,356703778,2000-01-16,Senior,School of Arts and Sciences,0,0
James Solomon,M,348303698,2000-04-18,Sophomore,School of Environmental and Biological Sciences,0,0
Jessica Ibarra,F,785196437,2002-07-20,Freshman,School of Engineering,0,0
Mary Dunn,F,726563402,2005-09-14,Freshman,School of Arts and Sciences,0,0
Michael Smith,M,155444297,2004-02-14,Freshman,School of Engineering,0,0
Austin Dyer,M,881371680,2003-12-09,Sophomore,School of Social Work,0,1
